Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-17T12:13:41.664333600
Total Options: 61

These are tier 1 options:
These are tier 2 options:
These are tier 3 options:
Underlying: UMC | Expiration: 20-Feb-26 | Strike: 9.00 | Previous Close: 0.35 | Adjusted PE: 0.15 | Yield: 0.16%
Underlying: SOGP | Expiration: 17-Jul-26 | Strike: 12.50 | Previous Close: 4.40 | Adjusted PE: 0.37 | Yield: 0.28%
Underlying: VNET | Expiration: 20-Mar-26 | Strike: 8.00 | Previous Close: 0.45 | Adjusted PE: 0.42 | Yield: 0.13%
Underlying: VNET | Expiration: 15-May-26 | Strike: 8.00 | Previous Close: 0.71 | Adjusted PE: 0.42 | Yield: 0.11%
Underlying: VNET | Expiration: 20-Feb-26 | Strike: 8.00 | Previous Close: 0.15 | Adjusted PE: 0.42 | Yield: 0.08%
Underlying: FINV | Expiration: 20-Feb-26 | Strike: 5.00 | Previous Close: 0.20 | Adjusted PE: 0.45 | Yield: 0.17%
Underlying: FINV | Expiration: 20-Mar-26 | Strike: 5.00 | Previous Close: 0.33 | Adjusted PE: 0.45 | Yield: 0.15%
Underlying: FINV | Expiration: 18-Jun-26 | Strike: 5.00 | Previous Close: 0.70 | Adjusted PE: 0.45 | Yield: 0.13%
Underlying: VNET | Expiration: 20-Mar-26 | Strike: 9.00 | Previous Close: 0.62 | Adjusted PE: 0.47 | Yield: 0.16%
Underlying: VNET | Expiration: 20-Feb-26 | Strike: 9.00 | Previous Close: 0.33 | Adjusted PE: 0.47 | Yield: 0.16%
Underlying: VNET | Expiration: 15-May-26 | Strike: 9.00 | Previous Close: 1.00 | Adjusted PE: 0.47 | Yield: 0.13%
Underlying: VNET | Expiration: 18-Jun-26 | Strike: 9.00 | Previous Close: 1.25 | Adjusted PE: 0.47 | Yield: 0.13%
Underlying: DDL | Expiration: 20-Feb-26 | Strike: 2.50 | Previous Close: 0.25 | Adjusted PE: 0.47 | Yield: 0.42%
