Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-21T04:37:08.472516200
Total Options: 85

These are tier 1 options:
Underlying: RDY | Expiration: 20-Feb-26 | Strike: 12.50 | Previous Close: 0.95 | Adjusted PE: 0.09 | Yield: 0.34%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 720.00 | Previous Close: 19.85 | Adjusted PE: 7.97 | Yield: 0.34%
Underlying: REGN | Expiration: 23-Jan-26 | Strike: 720.00 | Previous Close: 5.55 | Adjusted PE: 7.97 | Yield: 0.26%
Underlying: REGN | Expiration: 23-Jan-26 | Strike: 725.00 | Previous Close: 10.95 | Adjusted PE: 8.02 | Yield: 0.50%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 725.00 | Previous Close: 22.03 | Adjusted PE: 8.02 | Yield: 0.38%
Underlying: REGN | Expiration: 23-Jan-26 | Strike: 730.00 | Previous Close: 10.59 | Adjusted PE: 8.08 | Yield: 0.48%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 730.00 | Previous Close: 24.05 | Adjusted PE: 8.08 | Yield: 0.41%
Underlying: REGN | Expiration: 06-Feb-26 | Strike: 730.00 | Previous Close: 31.33 | Adjusted PE: 8.08 | Yield: 0.33%
Underlying: LRN | Expiration: 20-Feb-26 | Strike: 65.00 | Previous Close: 4.05 | Adjusted PE: 8.53 | Yield: 0.28%
Underlying: CRUS | Expiration: 20-Feb-26 | Strike: 125.00 | Previous Close: 6.79 | Adjusted PE: 8.69 | Yield: 0.25%
Underlying: ON | Expiration: 23-Jan-26 | Strike: 59.00 | Previous Close: 0.85 | Adjusted PE: 8.87 | Yield: 0.48%
Underlying: ON | Expiration: 30-Jan-26 | Strike: 59.00 | Previous Close: 1.90 | Adjusted PE: 8.87 | Yield: 0.40%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 59.00 | Previous Close: 3.15 | Adjusted PE: 8.87 | Yield: 0.24%
Underlying: ON | Expiration: 23-Jan-26 | Strike: 60.00 | Previous Close: 1.19 | Adjusted PE: 9.02 | Yield: 0.66%
Underlying: ON | Expiration: 30-Jan-26 | Strike: 60.00 | Previous Close: 2.16 | Adjusted PE: 9.02 | Yield: 0.45%
Underlying: ON | Expiration: 06-Feb-26 | Strike: 60.00 | Previous Close: 2.80 | Adjusted PE: 9.02 | Yield: 0.36%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 60.00 | Previous Close: 3.90 | Adjusted PE: 9.02 | Yield: 0.30%
Underlying: XOM | Expiration: 23-Jan-26 | Strike: 130.00 | Previous Close: 1.07 | Adjusted PE: 9.47 | Yield: 0.27%
Underlying: META | Expiration: 30-Jan-26 | Strike: 580.00 | Previous Close: 11.90 | Adjusted PE: 10.57 | Yield: 0.26%
Underlying: META | Expiration: 30-Jan-26 | Strike: 585.00 | Previous Close: 13.78 | Adjusted PE: 10.66 | Yield: 0.29%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 47.00 | Previous Close: 2.60 | Adjusted PE: 10.68 | Yield: 0.25%
Underlying: META | Expiration: 30-Jan-26 | Strike: 590.00 | Previous Close: 15.70 | Adjusted PE: 10.75 | Yield: 0.33%
Underlying: META | Expiration: 06-Feb-26 | Strike: 590.00 | Previous Close: 17.97 | Adjusted PE: 10.75 | Yield: 0.23%
Underlying: META | Expiration: 30-Jan-26 | Strike: 595.00 | Previous Close: 17.92 | Adjusted PE: 10.84 | Yield: 0.38%
Underlying: META | Expiration: 06-Feb-26 | Strike: 595.00 | Previous Close: 20.10 | Adjusted PE: 10.84 | Yield: 0.26%
Underlying: META | Expiration: 23-Jan-26 | Strike: 597.50 | Previous Close: 4.25 | Adjusted PE: 10.88 | Yield: 0.24%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 48.00 | Previous Close: 3.00 | Adjusted PE: 10.90 | Yield: 0.28%
Underlying: META | Expiration: 30-Jan-26 | Strike: 600.00 | Previous Close: 19.92 | Adjusted PE: 10.93 | Yield: 0.42%
Underlying: META | Expiration: 23-Jan-26 | Strike: 600.00 | Previous Close: 5.20 | Adjusted PE: 10.93 | Yield: 0.29%
Underlying: META | Expiration: 06-Feb-26 | Strike: 600.00 | Previous Close: 22.35 | Adjusted PE: 10.93 | Yield: 0.29%
Underlying: META | Expiration: 23-Jan-26 | Strike: 602.50 | Previous Close: 6.25 | Adjusted PE: 10.98 | Yield: 0.35%
Underlying: META | Expiration: 06-Feb-26 | Strike: 602.50 | Previous Close: 23.55 | Adjusted PE: 10.98 | Yield: 0.30%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 49.00 | Previous Close: 3.40 | Adjusted PE: 11.13 | Yield: 0.31%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 50.00 | Previous Close: 3.65 | Adjusted PE: 11.36 | Yield: 0.33%
Underlying: ACMR | Expiration: 20-Mar-26 | Strike: 50.00 | Previous Close: 4.90 | Adjusted PE: 11.36 | Yield: 0.23%
Underlying: ALGN | Expiration: 20-Feb-26 | Strike: 160.00 | Previous Close: 8.13 | Adjusted PE: 13.32 | Yield: 0.23%
Underlying: ALGN | Expiration: 20-Feb-26 | Strike: 162.50 | Previous Close: 8.51 | Adjusted PE: 13.52 | Yield: 0.24%
Underlying: ISSC | Expiration: 20-Feb-26 | Strike: 20.00 | Previous Close: 1.54 | Adjusted PE: 13.65 | Yield: 0.35%
Underlying: ALGN | Expiration: 23-Jan-26 | Strike: 165.00 | Previous Close: 2.62 | Adjusted PE: 13.73 | Yield: 0.53%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 165.00 | Previous Close: 8.81 | Adjusted PE: 13.73 | Yield: 0.41%
Underlying: ALGN | Expiration: 13-Feb-26 | Strike: 165.00 | Previous Close: 9.22 | Adjusted PE: 13.73 | Yield: 0.31%
Underlying: ALGN | Expiration: 30-Jan-26 | Strike: 165.00 | Previous Close: 3.78 | Adjusted PE: 13.73 | Yield: 0.29%
Underlying: CPRX | Expiration: 20-Mar-26 | Strike: 22.50 | Previous Close: 2.50 | Adjusted PE: 15.87 | Yield: 0.26%
Underlying: MSFT | Expiration: 30-Jan-26 | Strike: 445.00 | Previous Close: 8.95 | Adjusted PE: 16.70 | Yield: 0.25%
Underlying: MSFT | Expiration: 30-Jan-26 | Strike: 450.00 | Previous Close: 11.00 | Adjusted PE: 16.89 | Yield: 0.31%
Underlying: MSFT | Expiration: 30-Jan-26 | Strike: 452.50 | Previous Close: 12.10 | Adjusted PE: 16.99 | Yield: 0.33%
Underlying: MSFT | Expiration: 23-Jan-26 | Strike: 452.50 | Previous Close: 3.65 | Adjusted PE: 16.99 | Yield: 0.27%
Underlying: GOOGL | Expiration: 23-Jan-26 | Strike: 317.50 | Previous Close: 2.38 | Adjusted PE: 19.57 | Yield: 0.25%
Underlying: GOOG | Expiration: 23-Jan-26 | Strike: 317.50 | Previous Close: 2.32 | Adjusted PE: 19.57 | Yield: 0.24%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 317.50 | Previous Close: 9.80 | Adjusted PE: 19.57 | Yield: 0.24%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 317.50 | Previous Close: 9.54 | Adjusted PE: 19.57 | Yield: 0.23%
Underlying: WST | Expiration: 20-Feb-26 | Strike: 250.00 | Previous Close: 13.50 | Adjusted PE: 19.63 | Yield: 0.25%
Underlying: GOOGL | Expiration: 23-Jan-26 | Strike: 320.00 | Previous Close: 3.25 | Adjusted PE: 19.72 | Yield: 0.34%
Underlying: GOOG | Expiration: 23-Jan-26 | Strike: 320.00 | Previous Close: 3.15 | Adjusted PE: 19.72 | Yield: 0.33%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 320.00 | Previous Close: 10.84 | Adjusted PE: 19.72 | Yield: 0.26%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 320.00 | Previous Close: 10.55 | Adjusted PE: 19.72 | Yield: 0.25%
Underlying: SNPS | Expiration: 23-Jan-26 | Strike: 495.00 | Previous Close: 3.56 | Adjusted PE: 20.08 | Yield: 0.24%
Underlying: SNPS | Expiration: 23-Jan-26 | Strike: 497.50 | Previous Close: 4.10 | Adjusted PE: 20.18 | Yield: 0.27%
Underlying: SNPS | Expiration: 30-Jan-26 | Strike: 500.00 | Previous Close: 11.20 | Adjusted PE: 20.28 | Yield: 0.28%
Underlying: SNPS | Expiration: 23-Jan-26 | Strike: 502.50 | Previous Close: 5.85 | Adjusted PE: 20.38 | Yield: 0.39%
Underlying: SNPS | Expiration: 23-Jan-26 | Strike: 505.00 | Previous Close: 5.60 | Adjusted PE: 20.48 | Yield: 0.37%
Underlying: SNPS | Expiration: 23-Jan-26 | Strike: 507.50 | Previous Close: 6.70 | Adjusted PE: 20.59 | Yield: 0.44%
Underlying: SNPS | Expiration: 23-Jan-26 | Strike: 510.00 | Previous Close: 9.50 | Adjusted PE: 20.69 | Yield: 0.62%
Underlying: SNPS | Expiration: 30-Jan-26 | Strike: 510.00 | Previous Close: 14.00 | Adjusted PE: 20.69 | Yield: 0.34%
Underlying: INTU | Expiration: 23-Jan-26 | Strike: 515.00 | Previous Close: 4.50 | Adjusted PE: 21.06 | Yield: 0.29%
Underlying: INTU | Expiration: 23-Jan-26 | Strike: 520.00 | Previous Close: 4.54 | Adjusted PE: 21.26 | Yield: 0.29%
Underlying: INTU | Expiration: 30-Jan-26 | Strike: 520.00 | Previous Close: 9.60 | Adjusted PE: 21.26 | Yield: 0.23%
Underlying: INTU | Expiration: 23-Jan-26 | Strike: 525.00 | Previous Close: 6.23 | Adjusted PE: 21.47 | Yield: 0.40%
Underlying: INTU | Expiration: 30-Jan-26 | Strike: 525.00 | Previous Close: 13.79 | Adjusted PE: 21.47 | Yield: 0.33%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 370.00 | Previous Close: 19.55 | Adjusted PE: 21.97 | Yield: 0.24%
