Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-11-21T04:41:38.595600
Total Options: 94

These are tier 1 options:
Underlying: UMC | Expiration: 21-Nov-25 | Strike: 7.00 | Previous Close: 0.10 | Adjusted PE: 0.12 | Yield: 1.29%
Underlying: ON | Expiration: 28-Nov-25 | Strike: 30.00 | Previous Close: 0.70 | Adjusted PE: 4.51 | Yield: 0.46%
Underlying: COP | Expiration: 21-Nov-25 | Strike: 87.00 | Previous Close: 0.51 | Adjusted PE: 4.80 | Yield: 0.58%
Underlying: COP | Expiration: 28-Nov-25 | Strike: 87.00 | Previous Close: 1.20 | Adjusted PE: 4.80 | Yield: 0.27%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 32.00 | Previous Close: 0.48 | Adjusted PE: 4.81 | Yield: 1.47%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 33.00 | Previous Close: 0.10 | Adjusted PE: 4.96 | Yield: 0.27%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 34.00 | Previous Close: 0.15 | Adjusted PE: 5.11 | Yield: 0.41%
Underlying: POWL | Expiration: 21-Nov-25 | Strike: 90.00 | Previous Close: 0.83 | Adjusted PE: 5.34 | Yield: 0.91%
Underlying: LNTH | Expiration: 21-Nov-25 | Strike: 40.00 | Previous Close: 0.40 | Adjusted PE: 5.39 | Yield: 0.98%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 36.00 | Previous Close: 0.10 | Adjusted PE: 5.41 | Yield: 0.25%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 37.00 | Previous Close: 0.37 | Adjusted PE: 5.56 | Yield: 0.97%
Underlying: POWL | Expiration: 21-Nov-25 | Strike: 95.00 | Previous Close: 1.08 | Adjusted PE: 5.64 | Yield: 1.13%
Underlying: POWL | Expiration: 21-Nov-25 | Strike: 100.00 | Previous Close: 0.81 | Adjusted PE: 5.94 | Yield: 0.80%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 41.00 | Previous Close: 0.13 | Adjusted PE: 6.16 | Yield: 0.29%
Underlying: POWL | Expiration: 21-Nov-25 | Strike: 105.00 | Previous Close: 0.60 | Adjusted PE: 6.23 | Yield: 0.56%
Underlying: ON | Expiration: 28-Nov-25 | Strike: 42.00 | Previous Close: 0.51 | Adjusted PE: 6.31 | Yield: 0.24%
Underlying: ON | Expiration: 28-Nov-25 | Strike: 43.00 | Previous Close: 0.74 | Adjusted PE: 6.46 | Yield: 0.34%
Underlying: ON | Expiration: 05-Dec-25 | Strike: 43.00 | Previous Close: 1.18 | Adjusted PE: 6.46 | Yield: 0.27%
Underlying: POWL | Expiration: 21-Nov-25 | Strike: 110.00 | Previous Close: 0.85 | Adjusted PE: 6.53 | Yield: 0.76%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 43.50 | Previous Close: 0.22 | Adjusted PE: 6.54 | Yield: 0.48%
Underlying: ON | Expiration: 28-Nov-25 | Strike: 43.50 | Previous Close: 0.90 | Adjusted PE: 6.54 | Yield: 0.41%
Underlying: ON | Expiration: 05-Dec-25 | Strike: 43.50 | Previous Close: 1.13 | Adjusted PE: 6.54 | Yield: 0.26%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 29.00 | Previous Close: 0.23 | Adjusted PE: 6.59 | Yield: 0.76%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 29.00 | Previous Close: 2.84 | Adjusted PE: 6.59 | Yield: 0.26%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 44.00 | Previous Close: 0.27 | Adjusted PE: 6.61 | Yield: 0.59%
Underlying: ON | Expiration: 28-Nov-25 | Strike: 44.00 | Previous Close: 0.95 | Adjusted PE: 6.61 | Yield: 0.43%
Underlying: ON | Expiration: 05-Dec-25 | Strike: 44.00 | Previous Close: 1.55 | Adjusted PE: 6.61 | Yield: 0.35%
Underlying: ON | Expiration: 12-Dec-25 | Strike: 44.00 | Previous Close: 1.77 | Adjusted PE: 6.61 | Yield: 0.27%
Underlying: ON | Expiration: 28-Nov-25 | Strike: 44.50 | Previous Close: 1.29 | Adjusted PE: 6.69 | Yield: 0.58%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 44.50 | Previous Close: 0.14 | Adjusted PE: 6.69 | Yield: 0.29%
Underlying: LNTH | Expiration: 21-Nov-25 | Strike: 50.00 | Previous Close: 0.55 | Adjusted PE: 6.73 | Yield: 1.08%
Underlying: REGN | Expiration: 21-Nov-25 | Strike: 610.00 | Previous Close: 2.15 | Adjusted PE: 6.75 | Yield: 0.35%
Underlying: REGN | Expiration: 21-Nov-25 | Strike: 645.00 | Previous Close: 1.61 | Adjusted PE: 7.14 | Yield: 0.25%
Underlying: ACLS | Expiration: 21-Nov-25 | Strike: 70.00 | Previous Close: 0.40 | Adjusted PE: 7.18 | Yield: 0.56%
Underlying: REGN | Expiration: 21-Nov-25 | Strike: 650.00 | Previous Close: 1.66 | Adjusted PE: 7.19 | Yield: 0.25%
Underlying: ALKS | Expiration: 19-Dec-25 | Strike: 28.00 | Previous Close: 1.44 | Adjusted PE: 7.34 | Yield: 0.26%
Underlying: REGN | Expiration: 21-Nov-25 | Strike: 720.00 | Previous Close: 3.08 | Adjusted PE: 7.97 | Yield: 0.43%
Underlying: REGN | Expiration: 28-Nov-25 | Strike: 720.00 | Previous Close: 8.50 | Adjusted PE: 7.97 | Yield: 0.24%
Underlying: REGN | Expiration: 21-Nov-25 | Strike: 725.00 | Previous Close: 4.00 | Adjusted PE: 8.02 | Yield: 0.55%
Underlying: REGN | Expiration: 21-Nov-25 | Strike: 730.00 | Previous Close: 4.75 | Adjusted PE: 8.08 | Yield: 0.65%
Underlying: REGN | Expiration: 28-Nov-25 | Strike: 730.00 | Previous Close: 10.00 | Adjusted PE: 8.08 | Yield: 0.27%
Underlying: REGN | Expiration: 21-Nov-25 | Strike: 735.00 | Previous Close: 6.00 | Adjusted PE: 8.13 | Yield: 0.82%
Underlying: REGN | Expiration: 28-Nov-25 | Strike: 735.00 | Previous Close: 12.00 | Adjusted PE: 8.13 | Yield: 0.33%
Underlying: ITRN | Expiration: 21-Nov-25 | Strike: 35.00 | Previous Close: 0.20 | Adjusted PE: 8.16 | Yield: 0.54%
Underlying: ALGN | Expiration: 21-Nov-25 | Strike: 100.00 | Previous Close: 0.74 | Adjusted PE: 8.32 | Yield: 0.73%
Underlying: XOM | Expiration: 21-Nov-25 | Strike: 116.00 | Previous Close: 0.38 | Adjusted PE: 8.45 | Yield: 0.32%
Underlying: XOM | Expiration: 21-Nov-25 | Strike: 117.00 | Previous Close: 0.75 | Adjusted PE: 8.53 | Yield: 0.63%
Underlying: XOM | Expiration: 28-Nov-25 | Strike: 117.00 | Previous Close: 1.55 | Adjusted PE: 8.53 | Yield: 0.26%
Underlying: LRN | Expiration: 21-Nov-25 | Strike: 65.00 | Previous Close: 0.25 | Adjusted PE: 8.53 | Yield: 0.37%
Underlying: ALGN | Expiration: 21-Nov-25 | Strike: 105.00 | Previous Close: 0.77 | Adjusted PE: 8.74 | Yield: 0.72%
Underlying: ALGN | Expiration: 21-Nov-25 | Strike: 121.00 | Previous Close: 0.41 | Adjusted PE: 10.07 | Yield: 0.33%
Underlying: META | Expiration: 28-Nov-25 | Strike: 570.00 | Previous Close: 7.00 | Adjusted PE: 10.38 | Yield: 0.25%
Underlying: META | Expiration: 21-Nov-25 | Strike: 572.50 | Previous Close: 1.34 | Adjusted PE: 10.43 | Yield: 0.23%
Underlying: META | Expiration: 21-Nov-25 | Strike: 575.00 | Previous Close: 1.59 | Adjusted PE: 10.48 | Yield: 0.28%
Underlying: META | Expiration: 28-Nov-25 | Strike: 575.00 | Previous Close: 7.00 | Adjusted PE: 10.48 | Yield: 0.24%
Underlying: META | Expiration: 21-Nov-25 | Strike: 577.50 | Previous Close: 1.98 | Adjusted PE: 10.52 | Yield: 0.34%
Underlying: META | Expiration: 28-Nov-25 | Strike: 577.50 | Previous Close: 9.20 | Adjusted PE: 10.52 | Yield: 0.32%
Underlying: META | Expiration: 21-Nov-25 | Strike: 580.00 | Previous Close: 2.55 | Adjusted PE: 10.57 | Yield: 0.44%
Underlying: META | Expiration: 28-Nov-25 | Strike: 580.00 | Previous Close: 8.40 | Adjusted PE: 10.57 | Yield: 0.29%
Underlying: META | Expiration: 21-Nov-25 | Strike: 582.50 | Previous Close: 3.21 | Adjusted PE: 10.61 | Yield: 0.55%
Underlying: META | Expiration: 28-Nov-25 | Strike: 582.50 | Previous Close: 9.50 | Adjusted PE: 10.61 | Yield: 0.33%
Underlying: META | Expiration: 21-Nov-25 | Strike: 585.00 | Previous Close: 3.90 | Adjusted PE: 10.66 | Yield: 0.67%
Underlying: META | Expiration: 28-Nov-25 | Strike: 585.00 | Previous Close: 10.47 | Adjusted PE: 10.66 | Yield: 0.36%
Underlying: META | Expiration: 05-Dec-25 | Strike: 585.00 | Previous Close: 15.92 | Adjusted PE: 10.66 | Yield: 0.27%
Underlying: SSD | Expiration: 21-Nov-25 | Strike: 150.00 | Previous Close: 1.40 | Adjusted PE: 10.66 | Yield: 0.93%
Underlying: META | Expiration: 21-Nov-25 | Strike: 587.50 | Previous Close: 4.71 | Adjusted PE: 10.70 | Yield: 0.80%
Underlying: META | Expiration: 28-Nov-25 | Strike: 587.50 | Previous Close: 11.30 | Adjusted PE: 10.70 | Yield: 0.38%
Underlying: META | Expiration: 05-Dec-25 | Strike: 587.50 | Previous Close: 17.90 | Adjusted PE: 10.70 | Yield: 0.31%
Underlying: ALGN | Expiration: 21-Nov-25 | Strike: 129.00 | Previous Close: 0.37 | Adjusted PE: 10.74 | Yield: 0.28%
Underlying: ALGN | Expiration: 28-Nov-25 | Strike: 129.00 | Previous Close: 1.64 | Adjusted PE: 10.74 | Yield: 0.25%
Underlying: ALGN | Expiration: 21-Nov-25 | Strike: 130.00 | Previous Close: 0.33 | Adjusted PE: 10.82 | Yield: 0.25%
Underlying: ALGN | Expiration: 28-Nov-25 | Strike: 130.00 | Previous Close: 1.52 | Adjusted PE: 10.82 | Yield: 0.23%
Underlying: UTHR | Expiration: 21-Nov-25 | Strike: 470.00 | Previous Close: 2.85 | Adjusted PE: 11.86 | Yield: 0.60%
Underlying: YETI | Expiration: 21-Nov-25 | Strike: 35.00 | Previous Close: 0.50 | Adjusted PE: 12.58 | Yield: 1.40%
Underlying: SNPS | Expiration: 21-Nov-25 | Strike: 370.00 | Previous Close: 1.09 | Adjusted PE: 12.91 | Yield: 0.29%
