Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-16T04:38:02.589934200
Total Options: 65

These are tier 1 options:
Underlying: UMC | Expiration: 16-Jan-26 | Strike: 6.00 | Previous Close: 0.05 | Adjusted PE: 0.10 | Yield: 0.67%
Underlying: ON | Expiration: 13-Feb-26 | Strike: 60.00 | Previous Close: 3.32 | Adjusted PE: 9.02 | Yield: 0.28%
Underlying: ON | Expiration: 23-Jan-26 | Strike: 60.00 | Previous Close: 0.73 | Adjusted PE: 9.02 | Yield: 0.24%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 60.00 | Previous Close: 3.45 | Adjusted PE: 9.02 | Yield: 0.24%
Underlying: XOM | Expiration: 16-Jan-26 | Strike: 128.00 | Previous Close: 0.36 | Adjusted PE: 9.33 | Yield: 0.27%
Underlying: XOM | Expiration: 16-Jan-26 | Strike: 129.00 | Previous Close: 0.70 | Adjusted PE: 9.40 | Yield: 0.54%
Underlying: XOM | Expiration: 23-Jan-26 | Strike: 129.00 | Previous Close: 1.63 | Adjusted PE: 9.40 | Yield: 0.25%
Underlying: ACLS | Expiration: 16-Jan-26 | Strike: 95.00 | Previous Close: 1.15 | Adjusted PE: 9.75 | Yield: 1.20%
Underlying: ACLS | Expiration: 20-Feb-26 | Strike: 95.00 | Previous Close: 5.65 | Adjusted PE: 9.75 | Yield: 0.25%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 47.00 | Previous Close: 0.18 | Adjusted PE: 10.68 | Yield: 0.36%
Underlying: META | Expiration: 30-Jan-26 | Strike: 600.00 | Previous Close: 13.80 | Adjusted PE: 10.93 | Yield: 0.23%
Underlying: META | Expiration: 30-Jan-26 | Strike: 605.00 | Previous Close: 15.73 | Adjusted PE: 11.02 | Yield: 0.26%
Underlying: META | Expiration: 30-Jan-26 | Strike: 610.00 | Previous Close: 17.78 | Adjusted PE: 11.11 | Yield: 0.29%
Underlying: META | Expiration: 30-Jan-26 | Strike: 615.00 | Previous Close: 20.05 | Adjusted PE: 11.20 | Yield: 0.33%
Underlying: META | Expiration: 16-Jan-26 | Strike: 615.00 | Previous Close: 1.50 | Adjusted PE: 11.20 | Yield: 0.24%
Underlying: META | Expiration: 06-Feb-26 | Strike: 615.00 | Previous Close: 22.06 | Adjusted PE: 11.20 | Yield: 0.24%
Underlying: META | Expiration: 16-Jan-26 | Strike: 617.50 | Previous Close: 2.24 | Adjusted PE: 11.25 | Yield: 0.36%
Underlying: META | Expiration: 16-Jan-26 | Strike: 620.00 | Previous Close: 3.15 | Adjusted PE: 11.29 | Yield: 0.51%
Underlying: META | Expiration: 30-Jan-26 | Strike: 620.00 | Previous Close: 22.50 | Adjusted PE: 11.29 | Yield: 0.36%
Underlying: META | Expiration: 23-Jan-26 | Strike: 620.00 | Previous Close: 8.25 | Adjusted PE: 11.29 | Yield: 0.27%
Underlying: META | Expiration: 06-Feb-26 | Strike: 620.00 | Previous Close: 24.45 | Adjusted PE: 11.29 | Yield: 0.26%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 50.00 | Previous Close: 0.23 | Adjusted PE: 11.36 | Yield: 0.44%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 50.00 | Previous Close: 3.10 | Adjusted PE: 11.36 | Yield: 0.26%
Underlying: ACMR | Expiration: 20-Mar-26 | Strike: 50.00 | Previous Close: 5.19 | Adjusted PE: 11.36 | Yield: 0.24%
Underlying: UTHR | Expiration: 16-Jan-26 | Strike: 460.00 | Previous Close: 1.20 | Adjusted PE: 11.60 | Yield: 0.26%
Underlying: UTHR | Expiration: 16-Jan-26 | Strike: 470.00 | Previous Close: 3.30 | Adjusted PE: 11.86 | Yield: 0.70%
Underlying: CPRX | Expiration: 16-Jan-26 | Strike: 17.50 | Previous Close: 0.12 | Adjusted PE: 12.35 | Yield: 0.63%
Underlying: ISSC | Expiration: 16-Jan-26 | Strike: 20.00 | Previous Close: 0.09 | Adjusted PE: 13.65 | Yield: 0.40%
Underlying: ISSC | Expiration: 20-Feb-26 | Strike: 20.00 | Previous Close: 1.40 | Adjusted PE: 13.65 | Yield: 0.29%
Underlying: ALGN | Expiration: 16-Jan-26 | Strike: 165.00 | Previous Close: 0.48 | Adjusted PE: 13.73 | Yield: 0.29%
Underlying: ALGN | Expiration: 16-Jan-26 | Strike: 167.50 | Previous Close: 0.73 | Adjusted PE: 13.94 | Yield: 0.43%
Underlying: ALGN | Expiration: 16-Jan-26 | Strike: 170.00 | Previous Close: 1.00 | Adjusted PE: 14.15 | Yield: 0.58%
Underlying: ALGN | Expiration: 20-Feb-26 | Strike: 170.00 | Previous Close: 12.50 | Adjusted PE: 14.15 | Yield: 0.31%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 260.00 | Previous Close: 0.79 | Adjusted PE: 15.44 | Yield: 0.30%
Underlying: GRMN | Expiration: 16-Jan-26 | Strike: 210.00 | Previous Close: 0.60 | Adjusted PE: 15.63 | Yield: 0.28%
Underlying: CPRX | Expiration: 16-Jan-26 | Strike: 22.50 | Previous Close: 0.12 | Adjusted PE: 15.87 | Yield: 0.49%
Underlying: MSFT | Expiration: 30-Jan-26 | Strike: 450.00 | Previous Close: 10.88 | Adjusted PE: 16.89 | Yield: 0.24%
Underlying: MSFT | Expiration: 30-Jan-26 | Strike: 452.50 | Previous Close: 12.02 | Adjusted PE: 16.99 | Yield: 0.27%
Underlying: MSFT | Expiration: 16-Jan-26 | Strike: 455.00 | Previous Close: 1.63 | Adjusted PE: 17.08 | Yield: 0.36%
Underlying: MSFT | Expiration: 30-Jan-26 | Strike: 455.00 | Previous Close: 13.10 | Adjusted PE: 17.08 | Yield: 0.29%
Underlying: SNPS | Expiration: 23-Jan-26 | Strike: 495.00 | Previous Close: 5.70 | Adjusted PE: 20.08 | Yield: 0.23%
