Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-11T04:32:27.814867700
Total Options: 88

These are tier 1 options:
Underlying: NTES | Expiration: 19-Dec-25 | Strike: 135.00 | Previous Close: 2.18 | Adjusted PE: 1.76 | Yield: 0.23%
Underlying: ISRG | Expiration: 12-Dec-25 | Strike: 552.50 | Previous Close: 5.19 | Adjusted PE: 43.68 | Yield: 0.47%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 552.50 | Previous Close: 9.20 | Adjusted PE: 43.68 | Yield: 0.24%
Underlying: ISRG | Expiration: 12-Dec-25 | Strike: 555.00 | Previous Close: 4.50 | Adjusted PE: 43.88 | Yield: 0.41%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 555.00 | Previous Close: 10.50 | Adjusted PE: 43.88 | Yield: 0.27%
These are tier 2 options:
Underlying: LNTH | Expiration: 19-Dec-25 | Strike: 47.50 | Previous Close: 0.75 | Adjusted PE: 6.40 | Yield: 0.22%
Underlying: LNTH | Expiration: 16-Jan-26 | Strike: 60.00 | Previous Close: 3.20 | Adjusted PE: 8.08 | Yield: 0.21%
Underlying: META | Expiration: 19-Dec-25 | Strike: 645.00 | Previous Close: 9.30 | Adjusted PE: 11.75 | Yield: 0.21%
Underlying: META | Expiration: 26-Dec-25 | Strike: 650.00 | Previous Close: 13.70 | Adjusted PE: 11.84 | Yield: 0.19%
Underlying: YETI | Expiration: 16-Jan-26 | Strike: 45.00 | Previous Close: 2.15 | Adjusted PE: 16.17 | Yield: 0.19%
Underlying: INTU | Expiration: 12-Dec-25 | Strike: 655.00 | Previous Close: 2.55 | Adjusted PE: 26.78 | Yield: 0.19%
Underlying: INTU | Expiration: 12-Dec-25 | Strike: 657.50 | Previous Close: 2.95 | Adjusted PE: 26.89 | Yield: 0.22%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 660.00 | Previous Close: 10.35 | Adjusted PE: 26.99 | Yield: 0.22%
Underlying: ISRG | Expiration: 12-Dec-25 | Strike: 547.50 | Previous Close: 2.15 | Adjusted PE: 43.28 | Yield: 0.20%
Underlying: ISRG | Expiration: 26-Dec-25 | Strike: 552.50 | Previous Close: 12.10 | Adjusted PE: 43.68 | Yield: 0.20%
These are tier 3 options:
Underlying: LRN | Expiration: 19-Dec-25 | Strike: 60.00 | Previous Close: 0.69 | Adjusted PE: 7.87 | Yield: 0.16%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 36.00 | Previous Close: 0.45 | Adjusted PE: 8.18 | Yield: 0.18%
Underlying: META | Expiration: 12-Dec-25 | Strike: 640.00 | Previous Close: 2.32 | Adjusted PE: 11.66 | Yield: 0.18%
Underlying: META | Expiration: 19-Dec-25 | Strike: 640.00 | Previous Close: 7.24 | Adjusted PE: 11.66 | Yield: 0.16%
Underlying: META | Expiration: 19-Dec-25 | Strike: 642.50 | Previous Close: 8.30 | Adjusted PE: 11.70 | Yield: 0.18%
Underlying: META | Expiration: 26-Dec-25 | Strike: 645.00 | Previous Close: 11.47 | Adjusted PE: 11.75 | Yield: 0.16%
Underlying: META | Expiration: 26-Dec-25 | Strike: 647.50 | Previous Close: 12.90 | Adjusted PE: 11.80 | Yield: 0.18%
Underlying: META | Expiration: 02-Jan-26 | Strike: 650.00 | Previous Close: 16.38 | Adjusted PE: 11.84 | Yield: 0.17%
Underlying: INTU | Expiration: 12-Dec-25 | Strike: 642.50 | Previous Close: 2.44 | Adjusted PE: 26.27 | Yield: 0.19%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 655.00 | Previous Close: 8.50 | Adjusted PE: 26.78 | Yield: 0.19%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 657.50 | Previous Close: 8.30 | Adjusted PE: 26.89 | Yield: 0.18%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 542.50 | Previous Close: 6.80 | Adjusted PE: 42.89 | Yield: 0.18%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 550.00 | Previous Close: 6.40 | Adjusted PE: 43.48 | Yield: 0.17%
Underlying: ISRG | Expiration: 26-Dec-25 | Strike: 555.00 | Previous Close: 10.14 | Adjusted PE: 43.88 | Yield: 0.17%
These are tier 4 options:
Underlying: NVO | Expiration: 23-Jan-26 | Strike: 47.00 | Previous Close: 1.83 | Adjusted PE: 1.05 | Yield: 0.13%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 47.00 | Previous Close: 0.95 | Adjusted PE: 1.05 | Yield: 0.13%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 47.50 | Previous Close: 0.56 | Adjusted PE: 1.06 | Yield: 0.17%
Underlying: NVO | Expiration: 12-Dec-25 | Strike: 47.50 | Previous Close: 0.16 | Adjusted PE: 1.06 | Yield: 0.16%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 47.50 | Previous Close: 0.76 | Adjusted PE: 1.06 | Yield: 0.14%
Underlying: NVO | Expiration: 12-Dec-25 | Strike: 48.00 | Previous Close: 0.24 | Adjusted PE: 1.07 | Yield: 0.24%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 48.00 | Previous Close: 1.66 | Adjusted PE: 1.07 | Yield: 0.23%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 48.00 | Previous Close: 0.73 | Adjusted PE: 1.07 | Yield: 0.21%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 48.00 | Previous Close: 0.89 | Adjusted PE: 1.07 | Yield: 0.17%
Underlying: NVO | Expiration: 09-Jan-26 | Strike: 48.00 | Previous Close: 1.41 | Adjusted PE: 1.07 | Yield: 0.15%
Underlying: NVO | Expiration: 23-Jan-26 | Strike: 48.00 | Previous Close: 2.04 | Adjusted PE: 1.07 | Yield: 0.15%
Underlying: NVO | Expiration: 12-Dec-25 | Strike: 48.50 | Previous Close: 0.39 | Adjusted PE: 1.08 | Yield: 0.39%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 48.50 | Previous Close: 0.93 | Adjusted PE: 1.08 | Yield: 0.27%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 48.50 | Previous Close: 1.15 | Adjusted PE: 1.08 | Yield: 0.21%
Underlying: NVO | Expiration: 12-Dec-25 | Strike: 49.00 | Previous Close: 0.60 | Adjusted PE: 1.09 | Yield: 0.60%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 49.00 | Previous Close: 1.17 | Adjusted PE: 1.09 | Yield: 0.34%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 49.00 | Previous Close: 1.36 | Adjusted PE: 1.09 | Yield: 0.25%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 49.00 | Previous Close: 1.82 | Adjusted PE: 1.09 | Yield: 0.25%
Underlying: NVO | Expiration: 09-Jan-26 | Strike: 49.00 | Previous Close: 2.00 | Adjusted PE: 1.09 | Yield: 0.20%
Underlying: EQNR | Expiration: 16-Jan-26 | Strike: 22.84 | Previous Close: 0.80 | Adjusted PE: 3.03 | Yield: 0.14%
Underlying: EQNR | Expiration: 19-Dec-25 | Strike: 23.00 | Previous Close: 0.41 | Adjusted PE: 3.05 | Yield: 0.25%
Underlying: HAL | Expiration: 12-Dec-25 | Strike: 17.00 | Previous Close: 0.09 | Adjusted PE: 3.44 | Yield: 0.24%
Underlying: YELP | Expiration: 19-Dec-25 | Strike: 29.00 | Previous Close: 0.30 | Adjusted PE: 4.13 | Yield: 0.14%
Underlying: PRKS | Expiration: 16-Jan-26 | Strike: 35.00 | Previous Close: 1.83 | Adjusted PE: 4.38 | Yield: 0.21%
Underlying: CROX | Expiration: 12-Dec-25 | Strike: 81.00 | Previous Close: 0.49 | Adjusted PE: 4.64 | Yield: 0.30%
Underlying: CROX | Expiration: 19-Dec-25 | Strike: 82.50 | Previous Close: 1.25 | Adjusted PE: 4.72 | Yield: 0.22%
Underlying: CROX | Expiration: 20-Feb-26 | Strike: 82.50 | Previous Close: 6.20 | Adjusted PE: 4.72 | Yield: 0.16%
Underlying: CROX | Expiration: 16-Jan-26 | Strike: 82.50 | Previous Close: 3.01 | Adjusted PE: 4.72 | Yield: 0.15%
Underlying: CROX | Expiration: 19-Dec-25 | Strike: 83.00 | Previous Close: 1.45 | Adjusted PE: 4.75 | Yield: 0.25%
Underlying: CROX | Expiration: 12-Dec-25 | Strike: 83.00 | Previous Close: 0.40 | Adjusted PE: 4.75 | Yield: 0.24%
Underlying: CROX | Expiration: 12-Dec-25 | Strike: 84.00 | Previous Close: 0.57 | Adjusted PE: 4.81 | Yield: 0.33%
Underlying: CROX | Expiration: 19-Dec-25 | Strike: 84.00 | Previous Close: 1.40 | Adjusted PE: 4.81 | Yield: 0.24%
Underlying: CROX | Expiration: 26-Dec-25 | Strike: 84.00 | Previous Close: 2.05 | Adjusted PE: 4.81 | Yield: 0.22%
Underlying: OPFI | Expiration: 16-Jan-26 | Strike: 10.00 | Previous Close: 0.35 | Adjusted PE: 4.86 | Yield: 0.14%
Underlying: TTE | Expiration: 19-Dec-25 | Strike: 65.00 | Previous Close: 0.65 | Adjusted PE: 4.86 | Yield: 0.14%
