Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-22T04:36:50.475675700
Total Options: 85

These are tier 1 options:
Underlying: UMC | Expiration: 20-Feb-26 | Strike: 11.00 | Previous Close: 0.95 | Adjusted PE: 0.18 | Yield: 0.41%
Underlying: REGN | Expiration: 23-Jan-26 | Strike: 740.00 | Previous Close: 6.60 | Adjusted PE: 8.19 | Yield: 0.45%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 740.00 | Previous Close: 21.75 | Adjusted PE: 8.19 | Yield: 0.42%
Underlying: REGN | Expiration: 06-Feb-26 | Strike: 740.00 | Previous Close: 28.12 | Adjusted PE: 8.19 | Yield: 0.32%
Underlying: REGN | Expiration: 23-Jan-26 | Strike: 745.00 | Previous Close: 9.13 | Adjusted PE: 8.24 | Yield: 0.61%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 745.00 | Previous Close: 28.00 | Adjusted PE: 8.24 | Yield: 0.54%
Underlying: LRN | Expiration: 20-Feb-26 | Strike: 65.00 | Previous Close: 3.50 | Adjusted PE: 8.53 | Yield: 0.26%
Underlying: ON | Expiration: 06-Feb-26 | Strike: 59.00 | Previous Close: 2.30 | Adjusted PE: 8.87 | Yield: 0.32%
Underlying: ON | Expiration: 13-Feb-26 | Strike: 60.00 | Previous Close: 2.82 | Adjusted PE: 9.02 | Yield: 0.28%
Underlying: ON | Expiration: 30-Jan-26 | Strike: 61.00 | Previous Close: 1.00 | Adjusted PE: 9.17 | Yield: 0.23%
Underlying: LRN | Expiration: 20-Feb-26 | Strike: 70.00 | Previous Close: 6.10 | Adjusted PE: 9.19 | Yield: 0.41%
Underlying: LRN | Expiration: 20-Mar-26 | Strike: 70.00 | Previous Close: 6.87 | Adjusted PE: 9.19 | Yield: 0.24%
Underlying: ACLS | Expiration: 20-Feb-26 | Strike: 90.00 | Previous Close: 6.30 | Adjusted PE: 9.24 | Yield: 0.33%
Underlying: ON | Expiration: 23-Jan-26 | Strike: 62.00 | Previous Close: 0.79 | Adjusted PE: 9.32 | Yield: 0.63%
Underlying: ON | Expiration: 06-Feb-26 | Strike: 62.00 | Previous Close: 2.90 | Adjusted PE: 9.32 | Yield: 0.39%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 62.00 | Previous Close: 3.95 | Adjusted PE: 9.32 | Yield: 0.30%
Underlying: ON | Expiration: 30-Jan-26 | Strike: 62.00 | Previous Close: 1.23 | Adjusted PE: 9.32 | Yield: 0.28%
Underlying: ON | Expiration: 30-Jan-26 | Strike: 63.00 | Previous Close: 2.35 | Adjusted PE: 9.47 | Yield: 0.53%
Underlying: ON | Expiration: 23-Jan-26 | Strike: 63.00 | Previous Close: 0.65 | Adjusted PE: 9.47 | Yield: 0.51%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 63.00 | Previous Close: 4.14 | Adjusted PE: 9.47 | Yield: 0.31%
Underlying: XOM | Expiration: 23-Jan-26 | Strike: 133.00 | Previous Close: 0.68 | Adjusted PE: 9.69 | Yield: 0.25%
Underlying: META | Expiration: 30-Jan-26 | Strike: 585.00 | Previous Close: 9.64 | Adjusted PE: 10.66 | Yield: 0.24%
Underlying: META | Expiration: 30-Jan-26 | Strike: 590.00 | Previous Close: 11.80 | Adjusted PE: 10.75 | Yield: 0.29%
Underlying: META | Expiration: 30-Jan-26 | Strike: 595.00 | Previous Close: 13.61 | Adjusted PE: 10.84 | Yield: 0.33%
Underlying: META | Expiration: 30-Jan-26 | Strike: 600.00 | Previous Close: 15.54 | Adjusted PE: 10.93 | Yield: 0.37%
Underlying: META | Expiration: 06-Feb-26 | Strike: 600.00 | Previous Close: 17.80 | Adjusted PE: 10.93 | Yield: 0.25%
Underlying: META | Expiration: 06-Feb-26 | Strike: 602.50 | Previous Close: 18.60 | Adjusted PE: 10.98 | Yield: 0.26%
Underlying: META | Expiration: 30-Jan-26 | Strike: 605.00 | Previous Close: 16.75 | Adjusted PE: 11.02 | Yield: 0.40%
Underlying: META | Expiration: 06-Feb-26 | Strike: 605.00 | Previous Close: 20.15 | Adjusted PE: 11.02 | Yield: 0.28%
Underlying: META | Expiration: 06-Feb-26 | Strike: 607.50 | Previous Close: 20.03 | Adjusted PE: 11.07 | Yield: 0.28%
Underlying: META | Expiration: 23-Jan-26 | Strike: 607.50 | Previous Close: 3.05 | Adjusted PE: 11.07 | Yield: 0.25%
Underlying: META | Expiration: 30-Jan-26 | Strike: 610.00 | Previous Close: 19.65 | Adjusted PE: 11.11 | Yield: 0.46%
Underlying: META | Expiration: 23-Jan-26 | Strike: 610.00 | Previous Close: 4.00 | Adjusted PE: 11.11 | Yield: 0.33%
Underlying: META | Expiration: 06-Feb-26 | Strike: 610.00 | Previous Close: 21.10 | Adjusted PE: 11.11 | Yield: 0.29%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 49.00 | Previous Close: 2.65 | Adjusted PE: 11.13 | Yield: 0.26%
Underlying: META | Expiration: 23-Jan-26 | Strike: 612.50 | Previous Close: 5.00 | Adjusted PE: 11.16 | Yield: 0.41%
Underlying: META | Expiration: 06-Feb-26 | Strike: 612.50 | Previous Close: 22.75 | Adjusted PE: 11.16 | Yield: 0.31%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 50.00 | Previous Close: 2.96 | Adjusted PE: 11.36 | Yield: 0.28%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 52.50 | Previous Close: 4.10 | Adjusted PE: 11.93 | Yield: 0.37%
Underlying: ISSC | Expiration: 20-Feb-26 | Strike: 20.00 | Previous Close: 1.50 | Adjusted PE: 13.65 | Yield: 0.36%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 165.00 | Previous Close: 7.40 | Adjusted PE: 13.73 | Yield: 0.37%
Underlying: ALGN | Expiration: 13-Feb-26 | Strike: 165.00 | Previous Close: 8.39 | Adjusted PE: 13.73 | Yield: 0.30%
Underlying: ALGN | Expiration: 20-Feb-26 | Strike: 165.00 | Previous Close: 8.85 | Adjusted PE: 13.73 | Yield: 0.26%
Underlying: ALGN | Expiration: 23-Jan-26 | Strike: 167.50 | Previous Close: 1.80 | Adjusted PE: 13.94 | Yield: 0.53%
Underlying: MSFT | Expiration: 30-Jan-26 | Strike: 430.00 | Previous Close: 6.95 | Adjusted PE: 16.14 | Yield: 0.23%
Underlying: MSFT | Expiration: 30-Jan-26 | Strike: 435.00 | Previous Close: 8.37 | Adjusted PE: 16.33 | Yield: 0.28%
Underlying: MSFT | Expiration: 30-Jan-26 | Strike: 440.00 | Previous Close: 10.50 | Adjusted PE: 16.52 | Yield: 0.34%
Underlying: MSFT | Expiration: 06-Feb-26 | Strike: 440.00 | Previous Close: 12.68 | Adjusted PE: 16.52 | Yield: 0.24%
Underlying: MSFT | Expiration: 23-Jan-26 | Strike: 442.50 | Previous Close: 2.77 | Adjusted PE: 16.61 | Yield: 0.31%
Underlying: MSFT | Expiration: 06-Feb-26 | Strike: 442.50 | Previous Close: 13.15 | Adjusted PE: 16.61 | Yield: 0.25%
Underlying: YETI | Expiration: 20-Feb-26 | Strike: 47.50 | Previous Close: 2.33 | Adjusted PE: 17.07 | Yield: 0.23%
Underlying: WST | Expiration: 20-Feb-26 | Strike: 250.00 | Previous Close: 13.59 | Adjusted PE: 19.63 | Yield: 0.26%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 322.50 | Previous Close: 9.70 | Adjusted PE: 19.87 | Yield: 0.25%
Underlying: GOOG | Expiration: 23-Jan-26 | Strike: 325.00 | Previous Close: 1.70 | Adjusted PE: 20.03 | Yield: 0.26%
Underlying: GOOGL | Expiration: 23-Jan-26 | Strike: 325.00 | Previous Close: 1.67 | Adjusted PE: 20.03 | Yield: 0.26%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 325.00 | Previous Close: 9.83 | Adjusted PE: 20.03 | Yield: 0.25%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 325.00 | Previous Close: 9.76 | Adjusted PE: 20.03 | Yield: 0.25%
Underlying: SNPS | Expiration: 30-Jan-26 | Strike: 495.00 | Previous Close: 8.70 | Adjusted PE: 20.08 | Yield: 0.25%
Underlying: GOOGL | Expiration: 23-Jan-26 | Strike: 327.50 | Previous Close: 2.55 | Adjusted PE: 20.18 | Yield: 0.39%
Underlying: GOOG | Expiration: 23-Jan-26 | Strike: 327.50 | Previous Close: 2.50 | Adjusted PE: 20.18 | Yield: 0.38%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 327.50 | Previous Close: 10.97 | Adjusted PE: 20.18 | Yield: 0.28%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 327.50 | Previous Close: 10.95 | Adjusted PE: 20.18 | Yield: 0.28%
Underlying: GOOGL | Expiration: 30-Jan-26 | Strike: 327.50 | Previous Close: 5.75 | Adjusted PE: 20.18 | Yield: 0.25%
Underlying: GOOG | Expiration: 30-Jan-26 | Strike: 327.50 | Previous Close: 5.55 | Adjusted PE: 20.18 | Yield: 0.24%
Underlying: SNPS | Expiration: 23-Jan-26 | Strike: 507.50 | Previous Close: 2.83 | Adjusted PE: 20.59 | Yield: 0.28%
Underlying: SNPS | Expiration: 23-Jan-26 | Strike: 510.00 | Previous Close: 2.59 | Adjusted PE: 20.69 | Yield: 0.25%
Underlying: SNPS | Expiration: 20-Feb-26 | Strike: 510.00 | Previous Close: 25.00 | Adjusted PE: 20.69 | Yield: 0.23%
Underlying: SNPS | Expiration: 23-Jan-26 | Strike: 512.50 | Previous Close: 2.60 | Adjusted PE: 20.79 | Yield: 0.25%
Underlying: INTU | Expiration: 23-Jan-26 | Strike: 510.00 | Previous Close: 2.63 | Adjusted PE: 20.85 | Yield: 0.26%
