Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-15T04:33:11.802561
Total Errors: 1916

Missing or empty price for symbol: OR | Quote: {}
Missing or empty price for symbol: OKLO | Quote: {}
Missing or empty price for symbol: OLN | Quote: {}
Missing or empty price for symbol: CRDO | Quote: {}
Missing or empty price for symbol: EFC | Quote: {}
Missing or empty price for symbol: BDX | Quote: {}
Missing or empty price for symbol: MTB | Quote: {}
Missing or empty price for symbol: VIST | Quote: {}
Missing or empty price for symbol: LUV | Quote: {}
Missing or empty price for symbol: DLHC | Quote: {}
Missing or empty price for symbol: TMHC | Quote: {}
Missing or empty price for symbol: VZ | Quote: {}
Missing or empty price for symbol: TMUS | Quote: {}
Missing or empty price for symbol: UHS | Quote: {}
Missing or empty price for symbol: AROC | Quote: {}
Missing or empty price for symbol: UHT | Quote: {}
Missing or empty price for symbol: GLW | Quote: {}
Missing or empty price for symbol: CVE | Quote: {}
Missing or empty price for symbol: NEE | Quote: {}
Missing or empty price for symbol: SBSI | Quote: {}
Missing or empty price for symbol: RPM | Quote: {}
Missing or empty price for symbol: FARM | Quote: {}
Missing or empty price for symbol: GIFI | Quote: {}
Missing or empty price for symbol: SPGI | Quote: {}
Missing or empty price for symbol: HDB | Quote: {}
Missing or empty price for symbol: CNDT | Quote: {}
Missing or empty price for symbol: EU | Quote: {}
Missing or empty price for symbol: BZUN | Quote: {}
Missing or empty price for symbol: DEFT | Quote: {}
Missing or empty price for symbol: SHEN | Quote: {}
Missing or empty price for symbol: LTRX | Quote: {}
Missing or empty price for symbol: CIG | Quote: {}
Missing or empty price for symbol: NMRA | Quote: {}
Missing or empty price for symbol: OLP | Quote: {}
Missing or empty price for symbol: NTR | Quote: {}
Missing or empty price for symbol: PSTL | Quote: {}
Missing or empty price for symbol: GSL | Quote: {}
Missing or empty price for symbol: PSTG | Quote: {}
Missing or empty price for symbol: CHWY | Quote: {}
Missing or empty price for symbol: HTLD | Quote: {}
Missing or empty price for symbol: CFFN | Quote: {}
Missing or empty price for symbol: PMVP | Quote: {}
Missing or empty price for symbol: FA | Quote: {}
Missing or empty price for symbol: GANX | Quote: {}
Missing or empty price for symbol: KEY | Quote: {}
Missing or empty price for symbol: CNK | Quote: {}
Missing or empty price for symbol: FRO | Quote: {}
Missing or empty price for symbol: CTRA | Quote: {}
Missing or empty price for symbol: UDR | Quote: {}
Missing or empty price for symbol: SII | Quote: {}
Missing or empty price for symbol: MITT | Quote: {}
Missing or empty price for symbol: ACIU | Quote: {}
Missing or empty price for symbol: TKO | Quote: {}
Missing or empty price for symbol: FBP | Quote: {}
Missing or empty price for symbol: TRUE | Quote: {}
Missing or empty price for symbol: BB | Quote: {}
Missing or empty price for symbol: PG | Quote: {}
Missing or empty price for symbol: MFA | Quote: {}
Missing or empty price for symbol: ECL | Quote: {}
Missing or empty price for symbol: KBR | Quote: {}
Missing or empty price for symbol: ONTO | Quote: {}
Missing or empty price for symbol: WDS | Quote: {}
Missing or empty price for symbol: AFL | Quote: {}
Missing or empty price for symbol: KRC | Quote: {}
Missing or empty price for symbol: DNOW | Quote: {}
Missing or empty price for symbol: RIVN | Quote: {}
Missing or empty price for symbol: MGPI | Quote: {}
Missing or empty price for symbol: GLBE | Quote: {}
Missing or empty price for symbol: RH | Quote: {}
Missing or empty price for symbol: FDX | Quote: {}
Missing or empty price for symbol: SIG | Quote: {}
Missing or empty price for symbol: TOST | Quote: {}
Missing or empty price for symbol: JBGS | Quote: {}
Missing or empty price for symbol: ATS | Quote: {}
Missing or empty price for symbol: SEER | Quote: {}
Missing or empty price for symbol: SAIL | Quote: {}
Missing or empty price for symbol: ITP | Quote: {}
Missing or empty price for symbol: MTN | Quote: {}
Missing or empty price for symbol: JBI | Quote: {}
Missing or empty price for symbol: PB | Quote: {}
Missing or empty price for symbol: RRX | Quote: {}
Missing or empty price for symbol: TNC | Quote: {}
Missing or empty price for symbol: G | Quote: {}
Missing or empty price for symbol: PWP | Quote: {}
Missing or empty price for symbol: OEC | Quote: {}
Missing or empty price for symbol: TWIN | Quote: {}
Missing or empty price for symbol: PFIS | Quote: {}
Missing or empty price for symbol: SEE | Quote: {}
Missing or empty price for symbol: TVRD | Quote: {}
Missing or empty price for symbol: ESLT | Quote: {}
Missing or empty price for symbol: REX | Quote: {}
Missing or empty price for symbol: BTM | Quote: {}
Missing or empty price for symbol: WKC | Quote: {}
Missing or empty price for symbol: ALG | Quote: {}
Missing or empty price for symbol: CYH | Quote: {}
Missing or empty price for symbol: INBX | Quote: {}
Missing or empty price for symbol: RGS | Quote: {}
Missing or empty price for symbol: CBAT | Quote: {}
Missing or empty price for symbol: METC | Quote: {}
Missing or empty price for symbol: CAPR | Quote: {}
Missing or empty price for symbol: CAI | Quote: {}
Missing or empty price for symbol: CELU | Quote: {}
Missing or empty price for symbol: CGC | Quote: {}
Missing or empty price for symbol: BWEN | Quote: {}
Missing or empty price for symbol: CLGN | Quote: {}
Missing or empty price for symbol: CISO | Quote: {}
Missing or empty price for symbol: CENN | Quote: {}
Missing or empty price for symbol: CRCL | Quote: {}
Missing or empty price for symbol: MEI | Quote: {}
Missing or empty price for symbol: CNTY | Quote: {}
Missing or empty price for symbol: COSM | Quote: {}
Missing or empty price for symbol: CVAC | Quote: {}
Missing or empty price for symbol: CODX | Quote: {}
Missing or empty price for symbol: CURV | Quote: {}
Missing or empty price for symbol: CTRI | Quote: {}
Missing or empty price for symbol: CQP | Quote: {}
Missing or empty price for symbol: CRWV | Quote: {}
Missing or empty price for symbol: CRESY | Quote: {}
Missing or empty price for symbol: CMTL | Quote: {}
Missing or empty price for symbol: DIBS | Quote: {}
Missing or empty price for symbol: DAIO | Quote: {}
Missing or empty price for symbol: DKL | Quote: {}
Missing or empty price for symbol: DNA | Quote: {}
Missing or empty price for symbol: BAP | Quote: {}
Missing or empty price for symbol: DFDV | Quote: {}
Missing or empty price for symbol: DHX | Quote: {}
Missing or empty price for symbol: DLPN | Quote: {}
Missing or empty price for symbol: MEC | Quote: {}
Missing or empty price for symbol: DOYU | Quote: {}
Missing or empty price for symbol: DVS | Quote: {}
Missing or empty price for symbol: DPRO | Quote: {}
Missing or empty price for symbol: DWTX | Quote: {}
Missing or empty price for symbol: EARN | Quote: {}
Missing or empty price for symbol: EC | Quote: {}
Missing or empty price for symbol: EDAP | Quote: {}
Missing or empty price for symbol: ASPI | Quote: {}
Missing or empty price for symbol: MDU | Quote: {}
Missing or empty price for symbol: MDXG | Quote: {}
Missing or empty price for symbol: EVEX | Quote: {}
Missing or empty price for symbol: MDWD | Quote: {}
Missing or empty price for symbol: EVAX | Quote: {}
Missing or empty price for symbol: FFAI | Quote: {}
Missing or empty price for symbol: FIG | Quote: {}
Missing or empty price for symbol: FNGR | Quote: {}
Missing or empty price for symbol: FORA | Quote: {}
Missing or empty price for symbol: XOS | Quote: {}
Missing or empty price for symbol: FTFT | Quote: {}
Missing or empty price for symbol: GALT | Quote: {}
Missing or empty price for symbol: GORO | Quote: {}
Missing or empty price for symbol: MCS | Quote: {}
Missing or empty price for symbol: MCO | Quote: {}
Missing or empty price for symbol: GPRK | Quote: {}
Missing or empty price for symbol: GSAT | Quote: {}
Missing or empty price for symbol: AS | Quote: {}
Missing or empty price for symbol: GSIT | Quote: {}
Missing or empty price for symbol: FLR | Quote: {}
Missing or empty price for symbol: GETY | Quote: {}
Missing or empty price for symbol: CUK | Quote: {}
Missing or empty price for symbol: IBEX | Quote: {}
Missing or empty price for symbol: PATH | Quote: {}
Missing or empty price for symbol: RIG | Quote: {}
Missing or empty price for symbol: HAFN | Quote: {}
Missing or empty price for symbol: HPK | Quote: {}
Missing or empty price for symbol: INMB | Quote: {}
Missing or empty price for symbol: LHX | Quote: {}
Missing or empty price for symbol: JSPR | Quote: {}
Missing or empty price for symbol: LGO | Quote: {}
Missing or empty price for symbol: LFWD | Quote: {}
Missing or empty price for symbol: TME | Quote: {}
Missing or empty price for symbol: SLAI | Quote: {}
Missing or empty price for symbol: LAC | Quote: {}
Missing or empty price for symbol: LIDR | Quote: {}
Missing or empty price for symbol: CYN | Quote: {}
Missing or empty price for symbol: KMDA | Quote: {}
Missing or empty price for symbol: MBOT | Quote: {}
Missing or empty price for symbol: CCL | Quote: {}
Missing or empty price for symbol: FLD | Quote: {}
Missing or empty price for symbol: OLMA | Quote: {}
Missing or empty price for symbol: LYRA | Quote: {}
Missing or empty price for symbol: TDAY | Quote: {}
Missing or empty price for symbol: LMFA | Quote: {}
Missing or empty price for symbol: LWLG | Quote: {}
Missing or empty price for symbol: LOAN | Quote: {}
Missing or empty price for symbol: ALXO | Quote: {}
Missing or empty price for symbol: NSPR | Quote: {}
Missing or empty price for symbol: NNOX | Quote: {}
Missing or empty price for symbol: NMAX | Quote: {}
Missing or empty price for symbol: NDLS | Quote: {}
Missing or empty price for symbol: NNVC | Quote: {}
Missing or empty price for symbol: MNY | Quote: {}
Missing or empty price for symbol: PSIX | Quote: {}
Missing or empty price for symbol: FLNG | Quote: {}
Missing or empty price for symbol: COUR | Quote: {}
Missing or empty price for symbol: AVXL | Quote: {}
Missing or empty price for symbol: PVL | Quote: {}
Missing or empty price for symbol: CRON | Quote: {}
Missing or empty price for symbol: BCDA | Quote: {}
Missing or empty price for symbol: TSBK | Quote: {}
Missing or empty price for symbol: HYPD | Quote: {}
Missing or empty price for symbol: ANRO | Quote: {}
Missing or empty price for symbol: FMS | Quote: {}
Missing or empty price for symbol: WBTN | Quote: {}
Missing or empty price for symbol: MTRX | Quote: {}
Missing or empty price for symbol: MTW | Quote: {}
Missing or empty price for symbol: SYM | Quote: {}
Missing or empty price for symbol: FMNB | Quote: {}
Missing or empty price for symbol: DXLG | Quote: {}
Missing or empty price for symbol: KOF | Quote: {}
Missing or empty price for symbol: USNA | Quote: {}
Missing or empty price for symbol: EIG | Quote: {}
Missing or empty price for symbol: WLKP | Quote: {}
Missing or empty price for symbol: ZBIO | Quote: {}
Missing or empty price for symbol: WHR | Quote: {}
Missing or empty price for symbol: ZURA | Quote: {}
Missing or empty price for symbol: SRI | Quote: {}
Missing or empty price for symbol: ESCA | Quote: {}
Missing or empty price for symbol: CHH | Quote: {}
Missing or empty price for symbol: AMSF | Quote: {}
Missing or empty price for symbol: CURB | Quote: {}
Missing or empty price for symbol: BLCO | Quote: {}
Missing or empty price for symbol: ESE | Quote: {}
Missing or empty price for symbol: EPAC | Quote: {}
Missing or empty price for symbol: BOKF | Quote: {}
Missing or empty price for symbol: OSG | Quote: {}
Missing or empty price for symbol: OWL | Quote: {}
Missing or empty price for symbol: ESAB | Quote: {}
Missing or empty price for symbol: CPSH | Quote: {}
Missing or empty price for symbol: CPK | Quote: {}
Missing or empty price for symbol: CNXN | Quote: {}
Missing or empty price for symbol: COLM | Quote: {}
Missing or empty price for symbol: BKV | Quote: {}
Missing or empty price for symbol: CLW | Quote: {}
Missing or empty price for symbol: ANAB | Quote: {}
Missing or empty price for symbol: DSGR | Quote: {}
Missing or empty price for symbol: CACC | Quote: {}
Missing or empty price for symbol: ACEL | Quote: {}
Missing or empty price for symbol: FOA | Quote: {}
Missing or empty price for symbol: CIA | Quote: {}
Missing or empty price for symbol: HD | Quote: {}
Missing or empty price for symbol: CUE | Quote: {}
Missing or empty price for symbol: LAR | Quote: {}
Missing or empty price for symbol: MNTN | Quote: {}
Missing or empty price for symbol: BBIO | Quote: {}
Missing or empty price for symbol: FE | Quote: {}
Missing or empty price for symbol: SR | Quote: {}
Missing or empty price for symbol: TBBB | Quote: {}
Missing or empty price for symbol: TZOO | Quote: {}
Missing or empty price for symbol: BDTX | Quote: {}
Missing or empty price for symbol: MLM | Quote: {}
Missing or empty price for symbol: FCX | Quote: {}
Missing or empty price for symbol: EQT | Quote: {}
Missing or empty price for symbol: AES | Quote: {}
Missing or empty price for symbol: BIOA | Quote: {}
Missing or empty price for symbol: SM | Quote: {}
Missing or empty price for symbol: PBI | Quote: {}
Missing or empty price for symbol: LKQ | Quote: {}
Missing or empty price for symbol: MSI | Quote: {}
Missing or empty price for symbol: HBB | Quote: {}
Missing or empty price for symbol: BDN | Quote: {}
Missing or empty price for symbol: HUBS | Quote: {}
Missing or empty price for symbol: HRTG | Quote: {}
Missing or empty price for symbol: MPLX | Quote: {}
Missing or empty price for symbol: MZTI | Quote: {}
Missing or empty price for symbol: RXO | Quote: {}
Missing or empty price for symbol: GIB | Quote: {}
Missing or empty price for symbol: ALL | Quote: {}
Missing or empty price for symbol: GCO | Quote: {}
Missing or empty price for symbol: TAP | Quote: {}
Missing or empty price for symbol: CUBE | Quote: {}
Missing or empty price for symbol: SGHC | Quote: {}
Missing or empty price for symbol: XYL | Quote: {}
Missing or empty price for symbol: SBLK | Quote: {}
Missing or empty price for symbol: PKG | Quote: {}
Missing or empty price for symbol: PSA | Quote: {}
Missing or empty price for symbol: UGP | Quote: {}
Missing or empty price for symbol: RELL | Quote: {}
Missing or empty price for symbol: TBLA | Quote: {}
Missing or empty price for symbol: RSG | Quote: {}
Missing or empty price for symbol: SLI | Quote: {}
Missing or empty price for symbol: TSN | Quote: {}
Missing or empty price for symbol: SFST | Quote: {}
Missing or empty price for symbol: PLUS | Quote: {}
Missing or empty price for symbol: AAT | Quote: {}
Missing or empty price for symbol: AMWD | Quote: {}
Missing or empty price for symbol: FIP | Quote: {}
Missing or empty price for symbol: AGYS | Quote: {}
Missing or empty price for symbol: FNLC | Quote: {}
Missing or empty price for symbol: FORR | Quote: {}
Missing or empty price for symbol: CSR | Quote: {}
Missing or empty price for symbol: CPSS | Quote: {}
Missing or empty price for symbol: FFIN | Quote: {}
Missing or empty price for symbol: BIOX | Quote: {}
Missing or empty price for symbol: FCF | Quote: {}
Missing or empty price for symbol: ELME | Quote: {}
