Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-16T04:31:24.021970700
Total Errors: 1989

Missing or empty price for symbol: PAHC | Quote: {}
Missing or empty price for symbol: AMRC | Quote: {}
Missing or empty price for symbol: WTTR | Quote: {}
Missing or empty price for symbol: QCRH | Quote: {}
Missing or empty price for symbol: SAIL | Quote: {}
Missing or empty price for symbol: NKE | Quote: {}
Missing or empty price for symbol: RH | Quote: {}
Missing or empty price for symbol: USPH | Quote: {}
Missing or empty price for symbol: CCI | Quote: {}
Missing or empty price for symbol: KWR | Quote: {}
Missing or empty price for symbol: TOST | Quote: {}
Missing or empty price for symbol: BATRA | Quote: {}
Missing or empty price for symbol: UBER | Quote: {}
Missing or empty price for symbol: BHR | Quote: {}
Missing or empty price for symbol: FDX | Quote: {}
Missing or empty price for symbol: SCSC | Quote: {}
Missing or empty price for symbol: OPY | Quote: {}
Missing or empty price for symbol: MTN | Quote: {}
Missing or empty price for symbol: BL | Quote: {}
Missing or empty price for symbol: VC | Quote: {}
Missing or empty price for symbol: PFIS | Quote: {}
Missing or empty price for symbol: TVRD | Quote: {}
Missing or empty price for symbol: UNF | Quote: {}
Missing or empty price for symbol: PWP | Quote: {}
Missing or empty price for symbol: G | Quote: {}
Missing or empty price for symbol: NEU | Quote: {}
Missing or empty price for symbol: PB | Quote: {}
Missing or empty price for symbol: MORN | Quote: {}
Missing or empty price for symbol: XPEL | Quote: {}
Missing or empty price for symbol: TNGX | Quote: {}
Missing or empty price for symbol: CHGG | Quote: {}
Missing or empty price for symbol: ZUMZ | Quote: {}
Missing or empty price for symbol: ANIK | Quote: {}
Missing or empty price for symbol: BANF | Quote: {}
Missing or empty price for symbol: ESLT | Quote: {}
Missing or empty price for symbol: LCII | Quote: {}
Missing or empty price for symbol: MTD | Quote: {}
Missing or empty price for symbol: AYI | Quote: {}
Missing or empty price for symbol: VSH | Quote: {}
Missing or empty price for symbol: CCU | Quote: {}
Missing or empty price for symbol: LMAT | Quote: {}
Missing or empty price for symbol: WKC | Quote: {}
Missing or empty price for symbol: XPER | Quote: {}
Missing or empty price for symbol: CYH | Quote: {}
Missing or empty price for symbol: SGC | Quote: {}
Missing or empty price for symbol: CCBG | Quote: {}
Missing or empty price for symbol: IIIV | Quote: {}
Missing or empty price for symbol: MTX | Quote: {}
Missing or empty price for symbol: QNST | Quote: {}
Missing or empty price for symbol: PJT | Quote: {}
Missing or empty price for symbol: ORKA | Quote: {}
Missing or empty price for symbol: DT | Quote: {}
Missing or empty price for symbol: IOSP | Quote: {}
Missing or empty price for symbol: RSVR | Quote: {}
Missing or empty price for symbol: INBX | Quote: {}
Missing or empty price for symbol: SCHL | Quote: {}
Missing or empty price for symbol: PCB | Quote: {}
Missing or empty price for symbol: CIGI | Quote: {}
Missing or empty price for symbol: PIPR | Quote: {}
Missing or empty price for symbol: MHO | Quote: {}
Missing or empty price for symbol: HGV | Quote: {}
Missing or empty price for symbol: AMBR | Quote: {}
Missing or empty price for symbol: QNTM | Quote: {}
Missing or empty price for symbol: ACB | Quote: {}
Missing or empty price for symbol: TMP | Quote: {}
Missing or empty price for symbol: UE | Quote: {}
Missing or empty price for symbol: ACDC | Quote: {}
Missing or empty price for symbol: UFPT | Quote: {}
Missing or empty price for symbol: ABSI | Quote: {}
Missing or empty price for symbol: ABTS | Quote: {}
Missing or empty price for symbol: AIFU | Quote: {}
Missing or empty price for symbol: VIRC | Quote: {}
Missing or empty price for symbol: NB | Quote: {}
Missing or empty price for symbol: AIRO | Quote: {}
Missing or empty price for symbol: XOMA | Quote: {}
Missing or empty price for symbol: ARMP | Quote: {}
Missing or empty price for symbol: ANVS | Quote: {}
Missing or empty price for symbol: ATLX | Quote: {}
Missing or empty price for symbol: AVTX | Quote: {}
Missing or empty price for symbol: AQMS | Quote: {}
Missing or empty price for symbol: AMWL | Quote: {}
Missing or empty price for symbol: ATER | Quote: {}
Missing or empty price for symbol: ARBE | Quote: {}
Missing or empty price for symbol: ARQQ | Quote: {}
Missing or empty price for symbol: APT | Quote: {}
Missing or empty price for symbol: ASRT | Quote: {}
Missing or empty price for symbol: BARK | Quote: {}
Missing or empty price for symbol: BKYI | Quote: {}
Missing or empty price for symbol: BALY | Quote: {}
Missing or empty price for symbol: BMNR | Quote: {}
Missing or empty price for symbol: BLRX | Quote: {}
Missing or empty price for symbol: BNGO | Quote: {}
Missing or empty price for symbol: BEEM | Quote: {}
Missing or empty price for symbol: IMCR | Quote: {}
Missing or empty price for symbol: BRLT | Quote: {}
Missing or empty price for symbol: BKKT | Quote: {}
Missing or empty price for symbol: CBAT | Quote: {}
Missing or empty price for symbol: BZAI | Quote: {}
Missing or empty price for symbol: CELU | Quote: {}
Missing or empty price for symbol: CHPT | Quote: {}
Missing or empty price for symbol: CBLL | Quote: {}
Missing or empty price for symbol: BTCS | Quote: {}
Missing or empty price for symbol: BWEN | Quote: {}
Missing or empty price for symbol: CISO | Quote: {}
Missing or empty price for symbol: CLGN | Quote: {}
Missing or empty price for symbol: CAPR | Quote: {}
Missing or empty price for symbol: CHYM | Quote: {}
Missing or empty price for symbol: CODX | Quote: {}
Missing or empty price for symbol: CRML | Quote: {}
Missing or empty price for symbol: CMTL | Quote: {}
Missing or empty price for symbol: COSM | Quote: {}
Missing or empty price for symbol: CRWV | Quote: {}
Missing or empty price for symbol: CVAC | Quote: {}
Missing or empty price for symbol: MEOH | Quote: {}
Missing or empty price for symbol: CURV | Quote: {}
Missing or empty price for symbol: CTRI | Quote: {}
Missing or empty price for symbol: MEI | Quote: {}
Missing or empty price for symbol: MERC | Quote: {}
Missing or empty price for symbol: CNTY | Quote: {}
Missing or empty price for symbol: MET | Quote: {}
Missing or empty price for symbol: META | Quote: {}
Missing or empty price for symbol: DNA | Quote: {}
Missing or empty price for symbol: MED | Quote: {}
Missing or empty price for symbol: DLPN | Quote: {}
Missing or empty price for symbol: MEDP | Quote: {}
Missing or empty price for symbol: DBVT | Quote: {}
Missing or empty price for symbol: MEG | Quote: {}
Missing or empty price for symbol: DIBS | Quote: {}
Missing or empty price for symbol: DFDV | Quote: {}
Missing or empty price for symbol: MEC | Quote: {}
Missing or empty price for symbol: EC | Quote: {}
Missing or empty price for symbol: DPRO | Quote: {}
Missing or empty price for symbol: FBIO | Quote: {}
Missing or empty price for symbol: EVEX | Quote: {}
Missing or empty price for symbol: MDU | Quote: {}
Missing or empty price for symbol: ENTX | Quote: {}
Missing or empty price for symbol: MDXG | Quote: {}
Missing or empty price for symbol: FBRX | Quote: {}
Missing or empty price for symbol: ASAN | Quote: {}
Missing or empty price for symbol: MDWD | Quote: {}
Missing or empty price for symbol: MD | Quote: {}
Missing or empty price for symbol: FFAI | Quote: {}
Missing or empty price for symbol: FORA | Quote: {}
Missing or empty price for symbol: MDGL | Quote: {}
Missing or empty price for symbol: FRHC | Quote: {}
Missing or empty price for symbol: MCY | Quote: {}
Missing or empty price for symbol: FGEN | Quote: {}
Missing or empty price for symbol: XOS | Quote: {}
Missing or empty price for symbol: FIG | Quote: {}
Missing or empty price for symbol: FTFT | Quote: {}
Missing or empty price for symbol: GASS | Quote: {}
Missing or empty price for symbol: GALT | Quote: {}
Missing or empty price for symbol: GETY | Quote: {}
Missing or empty price for symbol: GEVO | Quote: {}
Missing or empty price for symbol: AS | Quote: {}
Missing or empty price for symbol: GAME | Quote: {}
Missing or empty price for symbol: FLR | Quote: {}
Missing or empty price for symbol: GHRS | Quote: {}
Missing or empty price for symbol: GLBS | Quote: {}
Missing or empty price for symbol: HAFN | Quote: {}
Missing or empty price for symbol: ICL | Quote: {}
Missing or empty price for symbol: INMB | Quote: {}
Missing or empty price for symbol: PATH | Quote: {}
Missing or empty price for symbol: JSPR | Quote: {}
Missing or empty price for symbol: HCM | Quote: {}
Missing or empty price for symbol: LHX | Quote: {}
Missing or empty price for symbol: IBIO | Quote: {}
Missing or empty price for symbol: RIG | Quote: {}
Missing or empty price for symbol: KULR | Quote: {}
Missing or empty price for symbol: CBUS | Quote: {}
Missing or empty price for symbol: LAC | Quote: {}
Missing or empty price for symbol: CYN | Quote: {}
Missing or empty price for symbol: LIDR | Quote: {}
Missing or empty price for symbol: LGO | Quote: {}
Missing or empty price for symbol: LCTX | Quote: {}
Missing or empty price for symbol: SLAI | Quote: {}
Missing or empty price for symbol: CARE | Quote: {}
Missing or empty price for symbol: CASH | Quote: {}
Missing or empty price for symbol: LYRA | Quote: {}
Missing or empty price for symbol: MBOT | Quote: {}
Missing or empty price for symbol: LUCK | Quote: {}
Missing or empty price for symbol: OPTU | Quote: {}
Missing or empty price for symbol: LOAN | Quote: {}
Missing or empty price for symbol: FWDI | Quote: {}
Missing or empty price for symbol: MLSS | Quote: {}
Missing or empty price for symbol: ALXO | Quote: {}
Missing or empty price for symbol: LOOP | Quote: {}
Missing or empty price for symbol: MAIN | Quote: {}
Missing or empty price for symbol: NNOX | Quote: {}
Missing or empty price for symbol: NSPR | Quote: {}
Missing or empty price for symbol: NFGC | Quote: {}
Missing or empty price for symbol: NDLS | Quote: {}
Missing or empty price for symbol: HRZN | Quote: {}
Missing or empty price for symbol: NAK | Quote: {}
Missing or empty price for symbol: NINE | Quote: {}
Missing or empty price for symbol: NNVC | Quote: {}
