Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-15T09:40:23.310252500
Total Errors: 1785

Missing or empty price for symbol: ORA | Quote: {}
Missing or empty price for symbol: PCOR | Quote: {}
Missing or empty price for symbol: PMT | Quote: {}
Missing or empty price for symbol: PZZA | Quote: {}
Missing or empty price for symbol: PRM | Quote: {}
Missing or empty price for symbol: PRU | Quote: {}
Missing or empty price for symbol: QBTS | Quote: {}
Missing or empty price for symbol: PTC | Quote: {}
Missing or empty price for symbol: BURU | Quote: {}
Missing or empty price for symbol: PRAX | Quote: {}
Missing or empty price for symbol: PPTA | Quote: {}
Missing or empty price for symbol: PRCH | Quote: {}
Missing or empty price for symbol: PRQR | Quote: {}
Missing or empty price for symbol: PTCT | Quote: {}
Missing or empty price for symbol: PUBM | Quote: {}
Missing or empty price for symbol: PTLO | Quote: {}
Missing or empty price for symbol: PRTH | Quote: {}
Missing or empty price for symbol: PRGS | Quote: {}
Missing or empty price for symbol: PRG | Quote: {}
Missing or empty price for symbol: WLDN | Quote: {}
Missing or empty price for symbol: PRMB | Quote: {}
Missing or empty price for symbol: WLY | Quote: {}
Missing or empty price for symbol: QTWO | Quote: {}
Missing or empty price for symbol: RAMP | Quote: {}
Missing or empty price for symbol: QVCGA | Quote: {}
Missing or empty price for symbol: WMB | Quote: {}
Missing or empty price for symbol: QLYS | Quote: {}
Missing or empty price for symbol: RCL | Quote: {}
Missing or empty price for symbol: WMG | Quote: {}
Missing or empty price for symbol: WW | Quote: {}
Missing or empty price for symbol: REPX | Quote: {}
Missing or empty price for symbol: REVG | Quote: {}
Missing or empty price for symbol: WMS | Quote: {}
Missing or empty price for symbol: WRBY | Quote: {}
Missing or empty price for symbol: WSBF | Quote: {}
Missing or empty price for symbol: RRC | Quote: {}
Missing or empty price for symbol: ROST | Quote: {}
Missing or empty price for symbol: RRR | Quote: {}
Missing or empty price for symbol: RPT | Quote: {}
Missing or empty price for symbol: WKSP | Quote: {}
Missing or empty price for symbol: ROP | Quote: {}
Missing or empty price for symbol: RPAY | Quote: {}
Missing or empty price for symbol: WRAP | Quote: {}
Missing or empty price for symbol: WSBC | Quote: {}
Missing or empty price for symbol: RSKD | Quote: {}
Missing or empty price for symbol: SBAC | Quote: {}
Missing or empty price for symbol: SANM | Quote: {}
Missing or empty price for symbol: SBCF | Quote: {}
Missing or empty price for symbol: VG | Quote: {}
Missing or empty price for symbol: SATS | Quote: {}
Missing or empty price for symbol: SCCO | Quote: {}
Missing or empty price for symbol: SBS | Quote: {}
Missing or empty price for symbol: VERI | Quote: {}
Missing or empty price for symbol: SCVL | Quote: {}
Missing or empty price for symbol: UP | Quote: {}
Missing or empty price for symbol: UMC | Quote: {}
Missing or empty price for symbol: ULBI | Quote: {}
Missing or empty price for symbol: SEI | Quote: {}
Missing or empty price for symbol: SHBI | Quote: {}
Missing or empty price for symbol: TLYS | Quote: {}
Missing or empty price for symbol: TRMD | Quote: {}
Missing or empty price for symbol: SFM | Quote: {}
Missing or empty price for symbol: SFL | Quote: {}
Missing or empty price for symbol: SEM | Quote: {}
Missing or empty price for symbol: SEVN | Quote: {}
Missing or empty price for symbol: SFBS | Quote: {}
Missing or empty price for symbol: TPST | Quote: {}
Missing or empty price for symbol: SHLS | Quote: {}
Missing or empty price for symbol: SIGA | Quote: {}
Missing or empty price for symbol: SKYT | Quote: {}
Missing or empty price for symbol: SIGI | Quote: {}
Missing or empty price for symbol: TEO | Quote: {}
Missing or empty price for symbol: SKWD | Quote: {}
Missing or empty price for symbol: SJT | Quote: {}
Missing or empty price for symbol: SHOP | Quote: {}
Missing or empty price for symbol: SKY | Quote: {}
Missing or empty price for symbol: SKM | Quote: {}
Missing or empty price for symbol: SLP | Quote: {}
Missing or empty price for symbol: SMP | Quote: {}
Missing or empty price for symbol: SMLR | Quote: {}
Missing or empty price for symbol: SMTC | Quote: {}
Missing or empty price for symbol: SUN | Quote: {}
Missing latest annual statements for BRR: No annual cash flow found
Missing or empty price for symbol: SLDE | Quote: {}
Missing or empty price for symbol: SRXH | Quote: {}
Missing or empty price for symbol: SLB | Quote: {}
Missing or empty price for symbol: SLQT | Quote: {}
Missing or empty price for symbol: SIEB | Quote: {}
Missing or empty price for symbol: SMCI | Quote: {}
Missing or empty price for symbol: SLVM | Quote: {}
Missing or empty price for symbol: STEM | Quote: {}
Missing or empty price for symbol: SPRO | Quote: {}
Missing or empty price for symbol: SLGN | Quote: {}
Missing or empty price for symbol: SMG | Quote: {}
Missing or empty price for symbol: SOUN | Quote: {}
Missing or empty price for symbol: SNDX | Quote: {}
Missing or empty price for symbol: SOC | Quote: {}
Missing or empty price for symbol: SNX | Quote: {}
Missing or empty price for symbol: SPB | Quote: {}
Missing or empty price for symbol: SMMT | Quote: {}
Missing or empty price for symbol: SONO | Quote: {}
Missing or empty price for symbol: SOPH | Quote: {}
Missing or empty price for symbol: SNEX | Quote: {}
Missing or empty price for symbol: SHIP | Quote: {}
Missing or empty price for symbol: TFX | Quote: {}
Missing or empty price for symbol: SGML | Quote: {}
Missing or empty price for symbol: SPHR | Quote: {}
Missing or empty price for symbol: SKYH | Quote: {}
Missing or empty price for symbol: SERV | Quote: {}
Missing or empty price for symbol: SGMT | Quote: {}
Missing or empty price for symbol: SES | Quote: {}
Missing or empty price for symbol: SPXC | Quote: {}
Missing or empty price for symbol: PRE | Quote: {}
Missing or empty price for symbol: SSD | Quote: {}
Missing or empty price for symbol: SSSS | Quote: {}
Missing or empty price for symbol: STXS | Quote: {}
Missing or empty price for symbol: STT | Quote: {}
Missing or empty price for symbol: ST | Quote: {}
Missing or empty price for symbol: STAG | Quote: {}
Missing or empty price for symbol: SSRM | Quote: {}
Missing or empty price for symbol: STWD | Quote: {}
Missing or empty price for symbol: STN | Quote: {}
Missing or empty price for symbol: SVC | Quote: {}
Missing or empty price for symbol: SSTI | Quote: {}
Missing or empty price for symbol: SVM | Quote: {}
Missing or empty price for symbol: STLD | Quote: {}
Missing or empty price for symbol: STOK | Quote: {}
Missing or empty price for symbol: SRTS | Quote: {}
Missing or empty price for symbol: SVRA | Quote: {}
Missing or empty price for symbol: STAA | Quote: {}
Missing or empty price for symbol: TFC | Quote: {}
Missing or empty price for symbol: TE | Quote: {}
Missing or empty price for symbol: TALO | Quote: {}
Missing or empty price for symbol: TER | Quote: {}
Missing or empty price for symbol: SCYX | Quote: {}
Missing or empty price for symbol: TEM | Quote: {}
Missing or empty price for symbol: TDY | Quote: {}
Missing or empty price for symbol: TALK | Quote: {}
Missing or empty price for symbol: TEAM | Quote: {}
Missing or empty price for symbol: TEN | Quote: {}
Missing or empty price for symbol: TEX | Quote: {}
Missing or empty price for symbol: TEF | Quote: {}
Missing or empty price for symbol: TARS | Quote: {}
Missing or empty price for symbol: TECH | Quote: {}
Missing or empty price for symbol: TEL | Quote: {}
Missing or empty price for symbol: TDS | Quote: {}
Missing or empty price for symbol: BBNX | Quote: {}
Missing or empty price for symbol: TECK | Quote: {}
Missing or empty price for symbol: SYK | Quote: {}
Missing or empty price for symbol: SXC | Quote: {}
Missing or empty price for symbol: SYRE | Quote: {}
Missing or empty price for symbol: TFII | Quote: {}
Missing or empty price for symbol: SWX | Quote: {}
Missing or empty price for symbol: QUBT | Quote: {}
Missing or empty price for symbol: TFSL | Quote: {}
Missing or empty price for symbol: SCLX | Quote: {}
Missing or empty price for symbol: TGTX | Quote: {}
Missing or empty price for symbol: THG | Quote: {}
Missing or empty price for symbol: TKR | Quote: {}
Missing or empty price for symbol: TRN | Quote: {}
Missing or empty price for symbol: THRY | Quote: {}
Missing or empty price for symbol: TEVA | Quote: {}
Missing or empty price for symbol: TPB | Quote: {}
Missing or empty price for symbol: TLS | Quote: {}
Missing or empty price for symbol: TPH | Quote: {}
Missing or empty price for symbol: TNL | Quote: {}
Missing or empty price for symbol: TH | Quote: {}
Missing or empty price for symbol: THC | Quote: {}
Missing or empty price for symbol: TPL | Quote: {}
Missing or empty price for symbol: TIGR | Quote: {}
Missing or empty price for symbol: TPG | Quote: {}
Missing or empty price for symbol: TIGO | Quote: {}
Missing or empty price for symbol: TRGP | Quote: {}
Missing or empty price for symbol: TILE | Quote: {}
Missing or empty price for symbol: TOWN | Quote: {}
Missing or empty price for symbol: TWO | Quote: {}
Missing or empty price for symbol: UAA | Quote: {}
Missing or empty price for symbol: TXRH | Quote: {}
Missing or empty price for symbol: TSE | Quote: {}
Missing or empty price for symbol: TTEK | Quote: {}
Missing or empty price for symbol: TUSK | Quote: {}
Missing or empty price for symbol: TXO | Quote: {}
Missing or empty price for symbol: U | Quote: {}
Missing or empty price for symbol: TXN | Quote: {}
Missing or empty price for symbol: TSCO | Quote: {}
Missing or empty price for symbol: TWST | Quote: {}
Missing or empty price for symbol: TROW | Quote: {}
Missing or empty price for symbol: TW | Quote: {}
Missing or empty price for symbol: TSAT | Quote: {}
Missing or empty price for symbol: TTI | Quote: {}
Missing or empty price for symbol: TSM | Quote: {}
Missing or empty price for symbol: UAMY | Quote: {}
Missing or empty price for symbol: DERM | Quote: {}
Missing or empty price for symbol: TRP | Quote: {}
Missing or empty price for symbol: TXG | Quote: {}
Missing or empty price for symbol: UNM | Quote: {}
Missing or empty price for symbol: UNP | Quote: {}
Missing or empty price for symbol: UPS | Quote: {}
Missing or empty price for symbol: USB | Quote: {}
Missing or empty price for symbol: UROY | Quote: {}
Missing or empty price for symbol: UNH | Quote: {}
Missing or empty price for symbol: VANI | Quote: {}
Missing or empty price for symbol: UHAL | Quote: {}
Missing or empty price for symbol: VAC | Quote: {}
Missing or empty price for symbol: UTZ | Quote: {}
Missing or empty price for symbol: ULS | Quote: {}
Missing or empty price for symbol: UMBF | Quote: {}
Missing or empty price for symbol: UTHR | Quote: {}
Missing or empty price for symbol: UGI | Quote: {}
Missing or empty price for symbol: UPST | Quote: {}
Missing or empty price for symbol: USFD | Quote: {}
Missing or empty price for symbol: UEC | Quote: {}
Missing or empty price for symbol: VALE | Quote: {}
Missing or empty price for symbol: URBN | Quote: {}
Missing or empty price for symbol: VCEL | Quote: {}
Missing or empty price for symbol: VIK | Quote: {}
Missing or empty price for symbol: VERA | Quote: {}
Missing or empty price for symbol: VKTX | Quote: {}
Missing or empty price for symbol: VLRS | Quote: {}
Missing or empty price for symbol: VLN | Quote: {}
Missing or empty price for symbol: VLO | Quote: {}
Missing or empty price for symbol: VMD | Quote: {}
Missing or empty price for symbol: VEEV | Quote: {}
Missing or empty price for symbol: VSTS | Quote: {}
Missing or empty price for symbol: VSAT | Quote: {}
Missing or empty price for symbol: VOYA | Quote: {}
Missing or empty price for symbol: VTRS | Quote: {}
Missing or empty price for symbol: VRRM | Quote: {}
Missing or empty price for symbol: VRSN | Quote: {}
Missing or empty price for symbol: VREX | Quote: {}
Missing or empty price for symbol: VRSK | Quote: {}
Missing or empty price for symbol: VPG | Quote: {}
Missing or empty price for symbol: VOD | Quote: {}
Missing or empty price for symbol: VSEC | Quote: {}
Missing or empty price for symbol: WCN | Quote: {}
Missing or empty price for symbol: VVV | Quote: {}
Missing or empty price for symbol: GM | Quote: {}
Missing or empty price for symbol: IPI | Quote: {}
Missing or empty price for symbol: WCC | Quote: {}
Missing or empty price for symbol: RKT | Quote: {}
Missing or empty price for symbol: WIT | Quote: {}
Missing or empty price for symbol: VELO | Quote: {}
Missing or empty price for symbol: WD | Quote: {}
Missing or empty price for symbol: VTYX | Quote: {}
Missing or empty price for symbol: WKHS | Quote: {}
Missing or empty price for symbol: WB | Quote: {}
Missing or empty price for symbol: FTCI | Quote: {}
Missing or empty price for symbol: IPSC | Quote: {}
Missing or empty price for symbol: VTSI | Quote: {}
Missing or empty price for symbol: CNA | Quote: {}
Missing or empty price for symbol: CPA | Quote: {}
Missing or empty price for symbol: CPNG | Quote: {}
Missing or empty price for symbol: XNET | Quote: {}
Missing or empty price for symbol: TTE | Quote: {}
Missing or empty price for symbol: ARLP | Quote: {}
Missing or empty price for symbol: XMTR | Quote: {}
Missing or empty price for symbol: UL | Quote: {}
Missing or empty price for symbol: WHWK | Quote: {}
Missing or empty price for symbol: CTSO | Quote: {}
Missing or empty price for symbol: AA | Quote: {}
Missing or empty price for symbol: LYV | Quote: {}
Missing or empty price for symbol: XPRO | Quote: {}
Missing or empty price for symbol: ZVIA | Quote: {}
Missing or empty price for symbol: Z | Quote: {}
Missing or empty price for symbol: YORW | Quote: {}
Missing or empty price for symbol: YALA | Quote: {}
Missing or empty price for symbol: YOU | Quote: {}
Missing or empty price for symbol: REI | Quote: {}
Missing or empty price for symbol: ZBRA | Quote: {}
Missing or empty price for symbol: YUM | Quote: {}
Missing or empty price for symbol: ZTS | Quote: {}
Missing or empty price for symbol: ZIP | Quote: {}
Missing or empty price for symbol: ZWS | Quote: {}
Missing or empty price for symbol: ZM | Quote: {}
Missing or empty price for symbol: VBNK | Quote: {}
Missing or empty price for symbol: XRAY | Quote: {}
Missing or empty price for symbol: CVI | Quote: {}
Missing or empty price for symbol: LSAK | Quote: {}
Missing or empty price for symbol: TVTX | Quote: {}
Missing or empty price for symbol: PNR | Quote: {}
Missing or empty price for symbol: KDP | Quote: {}
Missing or empty price for symbol: SNAP | Quote: {}
Missing or empty price for symbol: DAKT | Quote: {}
Missing or empty price for symbol: IONQ | Quote: {}
Missing or empty price for symbol: KE | Quote: {}
Missing or empty price for symbol: CF | Quote: {}
Missing or empty price for symbol: CBZ | Quote: {}
Missing or empty price for symbol: SPRY | Quote: {}
Missing or empty price for symbol: TU | Quote: {}
Missing or empty price for symbol: CMPO | Quote: {}
Missing or empty price for symbol: MGM | Quote: {}
Missing or empty price for symbol: LRN | Quote: {}
Missing or empty price for symbol: HVT | Quote: {}
Missing or empty price for symbol: IDA | Quote: {}
Missing or empty price for symbol: BHVN | Quote: {}
Missing or empty price for symbol: ICFI | Quote: {}
Missing or empty price for symbol: WSM | Quote: {}
Missing or empty price for symbol: PTN | Quote: {}
Missing or empty price for symbol: BBD | Quote: {}
Missing or empty price for symbol: TRIP | Quote: {}
Missing or empty price for symbol: CHTR | Quote: {}
Missing or empty price for symbol: BC | Quote: {}
Missing or empty price for symbol: WEX | Quote: {}
Missing or empty price for symbol: PRCT | Quote: {}
Missing or empty price for symbol: SUPN | Quote: {}
Missing or empty price for symbol: CHRW | Quote: {}
Missing or empty price for symbol: ARRY | Quote: {}
Missing or empty price for symbol: BBDC | Quote: {}
Missing or empty price for symbol: YRD | Quote: {}
Missing or empty price for symbol: SWK | Quote: {}
Missing or empty price for symbol: MRSN | Quote: {}
Missing or empty price for symbol: OGS | Quote: {}
Missing or empty price for symbol: MG | Quote: {}
Missing or empty price for symbol: A | Quote: {}
Missing or empty price for symbol: LION | Quote: {}
Missing or empty price for symbol: MCD | Quote: {}
Missing or empty price for symbol: SNDR | Quote: {}
Missing or empty price for symbol: TRIN | Quote: {}
Missing or empty price for symbol: OCFC | Quote: {}
Missing or empty price for symbol: PETS | Quote: {}
Missing or empty price for symbol: RCAT | Quote: {}
Missing or empty price for symbol: ZETA | Quote: {}
Missing or empty price for symbol: CYPH | Quote: {}
Missing or empty price for symbol: ACGL | Quote: {}
Missing or empty price for symbol: GPRE | Quote: {}
Missing or empty price for symbol: TT | Quote: {}
Missing or empty price for symbol: TSSI | Quote: {}
Missing or empty price for symbol: OKE | Quote: {}
Missing or empty price for symbol: OKLO | Quote: {}
Missing or empty price for symbol: GPRO | Quote: {}
Missing or empty price for symbol: NUS | Quote: {}
Missing or empty price for symbol: DG | Quote: {}
Missing or empty price for symbol: OIS | Quote: {}
Missing or empty price for symbol: OLN | Quote: {}
Missing or empty price for symbol: HPE | Quote: {}
Missing or empty price for symbol: DMLP | Quote: {}
Missing or empty price for symbol: EFC | Quote: {}
Missing or empty price for symbol: SRE | Quote: {}
Missing or empty price for symbol: FIVE | Quote: {}
Missing or empty price for symbol: JBTM | Quote: {}
Missing or empty price for symbol: SDRL | Quote: {}
Missing or empty price for symbol: OKTA | Quote: {}
Missing or empty price for symbol: GPMT | Quote: {}
Missing or empty price for symbol: BDX | Quote: {}
Missing or empty price for symbol: GLW | Quote: {}
Missing or empty price for symbol: IEX | Quote: {}
Missing or empty price for symbol: VZ | Quote: {}
Missing or empty price for symbol: HBM | Quote: {}
Missing or empty price for symbol: MTB | Quote: {}
Missing or empty price for symbol: TMHC | Quote: {}
Missing or empty price for symbol: UHS | Quote: {}
Missing or empty price for symbol: DOLE | Quote: {}
Missing or empty price for symbol: TRC | Quote: {}
Missing or empty price for symbol: ORCL | Quote: {}
Missing or empty price for symbol: URI | Quote: {}
Missing or empty price for symbol: FOUR | Quote: {}
Missing or empty price for symbol: RDDT | Quote: {}
Missing or empty price for symbol: INV | Quote: {}
Missing or empty price for symbol: NEE | Quote: {}
Missing or empty price for symbol: LUV | Quote: {}
Missing or empty price for symbol: VIST | Quote: {}
Missing or empty price for symbol: FARM | Quote: {}
Missing or empty price for symbol: RELX | Quote: {}
Missing or empty price for symbol: BODI | Quote: {}
Missing or empty price for symbol: FTHM | Quote: {}
Missing or empty price for symbol: NECB | Quote: {}
Missing or empty price for symbol: GIFI | Quote: {}
Missing or empty price for symbol: BZUN | Quote: {}
Missing or empty price for symbol: RPM | Quote: {}
Missing or empty price for symbol: TGNA | Quote: {}
Missing or empty price for symbol: NTR | Quote: {}
Missing or empty price for symbol: FA | Quote: {}
Missing or empty price for symbol: SHEN | Quote: {}
Missing or empty price for symbol: ERO | Quote: {}
Missing or empty price for symbol: ODFL | Quote: {}
Missing or empty price for symbol: OLP | Quote: {}
Missing or empty price for symbol: LTRX | Quote: {}
Missing or empty price for symbol: PSTL | Quote: {}
Missing or empty price for symbol: LMT | Quote: {}
Missing or empty price for symbol: VYGR | Quote: {}
Missing or empty price for symbol: CFG | Quote: {}
Missing or empty price for symbol: CHWY | Quote: {}
Missing or empty price for symbol: HTLD | Quote: {}
Missing or empty price for symbol: MYE | Quote: {}
Missing or empty price for symbol: NMRA | Quote: {}
Missing or empty price for symbol: HPQ | Quote: {}
Missing or empty price for symbol: ESTC | Quote: {}
Missing or empty price for symbol: ONTO | Quote: {}
Missing or empty price for symbol: SII | Quote: {}
Missing or empty price for symbol: TERN | Quote: {}
Missing or empty price for symbol: VET | Quote: {}
Missing or empty price for symbol: CNK | Quote: {}
Missing or empty price for symbol: HRB | Quote: {}
Missing or empty price for symbol: XOM | Quote: {}
Missing or empty price for symbol: FBP | Quote: {}
Missing or empty price for symbol: ASIX | Quote: {}
Missing or empty price for symbol: TDOC | Quote: {}
Missing or empty price for symbol: OBK | Quote: {}
Missing or empty price for symbol: AIR | Quote: {}
Missing or empty price for symbol: TRUE | Quote: {}
Missing or empty price for symbol: RWT | Quote: {}
Missing or empty price for symbol: EFX | Quote: {}
Missing or empty price for symbol: NBTB | Quote: {}
Missing or empty price for symbol: MBIN | Quote: {}
Missing or empty price for symbol: VFC | Quote: {}
Missing or empty price for symbol: BP | Quote: {}
Missing or empty price for symbol: PCG | Quote: {}
Missing or empty price for symbol: SD | Quote: {}
Missing or empty price for symbol: CTRA | Quote: {}
Missing or empty price for symbol: ACIU | Quote: {}
Missing or empty price for symbol: USPH | Quote: {}
Missing or empty price for symbol: RIVN | Quote: {}
Missing or empty price for symbol: SIG | Quote: {}
Missing or empty price for symbol: AXS | Quote: {}
Missing or empty price for symbol: SAIL | Quote: {}
Missing or empty price for symbol: JBGS | Quote: {}
Missing or empty price for symbol: JOE | Quote: {}
Missing or empty price for symbol: HCA | Quote: {}
Missing or empty price for symbol: AMRC | Quote: {}
Missing or empty price for symbol: GLBE | Quote: {}
Missing or empty price for symbol: NKE | Quote: {}
Missing or empty price for symbol: QCRH | Quote: {}
Missing or empty price for symbol: AVT | Quote: {}
Missing or empty price for symbol: KWR | Quote: {}
Missing or empty price for symbol: BHR | Quote: {}
Missing or empty price for symbol: TOST | Quote: {}
Missing or empty price for symbol: UBER | Quote: {}
Missing or empty price for symbol: RH | Quote: {}
Missing or empty price for symbol: SCSC | Quote: {}
Missing or empty price for symbol: RRX | Quote: {}
Missing or empty price for symbol: NEU | Quote: {}
Missing or empty price for symbol: CRVL | Quote: {}
Missing or empty price for symbol: OEC | Quote: {}
Missing or empty price for symbol: JBI | Quote: {}
Missing or empty price for symbol: TTSH | Quote: {}
Missing or empty price for symbol: UNF | Quote: {}
Missing or empty price for symbol: ITP | Quote: {}
Missing or empty price for symbol: VC | Quote: {}
Missing or empty price for symbol: TWIN | Quote: {}
Missing or empty price for symbol: QGEN | Quote: {}
Missing or empty price for symbol: STHO | Quote: {}
Missing or empty price for symbol: G | Quote: {}
Missing or empty price for symbol: UBS | Quote: {}
Missing or empty price for symbol: SRCE | Quote: {}
Missing or empty price for symbol: TVRD | Quote: {}
Missing or empty price for symbol: SMHI | Quote: {}
Missing or empty price for symbol: ARQ | Quote: {}
Missing or empty price for symbol: MTN | Quote: {}
Missing or empty price for symbol: MTD | Quote: {}
Missing or empty price for symbol: CYH | Quote: {}
Missing or empty price for symbol: ARCB | Quote: {}
Missing or empty price for symbol: IIIV | Quote: {}
Missing or empty price for symbol: WKC | Quote: {}
Missing or empty price for symbol: SGC | Quote: {}
Missing or empty price for symbol: ALG | Quote: {}
Missing or empty price for symbol: APA | Quote: {}
Missing or empty price for symbol: BXP | Quote: {}
Missing or empty price for symbol: THO | Quote: {}
Missing or empty price for symbol: JBL | Quote: {}
Missing or empty price for symbol: MORN | Quote: {}
Missing or empty price for symbol: CHGG | Quote: {}
Missing or empty price for symbol: CCU | Quote: {}
Missing or empty price for symbol: CCBG | Quote: {}
Missing or empty price for symbol: VSH | Quote: {}
Missing or empty price for symbol: GATX | Quote: {}
Missing or empty price for symbol: MTZ | Quote: {}
Missing or empty price for symbol: TNGX | Quote: {}
Missing or empty price for symbol: ANIK | Quote: {}
Missing or empty price for symbol: AYI | Quote: {}
Missing or empty price for symbol: REX | Quote: {}
Missing or empty price for symbol: XPEL | Quote: {}
Missing or empty price for symbol: EGP | Quote: {}
Missing or empty price for symbol: NIC | Quote: {}
Missing or empty price for symbol: EVCM | Quote: {}
Missing or empty price for symbol: DCO | Quote: {}
Missing or empty price for symbol: PJT | Quote: {}
Missing or empty price for symbol: PLXS | Quote: {}
Missing or empty price for symbol: MMYT | Quote: {}
Missing or empty price for symbol: IOSP | Quote: {}
Missing or empty price for symbol: PRSU | Quote: {}
Missing or empty price for symbol: NPO | Quote: {}
Missing or empty price for symbol: LNN | Quote: {}
Missing or empty price for symbol: INVX | Quote: {}
Missing or empty price for symbol: HGV | Quote: {}
Missing or empty price for symbol: INBX | Quote: {}
Missing or empty price for symbol: KTCC | Quote: {}
Missing or empty price for symbol: SCHL | Quote: {}
Missing or empty price for symbol: ORKA | Quote: {}
Missing or empty price for symbol: CRAI | Quote: {}
Missing or empty price for symbol: CPF | Quote: {}
Missing or empty price for symbol: UE | Quote: {}
Missing or empty price for symbol: SPNS | Quote: {}
Missing or empty price for symbol: ACDC | Quote: {}
Missing or empty price for symbol: STVN | Quote: {}
Missing or empty price for symbol: ALLT | Quote: {}
Missing or empty price for symbol: XOMA | Quote: {}
Missing or empty price for symbol: ACB | Quote: {}
Missing or empty price for symbol: ACET | Quote: {}
Missing or empty price for symbol: AIRO | Quote: {}
Missing or empty price for symbol: UFPT | Quote: {}
Missing or empty price for symbol: ZD | Quote: {}
Missing or empty price for symbol: QNTM | Quote: {}
Missing or empty price for symbol: ABVC | Quote: {}
Missing or empty price for symbol: AQMS | Quote: {}
Missing or empty price for symbol: ARMP | Quote: {}
Missing or empty price for symbol: ANY | Quote: {}
Missing or empty price for symbol: ATER | Quote: {}
Missing or empty price for symbol: AMTX | Quote: {}
Missing or empty price for symbol: ATLX | Quote: {}
Missing or empty price for symbol: ANVS | Quote: {}
Missing or empty price for symbol: AMWL | Quote: {}
Missing or empty price for symbol: AVTX | Quote: {}
Missing or empty price for symbol: APT | Quote: {}
Missing or empty price for symbol: AREN | Quote: {}
Missing or empty price for symbol: BMRA | Quote: {}
Missing or empty price for symbol: BBAI | Quote: {}
Missing or empty price for symbol: BARK | Quote: {}
Missing or empty price for symbol: BRLT | Quote: {}
Missing or empty price for symbol: BCAB | Quote: {}
Missing or empty price for symbol: BKKT | Quote: {}
Missing or empty price for symbol: BLRX | Quote: {}
Missing or empty price for symbol: BYSI | Quote: {}
Missing or empty price for symbol: CISO | Quote: {}
Missing or empty price for symbol: CBLL | Quote: {}
Missing or empty price for symbol: BYND | Quote: {}
Missing or empty price for symbol: BZAI | Quote: {}
Missing or empty price for symbol: CCLD | Quote: {}
Missing or empty price for symbol: CGC | Quote: {}
Missing or empty price for symbol: CVAC | Quote: {}
Missing or empty price for symbol: CRESY | Quote: {}
Missing or empty price for symbol: CMTL | Quote: {}
Missing or empty price for symbol: MEI | Quote: {}
Missing or empty price for symbol: MET | Quote: {}
Missing or empty price for symbol: CRSP | Quote: {}
Missing or empty price for symbol: CRML | Quote: {}
Missing or empty price for symbol: CODX | Quote: {}
Missing or empty price for symbol: COSM | Quote: {}
Missing or empty price for symbol: DAIO | Quote: {}
Missing or empty price for symbol: BAP | Quote: {}
Missing or empty price for symbol: DBVT | Quote: {}
Missing or empty price for symbol: DNA | Quote: {}
Missing or empty price for symbol: DWTX | Quote: {}
Missing or empty price for symbol: DPRO | Quote: {}
Missing or empty price for symbol: ASPI | Quote: {}
Missing or empty price for symbol: EC | Quote: {}
Missing or empty price for symbol: MEC | Quote: {}
Missing or empty price for symbol: EQ | Quote: {}
Missing or empty price for symbol: FBIO | Quote: {}
Missing or empty price for symbol: ASAN | Quote: {}
Missing or empty price for symbol: FBRX | Quote: {}
