Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-14T11:55:51.859828600
Total Errors: 1771

Missing or empty price for symbol: OPRX | Quote: {}
Missing or empty price for symbol: UPST | Quote: {}
Missing or empty price for symbol: VERX | Quote: {}
Missing or empty price for symbol: VCEL | Quote: {}
Missing or empty price for symbol: VFF | Quote: {}
Missing or empty price for symbol: VMD | Quote: {}
Missing or empty price for symbol: VITL | Quote: {}
Missing or empty price for symbol: VIAV | Quote: {}
Missing or empty price for symbol: VERA | Quote: {}
Missing or empty price for symbol: VLO | Quote: {}
Missing or empty price for symbol: VICI | Quote: {}
Missing or empty price for symbol: UWMC | Quote: {}
Missing or empty price for symbol: VKTX | Quote: {}
Missing or empty price for symbol: VNDA | Quote: {}
Missing or empty price for symbol: VLRS | Quote: {}
Missing or empty price for symbol: VPG | Quote: {}
Missing or empty price for symbol: VSAT | Quote: {}
Missing or empty price for symbol: PLCE | Quote: {}
Missing or empty price for symbol: VST | Quote: {}
Missing or empty price for symbol: VREX | Quote: {}
Missing or empty price for symbol: VSCO | Quote: {}
Missing or empty price for symbol: VOYA | Quote: {}
Missing or empty price for symbol: VTEX | Quote: {}
Missing or empty price for symbol: VRSN | Quote: {}
Missing or empty price for symbol: VTLE | Quote: {}
Missing or empty price for symbol: VRSK | Quote: {}
Missing or empty price for symbol: VSTS | Quote: {}
Missing or empty price for symbol: WIT | Quote: {}
Missing or empty price for symbol: VVV | Quote: {}
Missing or empty price for symbol: FTCI | Quote: {}
Missing or empty price for symbol: VELO | Quote: {}
Missing or empty price for symbol: WB | Quote: {}
Missing or empty price for symbol: GM | Quote: {}
Missing or empty price for symbol: RKT | Quote: {}
Missing or empty price for symbol: WDAY | Quote: {}
Missing or empty price for symbol: VTSI | Quote: {}
Missing or empty price for symbol: WD | Quote: {}
Missing or empty price for symbol: WCN | Quote: {}
Missing or empty price for symbol: WHWK | Quote: {}
Missing or empty price for symbol: XFOR | Quote: {}
Missing or empty price for symbol: CTSO | Quote: {}
Missing or empty price for symbol: WOOF | Quote: {}
Missing or empty price for symbol: BSET | Quote: {}
Missing or empty price for symbol: WMT | Quote: {}
Missing or empty price for symbol: TTE | Quote: {}
Missing or empty price for symbol: RGS | Quote: {}
Missing or empty price for symbol: ZIP | Quote: {}
Missing or empty price for symbol: ZBRA | Quote: {}
Missing or empty price for symbol: AA | Quote: {}
Missing or empty price for symbol: Z | Quote: {}
Missing or empty price for symbol: LYV | Quote: {}
Missing or empty price for symbol: YETI | Quote: {}
Missing or empty price for symbol: REI | Quote: {}
Missing or empty price for symbol: USAC | Quote: {}
Missing or empty price for symbol: UFI | Quote: {}
Missing or empty price for symbol: YORW | Quote: {}
Missing or empty price for symbol: YUMC | Quote: {}
Missing or empty price for symbol: ZS | Quote: {}
Missing or empty price for symbol: VBNK | Quote: {}
Missing or empty price for symbol: REKR | Quote: {}
Missing or empty price for symbol: ZWS | Quote: {}
Missing or empty price for symbol: XRAY | Quote: {}
Missing or empty price for symbol: MGM | Quote: {}
Missing or empty price for symbol: AME | Quote: {}
Missing or empty price for symbol: DAL | Quote: {}
Missing or empty price for symbol: PNR | Quote: {}
Missing or empty price for symbol: BHVN | Quote: {}
Missing or empty price for symbol: PTN | Quote: {}
Missing or empty price for symbol: LSAK | Quote: {}
Missing or empty price for symbol: DAKT | Quote: {}
Missing or empty price for symbol: TVTX | Quote: {}
Missing or empty price for symbol: CMPO | Quote: {}
Missing or empty price for symbol: MBLY | Quote: {}
Missing or empty price for symbol: LRN | Quote: {}
Missing or empty price for symbol: TU | Quote: {}
Missing or empty price for symbol: HVT | Quote: {}
Missing or empty price for symbol: DAN | Quote: {}
Missing or empty price for symbol: CVI | Quote: {}
Missing or empty price for symbol: ICFI | Quote: {}
Missing or empty price for symbol: RTX | Quote: {}
Missing or empty price for symbol: STKL | Quote: {}
Missing or empty price for symbol: SNAP | Quote: {}
Missing or empty price for symbol: ONON | Quote: {}
Missing or empty price for symbol: CINT | Quote: {}
Missing or empty price for symbol: A | Quote: {}
Missing or empty price for symbol: DE | Quote: {}
Missing or empty price for symbol: WEX | Quote: {}
Missing or empty price for symbol: ABCB | Quote: {}
Missing or empty price for symbol: TTAN | Quote: {}
Missing or empty price for symbol: SWK | Quote: {}
Missing or empty price for symbol: YRD | Quote: {}
Missing or empty price for symbol: OCFC | Quote: {}
Missing or empty price for symbol: PII | Quote: {}
Missing or empty price for symbol: CINF | Quote: {}
Missing or empty price for symbol: RCAT | Quote: {}
Missing or empty price for symbol: AG | Quote: {}
Missing or empty price for symbol: PRCT | Quote: {}
Missing or empty price for symbol: CHRW | Quote: {}
Missing or empty price for symbol: ARRY | Quote: {}
Missing or empty price for symbol: TRIN | Quote: {}
Missing or empty price for symbol: CHTR | Quote: {}
Missing or empty price for symbol: SSP | Quote: {}
Missing or empty price for symbol: ACGL | Quote: {}
Missing or empty price for symbol: S | Quote: {}
Missing or empty price for symbol: HP | Quote: {}
Missing or empty price for symbol: TCBK | Quote: {}
Missing or empty price for symbol: GPRE | Quote: {}
Missing or empty price for symbol: TT | Quote: {}
Missing or empty price for symbol: SDRL | Quote: {}
Missing or empty price for symbol: ZEUS | Quote: {}
Missing or empty price for symbol: GPRO | Quote: {}
Missing or empty price for symbol: TCMD | Quote: {}
Missing or empty price for symbol: SRE | Quote: {}
Missing or empty price for symbol: OKLO | Quote: {}
Missing or empty price for symbol: EFC | Quote: {}
Missing or empty price for symbol: EXPI | Quote: {}
Missing or empty price for symbol: OKTA | Quote: {}
Missing or empty price for symbol: NUVB | Quote: {}
Missing or empty price for symbol: FIVE | Quote: {}
Missing or empty price for symbol: DG | Quote: {}
Missing or empty price for symbol: GPN | Quote: {}
Missing or empty price for symbol: MTB | Quote: {}
Missing or empty price for symbol: RDDT | Quote: {}
Missing or empty price for symbol: VZ | Quote: {}
Missing or empty price for symbol: GLW | Quote: {}
Missing or empty price for symbol: URI | Quote: {}
Missing or empty price for symbol: ORCL | Quote: {}
Missing or empty price for symbol: UHS | Quote: {}
Missing or empty price for symbol: GBDC | Quote: {}
Missing or empty price for symbol: CVE | Quote: {}
Missing or empty price for symbol: DLHC | Quote: {}
Missing or empty price for symbol: LUV | Quote: {}
Missing or empty price for symbol: HCC | Quote: {}
Missing or empty price for symbol: WYY | Quote: {}
Missing or empty price for symbol: UIS | Quote: {}
Missing or empty price for symbol: NEE | Quote: {}
Missing or empty price for symbol: FLS | Quote: {}
Missing or empty price for symbol: STEP | Quote: {}
Missing or empty price for symbol: BODI | Quote: {}
Missing or empty price for symbol: EU | Quote: {}
Missing or empty price for symbol: CNDT | Quote: {}
Missing or empty price for symbol: RPM | Quote: {}
Missing or empty price for symbol: SPGI | Quote: {}
Missing or empty price for symbol: GIFI | Quote: {}
Missing or empty price for symbol: FARM | Quote: {}
Missing or empty price for symbol: DEFT | Quote: {}
Missing or empty price for symbol: FTHM | Quote: {}
Missing or empty price for symbol: BZUN | Quote: {}
Missing or empty price for symbol: CIB | Quote: {}
Missing or empty price for symbol: TGNA | Quote: {}
Missing or empty price for symbol: GSL | Quote: {}
Missing or empty price for symbol: FA | Quote: {}
Missing or empty price for symbol: NL | Quote: {}
Missing or empty price for symbol: ODFL | Quote: {}
Missing or empty price for symbol: SHEN | Quote: {}
Missing or empty price for symbol: CFFN | Quote: {}
Missing or empty price for symbol: PMVP | Quote: {}
Missing or empty price for symbol: PSTG | Quote: {}
Missing or empty price for symbol: NMRA | Quote: {}
Missing or empty price for symbol: NTR | Quote: {}
Missing or empty price for symbol: VNO | Quote: {}
Missing or empty price for symbol: LTRX | Quote: {}
Missing or empty price for symbol: KEY | Quote: {}
Missing or empty price for symbol: CFG | Quote: {}
Missing or empty price for symbol: GANX | Quote: {}
Missing or empty price for symbol: NBTB | Quote: {}
Missing or empty price for symbol: KBR | Quote: {}
Missing or empty price for symbol: FRO | Quote: {}
Missing or empty price for symbol: PG | Quote: {}
Missing or empty price for symbol: AIR | Quote: {}
Missing or empty price for symbol: PCG | Quote: {}
Missing or empty price for symbol: BB | Quote: {}
Missing or empty price for symbol: RWT | Quote: {}
Missing or empty price for symbol: MBIN | Quote: {}
Missing or empty price for symbol: HRB | Quote: {}
Missing or empty price for symbol: SD | Quote: {}
Missing or empty price for symbol: MITT | Quote: {}
Missing or empty price for symbol: EFX | Quote: {}
Missing or empty price for symbol: WTTR | Quote: {}
Missing or empty price for symbol: JOE | Quote: {}
Missing or empty price for symbol: QCRH | Quote: {}
Missing or empty price for symbol: BATRA | Quote: {}
Missing or empty price for symbol: AMRC | Quote: {}
Missing or empty price for symbol: MGPI | Quote: {}
Missing or empty price for symbol: KWR | Quote: {}
Missing or empty price for symbol: AVT | Quote: {}
Missing or empty price for symbol: RH | Quote: {}
Missing or empty price for symbol: MTN | Quote: {}
Missing or empty price for symbol: OEC | Quote: {}
Missing or empty price for symbol: PB | Quote: {}
Missing or empty price for symbol: ITP | Quote: {}
Missing or empty price for symbol: PWP | Quote: {}
Missing or empty price for symbol: TRST | Quote: {}
Missing or empty price for symbol: NEU | Quote: {}
Missing or empty price for symbol: PFIS | Quote: {}
Missing or empty price for symbol: STHO | Quote: {}
Missing or empty price for symbol: SRCE | Quote: {}
Missing or empty price for symbol: ARQ | Quote: {}
Missing or empty price for symbol: SMHI | Quote: {}
Missing or empty price for symbol: JBI | Quote: {}
Missing or empty price for symbol: CHGG | Quote: {}
Missing or empty price for symbol: ANIK | Quote: {}
Missing or empty price for symbol: GATX | Quote: {}
Missing or empty price for symbol: LCII | Quote: {}
Missing or empty price for symbol: JBL | Quote: {}
Missing or empty price for symbol: THO | Quote: {}
Missing or empty price for symbol: ARCB | Quote: {}
Missing or empty price for symbol: REX | Quote: {}
Missing or empty price for symbol: XPER | Quote: {}
Missing or empty price for symbol: VSH | Quote: {}
Missing or empty price for symbol: MTZ | Quote: {}
Missing or empty price for symbol: PCB | Quote: {}
Missing or empty price for symbol: ORKA | Quote: {}
Missing or empty price for symbol: DCO | Quote: {}
Missing or empty price for symbol: IOSP | Quote: {}
Missing or empty price for symbol: NPO | Quote: {}
Missing or empty price for symbol: MHO | Quote: {}
Missing or empty price for symbol: PRSU | Quote: {}
Missing or empty price for symbol: MTRN | Quote: {}
Missing or empty price for symbol: HBT | Quote: {}
Missing or empty price for symbol: RSVR | Quote: {}
Missing or empty price for symbol: DT | Quote: {}
Missing or empty price for symbol: SCHL | Quote: {}
Missing or empty price for symbol: FSBC | Quote: {}
Missing or empty price for symbol: PLXS | Quote: {}
Missing or empty price for symbol: PIPR | Quote: {}
Missing or empty price for symbol: AMBR | Quote: {}
Missing or empty price for symbol: AEHR | Quote: {}
Missing or empty price for symbol: ABSI | Quote: {}
Missing or empty price for symbol: XOMA | Quote: {}
Missing or empty price for symbol: ZD | Quote: {}
Missing or empty price for symbol: ACET | Quote: {}
Missing or empty price for symbol: ALLT | Quote: {}
Missing or empty price for symbol: STVN | Quote: {}
Missing or empty price for symbol: SNN | Quote: {}
Missing or empty price for symbol: VMI | Quote: {}
Missing or empty price for symbol: UFPT | Quote: {}
Missing or empty price for symbol: ACB | Quote: {}
Missing or empty price for symbol: ARMP | Quote: {}
Missing or empty price for symbol: ATER | Quote: {}
Missing or empty price for symbol: ARQQ | Quote: {}
Missing or empty price for symbol: AMWL | Quote: {}
Missing or empty price for symbol: AVTX | Quote: {}
Missing or empty price for symbol: APT | Quote: {}
Missing or empty price for symbol: AREN | Quote: {}
Missing or empty price for symbol: BEEM | Quote: {}
Missing or empty price for symbol: BALY | Quote: {}
Missing or empty price for symbol: IMCR | Quote: {}
Missing or empty price for symbol: BBAI | Quote: {}
Missing or empty price for symbol: BARK | Quote: {}
Missing or empty price for symbol: CBAT | Quote: {}
Missing or empty price for symbol: CELU | Quote: {}
Missing or empty price for symbol: METC | Quote: {}
Missing or empty price for symbol: CISO | Quote: {}
Missing or empty price for symbol: BTCS | Quote: {}
Missing or empty price for symbol: CHPT | Quote: {}
Missing or empty price for symbol: CAPR | Quote: {}
Missing or empty price for symbol: CLIR | Quote: {}
Missing or empty price for symbol: CRML | Quote: {}
Missing or empty price for symbol: CURV | Quote: {}
Missing or empty price for symbol: CODX | Quote: {}
Missing or empty price for symbol: CMTL | Quote: {}
Missing or empty price for symbol: MERC | Quote: {}
Missing or empty price for symbol: CRCL | Quote: {}
Missing or empty price for symbol: COSM | Quote: {}
Missing or empty price for symbol: MEOH | Quote: {}
Missing or empty price for symbol: DIBS | Quote: {}
Missing or empty price for symbol: MED | Quote: {}
Missing or empty price for symbol: DLPN | Quote: {}
Missing or empty price for symbol: DNA | Quote: {}
Missing or empty price for symbol: DFDV | Quote: {}
Missing or empty price for symbol: BAP | Quote: {}
Missing or empty price for symbol: EC | Quote: {}
Missing or empty price for symbol: ASPI | Quote: {}
Missing or empty price for symbol: EDAP | Quote: {}
Missing or empty price for symbol: DOYU | Quote: {}
Missing or empty price for symbol: MDU | Quote: {}
Missing or empty price for symbol: EVAX | Quote: {}
Missing or empty price for symbol: MDXG | Quote: {}
Missing or empty price for symbol: FCEL | Quote: {}
Missing or empty price for symbol: PFE | Quote: {}
Missing or empty price for symbol: FTFT | Quote: {}
Missing or empty price for symbol: MCY | Quote: {}
Missing or empty price for symbol: GASS | Quote: {}
Missing or empty price for symbol: AS | Quote: {}
Missing or empty price for symbol: FLR | Quote: {}
Missing or empty price for symbol: GAME | Quote: {}
Missing or empty price for symbol: GORO | Quote: {}
Missing or empty price for symbol: DSX | Quote: {}
Missing or empty price for symbol: PATH | Quote: {}
Missing or empty price for symbol: HCM | Quote: {}
Missing or empty price for symbol: LHX | Quote: {}
Missing or empty price for symbol: GTIM | Quote: {}
Missing or empty price for symbol: LGO | Quote: {}
Missing or empty price for symbol: LFWD | Quote: {}
Missing or empty price for symbol: LAC | Quote: {}
Missing or empty price for symbol: KULR | Quote: {}
Missing or empty price for symbol: WTRG | Quote: {}
Missing or empty price for symbol: LWLG | Quote: {}
Missing or empty price for symbol: LUCK | Quote: {}
Missing or empty price for symbol: LOOP | Quote: {}
Missing or empty price for symbol: MBOT | Quote: {}
Missing or empty price for symbol: NFGC | Quote: {}
Missing or empty price for symbol: MOGO | Quote: {}
Missing or empty price for symbol: LUXE | Quote: {}
Missing or empty price for symbol: CMCT | Quote: {}
Missing or empty price for symbol: NSPR | Quote: {}
Missing or empty price for symbol: NMAX | Quote: {}
Missing or empty price for symbol: NNVC | Quote: {}
Missing or empty price for symbol: NEXA | Quote: {}
Missing or empty price for symbol: PDYN | Quote: {}
Missing or empty price for symbol: OCGN | Quote: {}
Missing or empty price for symbol: PEPG | Quote: {}
Missing or empty price for symbol: EWCZ | Quote: {}
Missing or empty price for symbol: NVX | Quote: {}
Missing or empty price for symbol: NEXN | Quote: {}
Missing or empty price for symbol: ODV | Quote: {}
Missing or empty price for symbol: PAVM | Quote: {}
Missing or empty price for symbol: PLUR | Quote: {}
Missing or empty price for symbol: PRPH | Quote: {}
Missing or empty price for symbol: PLUG | Quote: {}
Missing or empty price for symbol: PROK | Quote: {}
Missing or empty price for symbol: PRTS | Quote: {}
Missing or empty price for symbol: PRPL | Quote: {}
Missing or empty price for symbol: POET | Quote: {}
Missing or empty price for symbol: PSEC | Quote: {}
Missing or empty price for symbol: VIVS | Quote: {}
Missing or empty price for symbol: TKC | Quote: {}
Missing or empty price for symbol: IVVD | Quote: {}
Missing or empty price for symbol: NEWP | Quote: {}
Missing or empty price for symbol: HBCP | Quote: {}
Missing or empty price for symbol: UAVS | Quote: {}
Missing or empty price for symbol: INTZ | Quote: {}
Missing or empty price for symbol: GLP | Quote: {}
Missing or empty price for symbol: AIRS | Quote: {}
Missing or empty price for symbol: BCDA | Quote: {}
Missing or empty price for symbol: CRON | Quote: {}
Missing or empty price for symbol: HYPD | Quote: {}
Missing or empty price for symbol: BHRB | Quote: {}
Missing or empty price for symbol: ATRA | Quote: {}
Missing or empty price for symbol: PGY | Quote: {}
Missing or empty price for symbol: COUR | Quote: {}
Missing or empty price for symbol: ANRO | Quote: {}
Missing or empty price for symbol: TRX | Quote: {}
Missing or empty price for symbol: HNGE | Quote: {}
Missing or empty price for symbol: AIRG | Quote: {}
Missing or empty price for symbol: CB | Quote: {}
Missing or empty price for symbol: SYM | Quote: {}
Missing or empty price for symbol: MTRX | Quote: {}
Missing or empty price for symbol: NRP | Quote: {}
Missing or empty price for symbol: DXLG | Quote: {}
Missing or empty price for symbol: EFXT | Quote: {}
Missing or empty price for symbol: FDMT | Quote: {}
Missing or empty price for symbol: FMS | Quote: {}
Missing or empty price for symbol: MTW | Quote: {}
Missing or empty price for symbol: FMNB | Quote: {}
Missing or empty price for symbol: SAVA | Quote: {}
Missing or empty price for symbol: ZURA | Quote: {}
Missing or empty price for symbol: USNA | Quote: {}
Missing or empty price for symbol: ZDGE | Quote: {}
Missing or empty price for symbol: PPSI | Quote: {}
Missing or empty price for symbol: SRI | Quote: {}
Missing or empty price for symbol: GRFS | Quote: {}
Missing or empty price for symbol: WHR | Quote: {}
Missing or empty price for symbol: OSG | Quote: {}
Missing or empty price for symbol: DSGR | Quote: {}
Missing or empty price for symbol: EPAC | Quote: {}
Missing or empty price for symbol: CLB | Quote: {}
Missing or empty price for symbol: ESE | Quote: {}
Missing or empty price for symbol: ANAB | Quote: {}
Missing or empty price for symbol: AZZ | Quote: {}
Missing or empty price for symbol: AIN | Quote: {}
Missing or empty price for symbol: TOL | Quote: {}
Missing or empty price for symbol: BKV | Quote: {}
Missing or empty price for symbol: CVCO | Quote: {}
