Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-25T04:32:39.270062600
Total Options: 129

These are tier 1 options:
Underlying: META | Expiration: 26-Dec-25 | Strike: 130.00 | Previous Close: 0.31 | Adjusted PE: 2.37 | Yield: 0.23%
Underlying: REGN | Expiration: 26-Dec-25 | Strike: 780.00 | Previous Close: 1.35 | Adjusted PE: 8.63 | Yield: 0.17%
Underlying: XOM | Expiration: 02-Jan-26 | Strike: 119.00 | Previous Close: 0.96 | Adjusted PE: 8.67 | Yield: 0.16%
Underlying: META | Expiration: 30-Jan-26 | Strike: 665.00 | Previous Close: 27.60 | Adjusted PE: 12.11 | Yield: 0.17%
Underlying: MSFT | Expiration: 02-Jan-26 | Strike: 487.50 | Previous Close: 4.25 | Adjusted PE: 18.30 | Yield: 0.17%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 470.00 | Previous Close: 0.85 | Adjusted PE: 19.06 | Yield: 0.18%
Underlying: KAI | Expiration: 16-Jan-26 | Strike: 290.00 | Previous Close: 7.30 | Adjusted PE: 23.23 | Yield: 0.17%
These are tier 4 options:
Underlying: NVO | Expiration: 09-Jan-26 | Strike: 51.00 | Previous Close: 0.97 | Adjusted PE: 1.14 | Yield: 0.19%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 51.00 | Previous Close: 0.42 | Adjusted PE: 1.14 | Yield: 0.16%
Underlying: NVO | Expiration: 16-Jan-26 | Strike: 51.00 | Previous Close: 1.21 | Adjusted PE: 1.14 | Yield: 0.16%
Underlying: NVO | Expiration: 23-Jan-26 | Strike: 51.00 | Previous Close: 1.51 | Adjusted PE: 1.14 | Yield: 0.16%
Underlying: NVO | Expiration: 30-Jan-26 | Strike: 51.00 | Previous Close: 1.73 | Adjusted PE: 1.14 | Yield: 0.14%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 52.00 | Previous Close: 0.20 | Adjusted PE: 1.16 | Yield: 0.37%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 52.00 | Previous Close: 0.77 | Adjusted PE: 1.16 | Yield: 0.29%
Underlying: NVO | Expiration: 09-Jan-26 | Strike: 52.00 | Previous Close: 1.38 | Adjusted PE: 1.16 | Yield: 0.26%
Underlying: NVO | Expiration: 16-Jan-26 | Strike: 52.00 | Previous Close: 1.65 | Adjusted PE: 1.16 | Yield: 0.21%
Underlying: NVO | Expiration: 06-Feb-26 | Strike: 52.00 | Previous Close: 2.77 | Adjusted PE: 1.16 | Yield: 0.18%
Underlying: NVO | Expiration: 30-Jan-26 | Strike: 52.00 | Previous Close: 2.20 | Adjusted PE: 1.16 | Yield: 0.18%
Underlying: NVO | Expiration: 23-Jan-26 | Strike: 52.00 | Previous Close: 1.66 | Adjusted PE: 1.16 | Yield: 0.17%
Underlying: NVO | Expiration: 16-Jan-26 | Strike: 52.50 | Previous Close: 1.88 | Adjusted PE: 1.17 | Yield: 0.24%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 46.00 | Previous Close: 0.07 | Adjusted PE: 1.67 | Yield: 0.13%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 89.00 | Previous Close: 2.42 | Adjusted PE: 3.24 | Yield: 0.14%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 90.00 | Previous Close: 2.78 | Adjusted PE: 3.27 | Yield: 0.16%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 90.00 | Previous Close: 3.02 | Adjusted PE: 3.27 | Yield: 0.14%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 91.00 | Previous Close: 3.20 | Adjusted PE: 3.31 | Yield: 0.18%
Underlying: NFLX | Expiration: 06-Feb-26 | Strike: 91.00 | Previous Close: 3.81 | Adjusted PE: 3.31 | Yield: 0.14%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 92.00 | Previous Close: 3.60 | Adjusted PE: 3.35 | Yield: 0.21%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 92.00 | Previous Close: 3.88 | Adjusted PE: 3.35 | Yield: 0.18%
Underlying: NFLX | Expiration: 06-Feb-26 | Strike: 92.00 | Previous Close: 4.07 | Adjusted PE: 3.35 | Yield: 0.15%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 92.00 | Previous Close: 1.36 | Adjusted PE: 3.35 | Yield: 0.15%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 92.00 | Previous Close: 0.67 | Adjusted PE: 3.35 | Yield: 0.14%
Underlying: NFLX | Expiration: 20-Feb-26 | Strike: 92.00 | Previous Close: 4.66 | Adjusted PE: 3.35 | Yield: 0.13%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 92.50 | Previous Close: 0.81 | Adjusted PE: 3.36 | Yield: 0.17%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 92.50 | Previous Close: 1.57 | Adjusted PE: 3.36 | Yield: 0.17%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 92.50 | Previous Close: 2.01 | Adjusted PE: 3.36 | Yield: 0.14%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 92.50 | Previous Close: 0.14 | Adjusted PE: 3.36 | Yield: 0.14%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 93.00 | Previous Close: 0.25 | Adjusted PE: 3.38 | Yield: 0.26%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 93.00 | Previous Close: 4.10 | Adjusted PE: 3.38 | Yield: 0.23%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 93.00 | Previous Close: 0.98 | Adjusted PE: 3.38 | Yield: 0.21%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 93.00 | Previous Close: 4.41 | Adjusted PE: 3.38 | Yield: 0.20%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 93.00 | Previous Close: 1.83 | Adjusted PE: 3.38 | Yield: 0.20%
Underlying: NFLX | Expiration: 06-Feb-26 | Strike: 93.00 | Previous Close: 4.63 | Adjusted PE: 3.38 | Yield: 0.17%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 93.00 | Previous Close: 2.19 | Adjusted PE: 3.38 | Yield: 0.16%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 93.50 | Previous Close: 0.43 | Adjusted PE: 3.40 | Yield: 0.45%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 93.50 | Previous Close: 1.25 | Adjusted PE: 3.40 | Yield: 0.27%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 93.50 | Previous Close: 1.94 | Adjusted PE: 3.40 | Yield: 0.21%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 93.50 | Previous Close: 2.48 | Adjusted PE: 3.40 | Yield: 0.18%
Underlying: VC | Expiration: 16-Jan-26 | Strike: 95.00 | Previous Close: 2.05 | Adjusted PE: 4.40 | Yield: 0.14%
Underlying: CROX | Expiration: 20-Feb-26 | Strike: 85.00 | Previous Close: 4.50 | Adjusted PE: 4.87 | Yield: 0.14%
Underlying: CROX | Expiration: 20-Feb-26 | Strike: 87.50 | Previous Close: 5.70 | Adjusted PE: 5.01 | Yield: 0.17%
Underlying: CROX | Expiration: 16-Jan-26 | Strike: 87.50 | Previous Close: 2.20 | Adjusted PE: 5.01 | Yield: 0.17%
Underlying: CROX | Expiration: 02-Jan-26 | Strike: 88.00 | Previous Close: 0.85 | Adjusted PE: 5.04 | Yield: 0.19%
Underlying: CROX | Expiration: 09-Jan-26 | Strike: 88.00 | Previous Close: 1.60 | Adjusted PE: 5.04 | Yield: 0.18%
Underlying: CROX | Expiration: 02-Jan-26 | Strike: 90.00 | Previous Close: 1.42 | Adjusted PE: 5.15 | Yield: 0.31%
Underlying: CROX | Expiration: 26-Dec-25 | Strike: 90.00 | Previous Close: 0.29 | Adjusted PE: 5.15 | Yield: 0.31%
Underlying: CROX | Expiration: 16-Jan-26 | Strike: 90.00 | Previous Close: 3.30 | Adjusted PE: 5.15 | Yield: 0.24%
Underlying: CROX | Expiration: 23-Jan-26 | Strike: 90.00 | Previous Close: 4.10 | Adjusted PE: 5.15 | Yield: 0.24%
Underlying: CROX | Expiration: 20-Feb-26 | Strike: 90.00 | Previous Close: 6.80 | Adjusted PE: 5.15 | Yield: 0.20%
Underlying: HAL | Expiration: 26-Dec-25 | Strike: 27.00 | Previous Close: 0.18 | Adjusted PE: 5.46 | Yield: 0.63%
Underlying: HAL | Expiration: 26-Dec-25 | Strike: 28.00 | Previous Close: 0.10 | Adjusted PE: 5.66 | Yield: 0.32%
Underlying: HAL | Expiration: 02-Jan-26 | Strike: 28.00 | Previous Close: 0.33 | Adjusted PE: 5.66 | Yield: 0.23%
Underlying: HAL | Expiration: 09-Jan-26 | Strike: 28.00 | Previous Close: 0.55 | Adjusted PE: 5.66 | Yield: 0.19%
Underlying: HAL | Expiration: 16-Jan-26 | Strike: 28.00 | Previous Close: 0.73 | Adjusted PE: 5.66 | Yield: 0.17%
Underlying: HAL | Expiration: 30-Jan-26 | Strike: 28.00 | Previous Close: 1.15 | Adjusted PE: 5.66 | Yield: 0.17%
Underlying: HAL | Expiration: 23-Jan-26 | Strike: 28.00 | Previous Close: 0.75 | Adjusted PE: 5.66 | Yield: 0.14%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 34.00 | Previous Close: 1.75 | Adjusted PE: 7.72 | Yield: 0.14%
Underlying: LRN | Expiration: 20-Feb-26 | Strike: 60.00 | Previous Close: 3.20 | Adjusted PE: 7.87 | Yield: 0.14%
Underlying: ON | Expiration: 16-Jan-26 | Strike: 53.00 | Previous Close: 1.26 | Adjusted PE: 7.96 | Yield: 0.16%
Underlying: ON | Expiration: 26-Dec-25 | Strike: 54.00 | Previous Close: 0.08 | Adjusted PE: 8.11 | Yield: 0.13%
Underlying: DOCU | Expiration: 09-Jan-26 | Strike: 68.00 | Previous Close: 1.03 | Adjusted PE: 8.16 | Yield: 0.15%
Underlying: DOCU | Expiration: 02-Jan-26 | Strike: 68.00 | Previous Close: 0.50 | Adjusted PE: 8.16 | Yield: 0.14%
Underlying: DOCU | Expiration: 16-Jan-26 | Strike: 68.00 | Previous Close: 1.37 | Adjusted PE: 8.16 | Yield: 0.13%
Underlying: ON | Expiration: 20-Mar-26 | Strike: 55.00 | Previous Close: 4.65 | Adjusted PE: 8.26 | Yield: 0.15%
Underlying: DOCU | Expiration: 26-Dec-25 | Strike: 69.00 | Previous Close: 0.25 | Adjusted PE: 8.28 | Yield: 0.35%
Underlying: DOCU | Expiration: 02-Jan-26 | Strike: 69.00 | Previous Close: 0.80 | Adjusted PE: 8.28 | Yield: 0.23%
Underlying: DOCU | Expiration: 09-Jan-26 | Strike: 69.00 | Previous Close: 1.24 | Adjusted PE: 8.28 | Yield: 0.18%
Underlying: DOCU | Expiration: 16-Jan-26 | Strike: 69.00 | Previous Close: 1.79 | Adjusted PE: 8.28 | Yield: 0.17%
Underlying: DOCU | Expiration: 23-Jan-26 | Strike: 69.00 | Previous Close: 1.97 | Adjusted PE: 8.28 | Yield: 0.15%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 770.00 | Previous Close: 27.10 | Adjusted PE: 8.52 | Yield: 0.15%
Underlying: REGN | Expiration: 16-Jan-26 | Strike: 770.00 | Previous Close: 16.70 | Adjusted PE: 8.52 | Yield: 0.15%
Underlying: REGN | Expiration: 16-Jan-26 | Strike: 775.00 | Previous Close: 18.40 | Adjusted PE: 8.58 | Yield: 0.16%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 780.00 | Previous Close: 29.70 | Adjusted PE: 8.63 | Yield: 0.16%
Underlying: REGN | Expiration: 09-Jan-26 | Strike: 780.00 | Previous Close: 11.80 | Adjusted PE: 8.63 | Yield: 0.15%
Underlying: META | Expiration: 30-Jan-26 | Strike: 650.00 | Previous Close: 20.78 | Adjusted PE: 11.84 | Yield: 0.13%
Underlying: META | Expiration: 30-Jan-26 | Strike: 655.00 | Previous Close: 23.05 | Adjusted PE: 11.93 | Yield: 0.15%
Underlying: META | Expiration: 30-Jan-26 | Strike: 660.00 | Previous Close: 25.00 | Adjusted PE: 12.02 | Yield: 0.16%
Underlying: META | Expiration: 02-Jan-26 | Strike: 660.00 | Previous Close: 4.49 | Adjusted PE: 12.02 | Yield: 0.14%
Underlying: META | Expiration: 09-Jan-26 | Strike: 660.00 | Previous Close: 8.59 | Adjusted PE: 12.02 | Yield: 0.13%
Underlying: META | Expiration: 02-Jan-26 | Strike: 662.50 | Previous Close: 5.24 | Adjusted PE: 12.07 | Yield: 0.16%
Underlying: META | Expiration: 09-Jan-26 | Strike: 662.50 | Previous Close: 9.73 | Adjusted PE: 12.07 | Yield: 0.15%
Underlying: META | Expiration: 26-Dec-25 | Strike: 662.50 | Previous Close: 0.98 | Adjusted PE: 12.07 | Yield: 0.15%
Underlying: QCOM | Expiration: 02-Jan-26 | Strike: 172.50 | Previous Close: 1.27 | Adjusted PE: 12.08 | Yield: 0.15%
Underlying: QCOM | Expiration: 09-Jan-26 | Strike: 172.50 | Previous Close: 2.50 | Adjusted PE: 12.08 | Yield: 0.14%
Underlying: META | Expiration: 09-Jan-26 | Strike: 665.00 | Previous Close: 10.50 | Adjusted PE: 12.11 | Yield: 0.16%
Underlying: META | Expiration: 16-Jan-26 | Strike: 665.00 | Previous Close: 13.33 | Adjusted PE: 12.11 | Yield: 0.13%
Underlying: META | Expiration: 20-Feb-26 | Strike: 665.00 | Previous Close: 33.32 | Adjusted PE: 12.11 | Yield: 0.13%
Underlying: IT | Expiration: 16-Jan-26 | Strike: 250.00 | Previous Close: 6.30 | Adjusted PE: 13.84 | Yield: 0.17%
Underlying: ADBE | Expiration: 02-Jan-26 | Strike: 350.00 | Previous Close: 2.88 | Adjusted PE: 16.18 | Yield: 0.16%
