Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-10-27T08:41:51.575901800
Total Options: 53

These are tier 1 options:
Underlying: ISSC | Expiration: 21-Nov-25 | Strike: 10.00 | Previous Close: 0.60 | Adjusted PE: 14.82 | Yield: 0.30%
Underlying: VNET | Expiration: 19-Dec-25 | Strike: 9.00 | Previous Close: 1.00 | Adjusted PE: 0.47 | Yield: 0.28%
Underlying: CIG | Expiration: 19-Dec-25 | Strike: 1.50 | Previous Close: 0.05 | Adjusted PE: 0.52 | Yield: 0.07%
Underlying: MGNX | Expiration: 17-Apr-26 | Strike: 1.50 | Previous Close: 0.20 | Adjusted PE: 0.82 | Yield: 0.11%
Underlying: F | Expiration: 31-Oct-25 | Strike: 5.00 | Previous Close: 0.07 | Adjusted PE: 0.89 | Yield: 0.24%
Underlying: F | Expiration: 07-Nov-25 | Strike: 5.00 | Previous Close: 0.06 | Adjusted PE: 0.89 | Yield: 0.10%
Underlying: SRPT | Expiration: 21-Nov-25 | Strike: 10.00 | Previous Close: 0.20 | Adjusted PE: 0.92 | Yield: 0.10%
Underlying: SRPT | Expiration: 15-Jan-27 | Strike: 10.00 | Previous Close: 2.40 | Adjusted PE: 0.92 | Yield: 0.08%
Underlying: DAO | Expiration: 21-Nov-25 | Strike: 5.00 | Previous Close: 0.10 | Adjusted PE: 0.93 | Yield: 0.09%
Underlying: XNET | Expiration: 18-Jun-26 | Strike: 6.00 | Previous Close: 0.60 | Adjusted PE: 0.94 | Yield: 0.06%
Underlying: GT | Expiration: 21-Nov-25 | Strike: 6.00 | Previous Close: 0.15 | Adjusted PE: 1.03 | Yield: 0.12%
Underlying: GT | Expiration: 19-Dec-25 | Strike: 6.00 | Previous Close: 0.20 | Adjusted PE: 1.03 | Yield: 0.08%
Underlying: GT | Expiration: 20-Mar-26 | Strike: 6.00 | Previous Close: 0.46 | Adjusted PE: 1.03 | Yield: 0.08%
Underlying: GT | Expiration: 16-Jan-26 | Strike: 6.00 | Previous Close: 0.25 | Adjusted PE: 1.03 | Yield: 0.07%
Underlying: OEC | Expiration: 16-Jan-26 | Strike: 5.00 | Previous Close: 0.30 | Adjusted PE: 1.05 | Yield: 0.10%
Underlying: OEC | Expiration: 17-Apr-26 | Strike: 5.00 | Previous Close: 0.55 | Adjusted PE: 1.05 | Yield: 0.09%
Underlying: XNET | Expiration: 18-Jun-26 | Strike: 7.00 | Previous Close: 0.84 | Adjusted PE: 1.10 | Yield: 0.07%
Underlying: GT | Expiration: 21-Nov-25 | Strike: 7.00 | Previous Close: 0.40 | Adjusted PE: 1.20 | Yield: 0.28%
Underlying: GT | Expiration: 19-Dec-25 | Strike: 7.00 | Previous Close: 0.53 | Adjusted PE: 1.20 | Yield: 0.19%
Underlying: GT | Expiration: 20-Mar-26 | Strike: 7.00 | Previous Close: 0.85 | Adjusted PE: 1.20 | Yield: 0.12%
Underlying: STLA | Expiration: 21-Nov-25 | Strike: 9.00 | Previous Close: 0.13 | Adjusted PE: 1.20 | Yield: 0.07%
Underlying: STLA | Expiration: 19-Dec-25 | Strike: 9.00 | Previous Close: 0.23 | Adjusted PE: 1.20 | Yield: 0.06%
Underlying: STLA | Expiration: 20-Mar-26 | Strike: 9.00 | Previous Close: 0.55 | Adjusted PE: 1.20 | Yield: 0.06%
Underlying: STLA | Expiration: 28-Nov-25 | Strike: 9.50 | Previous Close: 0.20 | Adjusted PE: 1.27 | Yield: 0.08%
Underlying: STLA | Expiration: 21-Nov-25 | Strike: 9.50 | Previous Close: 0.16 | Adjusted PE: 1.27 | Yield: 0.08%
Underlying: STLA | Expiration: 31-Oct-25 | Strike: 10.00 | Previous Close: 0.05 | Adjusted PE: 1.33 | Yield: 0.08%
Underlying: XNET | Expiration: 21-Nov-25 | Strike: 9.00 | Previous Close: 0.72 | Adjusted PE: 1.42 | Yield: 0.39%
Underlying: ARCT | Expiration: 18-Jun-26 | Strike: 7.50 | Previous Close: 1.20 | Adjusted PE: 1.76 | Yield: 0.10%
Underlying: ARCT | Expiration: 20-Mar-26 | Strike: 7.50 | Previous Close: 0.60 | Adjusted PE: 1.76 | Yield: 0.08%
Underlying: EGHT | Expiration: 15-May-26 | Strike: 1.50 | Previous Close: 0.15 | Adjusted PE: 1.78 | Yield: 0.07%
