Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-24T04:33:41.676952200
Total Options: 123

These are tier 1 options:
Underlying: XOM | Expiration: 26-Dec-25 | Strike: 65.00 | Previous Close: 0.63 | Adjusted PE: 4.74 | Yield: 0.48%
Underlying: ALGN | Expiration: 16-Jan-26 | Strike: 155.00 | Previous Close: 4.20 | Adjusted PE: 12.90 | Yield: 0.17%
Underlying: ALGN | Expiration: 20-Feb-26 | Strike: 155.00 | Previous Close: 9.99 | Adjusted PE: 12.90 | Yield: 0.17%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 310.00 | Previous Close: 21.45 | Adjusted PE: 18.41 | Yield: 0.18%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 465.00 | Previous Close: 5.24 | Adjusted PE: 18.86 | Yield: 0.19%
Underlying: SNPS | Expiration: 09-Jan-26 | Strike: 465.00 | Previous Close: 8.60 | Adjusted PE: 18.86 | Yield: 0.17%
Underlying: SNPS | Expiration: 16-Jan-26 | Strike: 470.00 | Previous Close: 13.75 | Adjusted PE: 19.06 | Yield: 0.18%
Underlying: GOOGL | Expiration: 26-Dec-25 | Strike: 312.50 | Previous Close: 1.12 | Adjusted PE: 19.26 | Yield: 0.18%
Underlying: GOOGL | Expiration: 02-Jan-26 | Strike: 312.50 | Previous Close: 3.35 | Adjusted PE: 19.26 | Yield: 0.18%
Underlying: MPWR | Expiration: 16-Jan-26 | Strike: 910.00 | Previous Close: 23.30 | Adjusted PE: 19.68 | Yield: 0.16%
Underlying: MPWR | Expiration: 16-Jan-26 | Strike: 920.00 | Previous Close: 27.90 | Adjusted PE: 19.90 | Yield: 0.19%
Underlying: INTU | Expiration: 26-Dec-25 | Strike: 662.50 | Previous Close: 2.50 | Adjusted PE: 27.09 | Yield: 0.19%
Underlying: INTU | Expiration: 09-Jan-26 | Strike: 670.00 | Previous Close: 12.90 | Adjusted PE: 27.40 | Yield: 0.18%
Underlying: INTU | Expiration: 09-Jan-26 | Strike: 672.50 | Previous Close: 12.50 | Adjusted PE: 27.50 | Yield: 0.17%
Underlying: NVMI | Expiration: 16-Jan-26 | Strike: 320.00 | Previous Close: 9.08 | Adjusted PE: 33.04 | Yield: 0.18%
Underlying: ISRG | Expiration: 23-Jan-26 | Strike: 560.00 | Previous Close: 19.75 | Adjusted PE: 44.27 | Yield: 0.18%
Underlying: ISRG | Expiration: 30-Jan-26 | Strike: 570.00 | Previous Close: 25.68 | Adjusted PE: 45.06 | Yield: 0.18%
Underlying: ISRG | Expiration: 16-Jan-26 | Strike: 570.00 | Previous Close: 16.00 | Adjusted PE: 45.06 | Yield: 0.18%
Underlying: ISRG | Expiration: 02-Jan-26 | Strike: 575.00 | Previous Close: 6.50 | Adjusted PE: 45.46 | Yield: 0.19%
Underlying: ISRG | Expiration: 30-Jan-26 | Strike: 575.00 | Previous Close: 26.98 | Adjusted PE: 45.46 | Yield: 0.19%
Underlying: ISRG | Expiration: 09-Jan-26 | Strike: 575.00 | Previous Close: 11.50 | Adjusted PE: 45.46 | Yield: 0.18%
Underlying: NVDA | Expiration: 02-Jan-26 | Strike: 185.00 | Previous Close: 1.79 | Adjusted PE: 51.54 | Yield: 0.16%
Underlying: NVDA | Expiration: 09-Jan-26 | Strike: 185.00 | Previous Close: 3.27 | Adjusted PE: 51.54 | Yield: 0.16%
Underlying: NVDA | Expiration: 16-Jan-26 | Strike: 187.00 | Previous Close: 5.17 | Adjusted PE: 52.10 | Yield: 0.17%
Underlying: NVDA | Expiration: 16-Jan-26 | Strike: 187.50 | Previous Close: 5.33 | Adjusted PE: 52.24 | Yield: 0.18%
Underlying: NVDA | Expiration: 16-Jan-26 | Strike: 188.00 | Previous Close: 5.55 | Adjusted PE: 52.38 | Yield: 0.18%
These are tier 4 options:
Underlying: STLA | Expiration: 19-Dec-25 | Strike: 11.00 | Previous Close: 0.03 | Adjusted PE: 1.47 | Yield: 0.18%
Underlying: STLA | Expiration: 09-Jan-26 | Strike: 11.50 | Previous Close: 0.35 | Adjusted PE: 1.53 | Yield: 0.21%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 72.00 | Previous Close: 0.71 | Adjusted PE: 2.62 | Yield: 0.49%
Underlying: FUTU | Expiration: 09-Jan-26 | Strike: 157.50 | Previous Close: 2.65 | Adjusted PE: 3.11 | Yield: 0.15%
Underlying: FUTU | Expiration: 02-Jan-26 | Strike: 157.50 | Previous Close: 1.31 | Adjusted PE: 3.11 | Yield: 0.14%
Underlying: FUTU | Expiration: 16-Jan-26 | Strike: 158.05 | Previous Close: 3.95 | Adjusted PE: 3.12 | Yield: 0.16%
Underlying: FUTU | Expiration: 02-Jan-26 | Strike: 160.00 | Previous Close: 2.25 | Adjusted PE: 3.15 | Yield: 0.23%
Underlying: FUTU | Expiration: 09-Jan-26 | Strike: 160.00 | Previous Close: 3.55 | Adjusted PE: 3.15 | Yield: 0.20%
Underlying: FUTU | Expiration: 16-Jan-26 | Strike: 160.00 | Previous Close: 4.60 | Adjusted PE: 3.15 | Yield: 0.18%
Underlying: FUTU | Expiration: 30-Jan-26 | Strike: 160.00 | Previous Close: 6.40 | Adjusted PE: 3.15 | Yield: 0.16%
Underlying: FUTU | Expiration: 26-Dec-25 | Strike: 162.50 | Previous Close: 0.93 | Adjusted PE: 3.20 | Yield: 0.28%
Underlying: FUTU | Expiration: 16-Jan-26 | Strike: 163.05 | Previous Close: 5.75 | Adjusted PE: 3.21 | Yield: 0.22%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 89.00 | Previous Close: 2.53 | Adjusted PE: 3.24 | Yield: 0.14%
Underlying: FUTU | Expiration: 26-Dec-25 | Strike: 165.00 | Previous Close: 2.10 | Adjusted PE: 3.25 | Yield: 0.63%
Underlying: FUTU | Expiration: 02-Jan-26 | Strike: 165.00 | Previous Close: 3.85 | Adjusted PE: 3.25 | Yield: 0.39%
Underlying: FUTU | Expiration: 16-Jan-26 | Strike: 165.00 | Previous Close: 6.65 | Adjusted PE: 3.25 | Yield: 0.25%
Underlying: FUTU | Expiration: 23-Jan-26 | Strike: 165.00 | Previous Close: 7.69 | Adjusted PE: 3.25 | Yield: 0.23%
Underlying: FUTU | Expiration: 20-Feb-26 | Strike: 165.00 | Previous Close: 11.20 | Adjusted PE: 3.25 | Yield: 0.17%
Underlying: FUTU | Expiration: 20-Mar-26 | Strike: 165.00 | Previous Close: 14.80 | Adjusted PE: 3.25 | Yield: 0.15%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 90.00 | Previous Close: 2.77 | Adjusted PE: 3.27 | Yield: 0.15%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 90.00 | Previous Close: 3.08 | Adjusted PE: 3.27 | Yield: 0.14%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 91.00 | Previous Close: 3.30 | Adjusted PE: 3.31 | Yield: 0.18%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 91.00 | Previous Close: 3.50 | Adjusted PE: 3.31 | Yield: 0.15%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 92.00 | Previous Close: 3.75 | Adjusted PE: 3.35 | Yield: 0.20%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 92.00 | Previous Close: 4.06 | Adjusted PE: 3.35 | Yield: 0.18%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 92.00 | Previous Close: 0.79 | Adjusted PE: 3.35 | Yield: 0.14%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 92.00 | Previous Close: 1.42 | Adjusted PE: 3.35 | Yield: 0.14%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 92.00 | Previous Close: 2.00 | Adjusted PE: 3.35 | Yield: 0.14%
Underlying: NFLX | Expiration: 20-Feb-26 | Strike: 92.00 | Previous Close: 4.70 | Adjusted PE: 3.35 | Yield: 0.13%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 92.50 | Previous Close: 0.96 | Adjusted PE: 3.36 | Yield: 0.17%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 92.50 | Previous Close: 1.72 | Adjusted PE: 3.36 | Yield: 0.17%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 92.50 | Previous Close: 2.20 | Adjusted PE: 3.36 | Yield: 0.15%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 92.50 | Previous Close: 0.27 | Adjusted PE: 3.36 | Yield: 0.14%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 93.00 | Previous Close: 0.44 | Adjusted PE: 3.38 | Yield: 0.23%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 93.00 | Previous Close: 4.20 | Adjusted PE: 3.38 | Yield: 0.23%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 93.00 | Previous Close: 1.17 | Adjusted PE: 3.38 | Yield: 0.21%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 93.00 | Previous Close: 4.55 | Adjusted PE: 3.38 | Yield: 0.20%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 93.00 | Previous Close: 1.86 | Adjusted PE: 3.38 | Yield: 0.18%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 93.00 | Previous Close: 2.39 | Adjusted PE: 3.38 | Yield: 0.16%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 93.50 | Previous Close: 0.65 | Adjusted PE: 3.40 | Yield: 0.34%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 93.50 | Previous Close: 1.42 | Adjusted PE: 3.40 | Yield: 0.25%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 93.50 | Previous Close: 2.23 | Adjusted PE: 3.40 | Yield: 0.22%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 93.50 | Previous Close: 2.68 | Adjusted PE: 3.40 | Yield: 0.18%
Underlying: SSTK | Expiration: 20-Feb-26 | Strike: 17.50 | Previous Close: 1.10 | Adjusted PE: 3.64 | Yield: 0.16%
Underlying: SSTK | Expiration: 16-Jan-26 | Strike: 17.50 | Previous Close: 0.45 | Adjusted PE: 3.64 | Yield: 0.16%
Underlying: YELP | Expiration: 16-Jan-26 | Strike: 29.00 | Previous Close: 0.67 | Adjusted PE: 4.13 | Yield: 0.14%
