Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-17T04:33:00.222400800
Total Options: 139

These are tier 1 options:
Underlying: TSM | Expiration: 19-Dec-25 | Strike: 285.00 | Previous Close: 2.45 | Adjusted PE: 0.64 | Yield: 0.29%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 662.50 | Previous Close: 4.45 | Adjusted PE: 27.09 | Yield: 0.22%
These are tier 3 options:
Underlying: TSM | Expiration: 26-Dec-25 | Strike: 282.50 | Previous Close: 3.50 | Adjusted PE: 0.63 | Yield: 0.18%
Underlying: TSM | Expiration: 02-Jan-26 | Strike: 285.00 | Previous Close: 5.78 | Adjusted PE: 0.64 | Yield: 0.18%
Underlying: TSM | Expiration: 09-Jan-26 | Strike: 285.00 | Previous Close: 7.60 | Adjusted PE: 0.64 | Yield: 0.17%
Underlying: COP | Expiration: 19-Dec-25 | Strike: 90.00 | Previous Close: 0.52 | Adjusted PE: 4.96 | Yield: 0.19%
Underlying: ALKS | Expiration: 16-Jan-26 | Strike: 27.00 | Previous Close: 1.05 | Adjusted PE: 7.07 | Yield: 0.18%
Underlying: ON | Expiration: 09-Jan-26 | Strike: 52.00 | Previous Close: 1.51 | Adjusted PE: 7.81 | Yield: 0.18%
Underlying: ON | Expiration: 02-Jan-26 | Strike: 52.00 | Previous Close: 0.98 | Adjusted PE: 7.81 | Yield: 0.17%
Underlying: LRN | Expiration: 16-Jan-26 | Strike: 65.00 | Previous Close: 2.45 | Adjusted PE: 8.53 | Yield: 0.18%
Underlying: UTHR | Expiration: 16-Jan-26 | Strike: 500.00 | Previous Close: 18.90 | Adjusted PE: 12.61 | Yield: 0.18%
Underlying: YETI | Expiration: 16-Jan-26 | Strike: 42.50 | Previous Close: 1.45 | Adjusted PE: 15.27 | Yield: 0.16%
Underlying: MSFT | Expiration: 19-Dec-25 | Strike: 472.50 | Previous Close: 2.45 | Adjusted PE: 17.74 | Yield: 0.17%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 300.00 | Previous Close: 23.90 | Adjusted PE: 17.81 | Yield: 0.18%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 300.00 | Previous Close: 10.33 | Adjusted PE: 17.81 | Yield: 0.16%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 452.50 | Previous Close: 5.92 | Adjusted PE: 18.35 | Yield: 0.19%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 310.00 | Previous Close: 1.65 | Adjusted PE: 18.41 | Yield: 0.18%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 455.00 | Previous Close: 9.00 | Adjusted PE: 18.46 | Yield: 0.18%
Underlying: SNPS | Expiration: 16-Jan-26 | Strike: 460.00 | Previous Close: 16.95 | Adjusted PE: 18.66 | Yield: 0.18%
Underlying: GOOG | Expiration: 26-Dec-25 | Strike: 305.00 | Previous Close: 3.80 | Adjusted PE: 18.80 | Yield: 0.18%
Underlying: GOOGL | Expiration: 02-Jan-26 | Strike: 305.00 | Previous Close: 5.77 | Adjusted PE: 18.80 | Yield: 0.17%
Underlying: INTU | Expiration: 26-Dec-25 | Strike: 647.50 | Previous Close: 7.30 | Adjusted PE: 26.48 | Yield: 0.16%
Underlying: INTU | Expiration: 26-Dec-25 | Strike: 652.50 | Previous Close: 8.20 | Adjusted PE: 26.68 | Yield: 0.18%
Underlying: INTU | Expiration: 26-Dec-25 | Strike: 655.00 | Previous Close: 8.50 | Adjusted PE: 26.78 | Yield: 0.19%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 657.50 | Previous Close: 3.30 | Adjusted PE: 26.89 | Yield: 0.17%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 660.00 | Previous Close: 3.43 | Adjusted PE: 26.99 | Yield: 0.17%
Underlying: INTU | Expiration: 02-Jan-26 | Strike: 660.00 | Previous Close: 12.40 | Adjusted PE: 26.99 | Yield: 0.17%
Underlying: INTU | Expiration: 26-Dec-25 | Strike: 665.00 | Previous Close: 8.52 | Adjusted PE: 27.19 | Yield: 0.18%
Underlying: INTU | Expiration: 02-Jan-26 | Strike: 665.00 | Previous Close: 11.70 | Adjusted PE: 27.19 | Yield: 0.16%
These are tier 4 options:
Underlying: TSM | Expiration: 09-Jan-26 | Strike: 280.00 | Previous Close: 6.35 | Adjusted PE: 0.63 | Yield: 0.14%
Underlying: TSM | Expiration: 19-Dec-25 | Strike: 280.00 | Previous Close: 1.19 | Adjusted PE: 0.63 | Yield: 0.14%
Underlying: TSM | Expiration: 26-Dec-25 | Strike: 280.00 | Previous Close: 2.69 | Adjusted PE: 0.63 | Yield: 0.14%
Underlying: TSM | Expiration: 30-Jan-26 | Strike: 280.00 | Previous Close: 11.46 | Adjusted PE: 0.63 | Yield: 0.14%
Underlying: TSM | Expiration: 16-Jan-26 | Strike: 280.00 | Previous Close: 7.80 | Adjusted PE: 0.63 | Yield: 0.13%
Underlying: TSM | Expiration: 23-Jan-26 | Strike: 280.00 | Previous Close: 9.24 | Adjusted PE: 0.63 | Yield: 0.13%
Underlying: TSM | Expiration: 23-Jan-26 | Strike: 285.00 | Previous Close: 11.35 | Adjusted PE: 0.64 | Yield: 0.16%
Underlying: TSM | Expiration: 30-Jan-26 | Strike: 285.00 | Previous Close: 12.39 | Adjusted PE: 0.64 | Yield: 0.15%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 47.00 | Previous Close: 0.82 | Adjusted PE: 1.05 | Yield: 0.16%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 47.50 | Previous Close: 0.98 | Adjusted PE: 1.06 | Yield: 0.19%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 47.50 | Previous Close: 0.53 | Adjusted PE: 1.06 | Yield: 0.16%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 47.50 | Previous Close: 0.22 | Adjusted PE: 1.06 | Yield: 0.15%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 48.00 | Previous Close: 0.36 | Adjusted PE: 1.07 | Yield: 0.24%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 48.00 | Previous Close: 0.68 | Adjusted PE: 1.07 | Yield: 0.20%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 48.00 | Previous Close: 1.06 | Adjusted PE: 1.07 | Yield: 0.20%
Underlying: NVO | Expiration: 09-Jan-26 | Strike: 48.00 | Previous Close: 1.45 | Adjusted PE: 1.07 | Yield: 0.19%
Underlying: NVO | Expiration: 30-Jan-26 | Strike: 48.00 | Previous Close: 2.19 | Adjusted PE: 1.07 | Yield: 0.15%
Underlying: NVO | Expiration: 23-Jan-26 | Strike: 48.00 | Previous Close: 1.76 | Adjusted PE: 1.07 | Yield: 0.15%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 48.50 | Previous Close: 0.55 | Adjusted PE: 1.08 | Yield: 0.37%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 48.50 | Previous Close: 0.99 | Adjusted PE: 1.08 | Yield: 0.29%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 48.50 | Previous Close: 1.42 | Adjusted PE: 1.08 | Yield: 0.26%
Underlying: PPIH | Expiration: 19-Dec-25 | Strike: 2.50 | Previous Close: 0.03 | Adjusted PE: 1.68 | Yield: 0.27%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 90.00 | Previous Close: 3.01 | Adjusted PE: 3.27 | Yield: 0.13%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 91.00 | Previous Close: 3.35 | Adjusted PE: 3.31 | Yield: 0.15%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 91.00 | Previous Close: 3.72 | Adjusted PE: 3.31 | Yield: 0.14%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 92.00 | Previous Close: 3.65 | Adjusted PE: 3.35 | Yield: 0.16%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 92.00 | Previous Close: 1.00 | Adjusted PE: 3.35 | Yield: 0.15%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 92.00 | Previous Close: 4.10 | Adjusted PE: 3.35 | Yield: 0.15%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 92.00 | Previous Close: 1.50 | Adjusted PE: 3.35 | Yield: 0.15%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 92.00 | Previous Close: 1.97 | Adjusted PE: 3.35 | Yield: 0.13%
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 92.00 | Previous Close: 0.37 | Adjusted PE: 3.35 | Yield: 0.13%
Underlying: PPIH | Expiration: 19-Dec-25 | Strike: 5.00 | Previous Close: 0.03 | Adjusted PE: 3.35 | Yield: 0.13%
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 92.50 | Previous Close: 0.46 | Adjusted PE: 3.36 | Yield: 0.16%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 92.50 | Previous Close: 1.52 | Adjusted PE: 3.36 | Yield: 0.15%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 92.50 | Previous Close: 0.94 | Adjusted PE: 3.36 | Yield: 0.14%
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 93.00 | Previous Close: 0.60 | Adjusted PE: 3.38 | Yield: 0.21%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 93.00 | Previous Close: 1.25 | Adjusted PE: 3.38 | Yield: 0.19%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 93.00 | Previous Close: 4.23 | Adjusted PE: 3.38 | Yield: 0.18%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 93.00 | Previous Close: 1.78 | Adjusted PE: 3.38 | Yield: 0.17%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 93.00 | Previous Close: 4.55 | Adjusted PE: 3.38 | Yield: 0.16%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 93.00 | Previous Close: 2.34 | Adjusted PE: 3.38 | Yield: 0.16%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 93.00 | Previous Close: 2.70 | Adjusted PE: 3.38 | Yield: 0.14%
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 93.50 | Previous Close: 0.75 | Adjusted PE: 3.40 | Yield: 0.26%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 93.50 | Previous Close: 1.52 | Adjusted PE: 3.40 | Yield: 0.23%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 93.50 | Previous Close: 2.02 | Adjusted PE: 3.40 | Yield: 0.20%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 93.50 | Previous Close: 2.92 | Adjusted PE: 3.40 | Yield: 0.15%
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 94.00 | Previous Close: 0.97 | Adjusted PE: 3.42 | Yield: 0.34%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 94.00 | Previous Close: 1.60 | Adjusted PE: 3.42 | Yield: 0.24%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 94.00 | Previous Close: 2.19 | Adjusted PE: 3.42 | Yield: 0.21%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 94.00 | Previous Close: 4.80 | Adjusted PE: 3.42 | Yield: 0.20%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 94.00 | Previous Close: 2.75 | Adjusted PE: 3.42 | Yield: 0.18%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 94.00 | Previous Close: 5.15 | Adjusted PE: 3.42 | Yield: 0.18%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 94.00 | Previous Close: 3.20 | Adjusted PE: 3.42 | Yield: 0.16%
Underlying: NFLX | Expiration: 20-Feb-26 | Strike: 94.00 | Previous Close: 5.75 | Adjusted PE: 3.42 | Yield: 0.14%
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 94.50 | Previous Close: 1.18 | Adjusted PE: 3.44 | Yield: 0.41%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 94.50 | Previous Close: 1.87 | Adjusted PE: 3.44 | Yield: 0.28%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 94.50 | Previous Close: 2.44 | Adjusted PE: 3.44 | Yield: 0.23%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 94.50 | Previous Close: 3.40 | Adjusted PE: 3.44 | Yield: 0.17%
Underlying: CROX | Expiration: 30-Jan-26 | Strike: 85.00 | Previous Close: 3.39 | Adjusted PE: 4.87 | Yield: 0.13%
