Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-09-19T07:06:00.739590500
Total Options: 54

These are tier 1 options:
These are tier 2 options:
These are tier 3 options:
These are tier 4 options:
These are tier 5 options:
Underlying: CRNT | Expiration: 19-Sep-25 | Strike: 2.00 | Previous Close: 0.03 | Adjusted PE: 2.34 | Yield: 1.00%
Underlying: INDI | Expiration: 17-Oct-25 | Strike: 3.50 | Previous Close: 0.20 | Adjusted PE: 10.78 | Yield: 0.26%
Underlying: INDI | Expiration: 16-Jan-26 | Strike: 3.50 | Previous Close: 0.52 | Adjusted PE: 10.78 | Yield: 0.18%
Underlying: THTX | Expiration: 19-Sep-25 | Strike: 2.50 | Previous Close: 0.03 | Adjusted PE: 12.14 | Yield: 0.80%
Underlying: TUYA | Expiration: 19-Sep-25 | Strike: 2.50 | Previous Close: 0.03 | Adjusted PE: 13.06 | Yield: 0.80%
Underlying: TUYA | Expiration: 20-Mar-26 | Strike: 2.50 | Previous Close: 0.40 | Adjusted PE: 13.06 | Yield: 0.12%
Underlying: AWRE | Expiration: 17-Apr-26 | Strike: 2.50 | Previous Close: 0.37 | Adjusted PE: 15.68 | Yield: 0.10%
Underlying: CRON | Expiration: 19-Sep-25 | Strike: 2.50 | Previous Close: 0.03 | Adjusted PE: 16.54 | Yield: 0.80%
Underlying: CRON | Expiration: 17-Oct-25 | Strike: 2.50 | Previous Close: 0.13 | Adjusted PE: 16.54 | Yield: 0.23%
Underlying: CRON | Expiration: 21-Nov-25 | Strike: 2.50 | Previous Close: 0.20 | Adjusted PE: 16.54 | Yield: 0.17%
Underlying: RKLB | Expiration: 19-Sep-25 | Strike: 2.00 | Previous Close: 0.13 | Adjusted PE: 19.33 | Yield: 6.00%
Underlying: GRAB | Expiration: 26-Sep-25 | Strike: 2.00 | Previous Close: 0.20 | Adjusted PE: 20.92 | Yield: 1.58%
Underlying: GRAB | Expiration: 03-Oct-25 | Strike: 2.00 | Previous Close: 0.07 | Adjusted PE: 20.92 | Yield: 0.27%
Underlying: GRAB | Expiration: 26-Sep-25 | Strike: 2.50 | Previous Close: 0.35 | Adjusted PE: 26.15 | Yield: 2.27%
Underlying: GRAB | Expiration: 03-Oct-25 | Strike: 2.50 | Previous Close: 0.21 | Adjusted PE: 26.15 | Yield: 0.73%
Underlying: RKLB | Expiration: 19-Sep-25 | Strike: 3.00 | Previous Close: 0.16 | Adjusted PE: 28.99 | Yield: 5.00%
Underlying: HCAT | Expiration: 19-Sep-25 | Strike: 2.50 | Previous Close: 0.05 | Adjusted PE: 31.05 | Yield: 1.60%
Underlying: HCAT | Expiration: 17-Oct-25 | Strike: 2.50 | Previous Close: 0.05 | Adjusted PE: 31.05 | Yield: 0.08%
Underlying: BLND | Expiration: 21-Nov-25 | Strike: 3.00 | Previous Close: 0.28 | Adjusted PE: 120.40 | Yield: 0.20%
Underlying: BLND | Expiration: 17-Oct-25 | Strike: 3.00 | Previous Close: 0.09 | Adjusted PE: 120.40 | Yield: 0.13%
