Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-16T04:32:11.757570100
Total Options: 95

These are tier 1 options:
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 36.00 | Previous Close: 2.15 | Adjusted PE: 8.18 | Yield: 0.27%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 310.00 | Previous Close: 26.90 | Adjusted PE: 18.41 | Yield: 0.19%
Underlying: GOOGL | Expiration: 19-Dec-25 | Strike: 305.00 | Previous Close: 2.60 | Adjusted PE: 18.80 | Yield: 0.21%
Underlying: GOOGL | Expiration: 26-Dec-25 | Strike: 307.50 | Previous Close: 5.02 | Adjusted PE: 18.95 | Yield: 0.20%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 320.00 | Previous Close: 31.65 | Adjusted PE: 19.00 | Yield: 0.22%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 320.00 | Previous Close: 15.00 | Adjusted PE: 19.00 | Yield: 0.21%
Underlying: ISRG | Expiration: 26-Dec-25 | Strike: 555.00 | Previous Close: 8.75 | Adjusted PE: 43.88 | Yield: 0.20%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 172.00 | Previous Close: 1.46 | Adjusted PE: 47.92 | Yield: 0.21%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 172.50 | Previous Close: 1.55 | Adjusted PE: 48.06 | Yield: 0.22%
Underlying: NVDA | Expiration: 26-Dec-25 | Strike: 172.50 | Previous Close: 2.77 | Adjusted PE: 48.06 | Yield: 0.20%
Underlying: NVDA | Expiration: 02-Jan-26 | Strike: 175.00 | Previous Close: 4.63 | Adjusted PE: 48.76 | Yield: 0.22%
Underlying: NVDA | Expiration: 09-Jan-26 | Strike: 175.00 | Previous Close: 5.73 | Adjusted PE: 48.76 | Yield: 0.19%
These are tier 3 options:
Underlying: REGN | Expiration: 02-Jan-26 | Strike: 750.00 | Previous Close: 16.00 | Adjusted PE: 8.30 | Yield: 0.18%
Underlying: FSLR | Expiration: 26-Dec-25 | Strike: 237.50 | Previous Close: 3.05 | Adjusted PE: 8.49 | Yield: 0.16%
Underlying: FSLR | Expiration: 02-Jan-26 | Strike: 237.50 | Previous Close: 4.57 | Adjusted PE: 8.49 | Yield: 0.16%
Underlying: FSLR | Expiration: 09-Jan-26 | Strike: 240.00 | Previous Close: 7.75 | Adjusted PE: 8.57 | Yield: 0.19%
Underlying: FSLR | Expiration: 02-Jan-26 | Strike: 240.00 | Previous Close: 5.31 | Adjusted PE: 8.57 | Yield: 0.18%
Underlying: FSLR | Expiration: 26-Dec-25 | Strike: 242.50 | Previous Close: 3.85 | Adjusted PE: 8.66 | Yield: 0.20%
Underlying: FSLR | Expiration: 19-Dec-25 | Strike: 242.50 | Previous Close: 1.84 | Adjusted PE: 8.66 | Yield: 0.19%
Underlying: FSLR | Expiration: 02-Jan-26 | Strike: 245.00 | Previous Close: 7.30 | Adjusted PE: 8.75 | Yield: 0.25%
Underlying: FSLR | Expiration: 19-Dec-25 | Strike: 245.00 | Previous Close: 2.34 | Adjusted PE: 8.75 | Yield: 0.24%
Underlying: FSLR | Expiration: 26-Dec-25 | Strike: 245.00 | Previous Close: 4.50 | Adjusted PE: 8.75 | Yield: 0.23%
Underlying: FSLR | Expiration: 23-Jan-26 | Strike: 245.00 | Previous Close: 11.05 | Adjusted PE: 8.75 | Yield: 0.17%
Underlying: FSLR | Expiration: 19-Dec-25 | Strike: 247.50 | Previous Close: 3.15 | Adjusted PE: 8.84 | Yield: 0.32%
Underlying: FSLR | Expiration: 26-Dec-25 | Strike: 247.50 | Previous Close: 5.35 | Adjusted PE: 8.84 | Yield: 0.27%
Underlying: FSLR | Expiration: 02-Jan-26 | Strike: 247.50 | Previous Close: 7.49 | Adjusted PE: 8.84 | Yield: 0.25%
Underlying: FSLR | Expiration: 26-Dec-25 | Strike: 250.00 | Previous Close: 7.85 | Adjusted PE: 8.93 | Yield: 0.39%
Underlying: FSLR | Expiration: 19-Dec-25 | Strike: 250.00 | Previous Close: 3.90 | Adjusted PE: 8.93 | Yield: 0.39%
Underlying: FSLR | Expiration: 09-Jan-26 | Strike: 250.00 | Previous Close: 11.75 | Adjusted PE: 8.93 | Yield: 0.28%
Underlying: FSLR | Expiration: 02-Jan-26 | Strike: 250.00 | Previous Close: 8.25 | Adjusted PE: 8.93 | Yield: 0.28%
Underlying: FSLR | Expiration: 16-Jan-26 | Strike: 250.00 | Previous Close: 11.90 | Adjusted PE: 8.93 | Yield: 0.22%
Underlying: FSLR | Expiration: 20-Feb-26 | Strike: 250.00 | Previous Close: 19.75 | Adjusted PE: 8.93 | Yield: 0.18%
Underlying: FSLR | Expiration: 19-Dec-25 | Strike: 252.50 | Previous Close: 5.65 | Adjusted PE: 9.02 | Yield: 0.56%
Underlying: FSLR | Expiration: 26-Dec-25 | Strike: 252.50 | Previous Close: 8.20 | Adjusted PE: 9.02 | Yield: 0.41%
Underlying: FSLR | Expiration: 19-Dec-25 | Strike: 255.00 | Previous Close: 7.84 | Adjusted PE: 9.11 | Yield: 0.77%
Underlying: FSLR | Expiration: 26-Dec-25 | Strike: 255.00 | Previous Close: 8.30 | Adjusted PE: 9.11 | Yield: 0.41%
Underlying: FSLR | Expiration: 02-Jan-26 | Strike: 255.00 | Previous Close: 11.10 | Adjusted PE: 9.11 | Yield: 0.36%
Underlying: FSLR | Expiration: 23-Jan-26 | Strike: 255.00 | Previous Close: 17.00 | Adjusted PE: 9.11 | Yield: 0.26%
Underlying: UTHR | Expiration: 19-Dec-25 | Strike: 480.00 | Previous Close: 3.30 | Adjusted PE: 12.11 | Yield: 0.17%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 220.00 | Previous Close: 1.67 | Adjusted PE: 13.06 | Yield: 0.19%
Underlying: MSFT | Expiration: 19-Dec-25 | Strike: 472.50 | Previous Close: 3.50 | Adjusted PE: 17.74 | Yield: 0.19%
Underlying: GOOGL | Expiration: 19-Dec-25 | Strike: 302.50 | Previous Close: 1.96 | Adjusted PE: 18.64 | Yield: 0.16%
Underlying: GOOG | Expiration: 19-Dec-25 | Strike: 305.00 | Previous Close: 2.17 | Adjusted PE: 18.80 | Yield: 0.18%
Underlying: GOOGL | Expiration: 26-Dec-25 | Strike: 305.00 | Previous Close: 4.05 | Adjusted PE: 18.80 | Yield: 0.17%
Underlying: GOOG | Expiration: 26-Dec-25 | Strike: 307.50 | Previous Close: 4.44 | Adjusted PE: 18.95 | Yield: 0.18%
Underlying: GOOGL | Expiration: 02-Jan-26 | Strike: 307.50 | Previous Close: 6.50 | Adjusted PE: 18.95 | Yield: 0.18%
Underlying: GOOG | Expiration: 02-Jan-26 | Strike: 307.50 | Previous Close: 6.13 | Adjusted PE: 18.95 | Yield: 0.17%
Underlying: CAMT | Expiration: 16-Jan-26 | Strike: 105.00 | Previous Close: 3.90 | Adjusted PE: 31.06 | Yield: 0.17%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 547.50 | Previous Close: 3.90 | Adjusted PE: 43.28 | Yield: 0.18%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 552.50 | Previous Close: 3.70 | Adjusted PE: 43.68 | Yield: 0.17%
Underlying: ISRG | Expiration: 23-Jan-26 | Strike: 555.00 | Previous Close: 25.00 | Adjusted PE: 43.88 | Yield: 0.17%
Underlying: ISRG | Expiration: 02-Jan-26 | Strike: 557.50 | Previous Close: 11.44 | Adjusted PE: 44.07 | Yield: 0.17%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 171.00 | Previous Close: 1.21 | Adjusted PE: 47.64 | Yield: 0.18%
Underlying: NVDA | Expiration: 02-Jan-26 | Strike: 172.50 | Previous Close: 3.68 | Adjusted PE: 48.06 | Yield: 0.18%
Underlying: NVDA | Expiration: 16-Jan-26 | Strike: 174.00 | Previous Close: 6.23 | Adjusted PE: 48.48 | Yield: 0.16%
Underlying: NVDA | Expiration: 16-Jan-26 | Strike: 175.00 | Previous Close: 6.70 | Adjusted PE: 48.76 | Yield: 0.17%
Underlying: NVDA | Expiration: 23-Jan-26 | Strike: 175.00 | Previous Close: 7.56 | Adjusted PE: 48.76 | Yield: 0.17%
Underlying: NVDA | Expiration: 16-Jan-26 | Strike: 176.00 | Previous Close: 7.10 | Adjusted PE: 49.03 | Yield: 0.18%
Underlying: MAMA | Expiration: 19-Dec-25 | Strike: 12.50 | Previous Close: 0.15 | Adjusted PE: 53.21 | Yield: 0.28%
These are tier 4 options:
Underlying: EQNR | Expiration: 16-Jan-26 | Strike: 22.84 | Previous Close: 0.72 | Adjusted PE: 3.03 | Yield: 0.14%
Underlying: TTE | Expiration: 19-Dec-25 | Strike: 65.00 | Previous Close: 0.41 | Adjusted PE: 4.86 | Yield: 0.15%
Underlying: TEX | Expiration: 19-Dec-25 | Strike: 49.00 | Previous Close: 0.35 | Adjusted PE: 6.66 | Yield: 0.17%
Underlying: CARR | Expiration: 19-Dec-25 | Strike: 52.50 | Previous Close: 1.02 | Adjusted PE: 7.03 | Yield: 0.48%
Underlying: CARR | Expiration: 16-Jan-26 | Strike: 52.50 | Previous Close: 1.90 | Adjusted PE: 7.03 | Yield: 0.16%
Underlying: CARR | Expiration: 20-Feb-26 | Strike: 52.50 | Previous Close: 3.40 | Adjusted PE: 7.03 | Yield: 0.14%
Underlying: INVX | Expiration: 20-Mar-26 | Strike: 22.50 | Previous Close: 2.00 | Adjusted PE: 7.23 | Yield: 0.14%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 32.00 | Previous Close: 1.00 | Adjusted PE: 7.27 | Yield: 0.14%
Underlying: ACMR | Expiration: 15-May-26 | Strike: 34.00 | Previous Close: 4.90 | Adjusted PE: 7.72 | Yield: 0.14%
Underlying: DOCU | Expiration: 19-Dec-25 | Strike: 66.00 | Previous Close: 0.38 | Adjusted PE: 7.92 | Yield: 0.14%
