Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-07-30T04:56:31.559615
Total Options: 91

These are tier 1 options:
Underlying: UMC | Expiration: 15-Aug-25 | Strike: 7.00 | Previous Close: 0.28 | Adjusted PE: 0.12 | Yield: 0.30%
Underlying: ON | Expiration: 08-Aug-25 | Strike: 56.50 | Previous Close: 1.98 | Adjusted PE: 8.49 | Yield: 0.44%
Underlying: ON | Expiration: 15-Aug-25 | Strike: 56.50 | Previous Close: 2.49 | Adjusted PE: 8.49 | Yield: 0.34%
Underlying: ON | Expiration: 01-Aug-25 | Strike: 56.50 | Previous Close: 0.41 | Adjusted PE: 8.49 | Yield: 0.24%
Underlying: ON | Expiration: 08-Aug-25 | Strike: 57.00 | Previous Close: 2.30 | Adjusted PE: 8.57 | Yield: 0.50%
Underlying: ON | Expiration: 15-Aug-25 | Strike: 57.00 | Previous Close: 2.55 | Adjusted PE: 8.57 | Yield: 0.34%
Underlying: ON | Expiration: 01-Aug-25 | Strike: 57.00 | Previous Close: 0.53 | Adjusted PE: 8.57 | Yield: 0.30%
Underlying: ON | Expiration: 08-Aug-25 | Strike: 58.00 | Previous Close: 2.73 | Adjusted PE: 8.72 | Yield: 0.59%
Underlying: ON | Expiration: 01-Aug-25 | Strike: 58.00 | Previous Close: 0.94 | Adjusted PE: 8.72 | Yield: 0.53%
Underlying: LNTH | Expiration: 15-Aug-25 | Strike: 65.00 | Previous Close: 2.15 | Adjusted PE: 8.75 | Yield: 0.25%
Underlying: LNTH | Expiration: 15-Aug-25 | Strike: 70.00 | Previous Close: 4.10 | Adjusted PE: 9.42 | Yield: 0.45%
Underlying: NEM | Expiration: 01-Aug-25 | Strike: 63.00 | Previous Close: 0.48 | Adjusted PE: 10.41 | Yield: 0.25%
Underlying: META | Expiration: 01-Aug-25 | Strike: 655.00 | Previous Close: 5.00 | Adjusted PE: 11.93 | Yield: 0.25%
Underlying: META | Expiration: 01-Aug-25 | Strike: 657.50 | Previous Close: 5.47 | Adjusted PE: 11.98 | Yield: 0.28%
Underlying: GOOGL | Expiration: 01-Aug-25 | Strike: 195.00 | Previous Close: 1.85 | Adjusted PE: 12.02 | Yield: 0.32%
Underlying: GOOG | Expiration: 01-Aug-25 | Strike: 195.00 | Previous Close: 1.55 | Adjusted PE: 12.02 | Yield: 0.26%
Underlying: META | Expiration: 01-Aug-25 | Strike: 660.00 | Previous Close: 6.10 | Adjusted PE: 12.02 | Yield: 0.31%
Underlying: META | Expiration: 01-Aug-25 | Strike: 662.50 | Previous Close: 6.80 | Adjusted PE: 12.07 | Yield: 0.34%
Underlying: META | Expiration: 01-Aug-25 | Strike: 665.00 | Previous Close: 7.26 | Adjusted PE: 12.11 | Yield: 0.36%
Underlying: META | Expiration: 01-Aug-25 | Strike: 667.50 | Previous Close: 8.00 | Adjusted PE: 12.16 | Yield: 0.40%
Underlying: META | Expiration: 01-Aug-25 | Strike: 670.00 | Previous Close: 8.70 | Adjusted PE: 12.21 | Yield: 0.43%
Underlying: META | Expiration: 01-Aug-25 | Strike: 672.50 | Previous Close: 9.75 | Adjusted PE: 12.25 | Yield: 0.48%
Underlying: META | Expiration: 01-Aug-25 | Strike: 675.00 | Previous Close: 10.40 | Adjusted PE: 12.30 | Yield: 0.51%
Underlying: META | Expiration: 08-Aug-25 | Strike: 675.00 | Previous Close: 12.55 | Adjusted PE: 12.30 | Yield: 0.23%
Underlying: META | Expiration: 01-Aug-25 | Strike: 677.50 | Previous Close: 11.30 | Adjusted PE: 12.34 | Yield: 0.56%
Underlying: META | Expiration: 08-Aug-25 | Strike: 677.50 | Previous Close: 13.35 | Adjusted PE: 12.34 | Yield: 0.25%
Underlying: META | Expiration: 01-Aug-25 | Strike: 680.00 | Previous Close: 12.50 | Adjusted PE: 12.39 | Yield: 0.61%
Underlying: META | Expiration: 08-Aug-25 | Strike: 680.00 | Previous Close: 14.45 | Adjusted PE: 12.39 | Yield: 0.27%
Underlying: META | Expiration: 01-Aug-25 | Strike: 682.50 | Previous Close: 13.12 | Adjusted PE: 12.43 | Yield: 0.64%
Underlying: META | Expiration: 01-Aug-25 | Strike: 685.00 | Previous Close: 14.13 | Adjusted PE: 12.48 | Yield: 0.69%
Underlying: META | Expiration: 08-Aug-25 | Strike: 685.00 | Previous Close: 16.42 | Adjusted PE: 12.48 | Yield: 0.30%
Underlying: META | Expiration: 01-Aug-25 | Strike: 687.50 | Previous Close: 15.50 | Adjusted PE: 12.52 | Yield: 0.75%
Underlying: META | Expiration: 08-Aug-25 | Strike: 687.50 | Previous Close: 17.55 | Adjusted PE: 12.52 | Yield: 0.32%
Underlying: META | Expiration: 01-Aug-25 | Strike: 690.00 | Previous Close: 16.57 | Adjusted PE: 12.57 | Yield: 0.80%
Underlying: META | Expiration: 08-Aug-25 | Strike: 690.00 | Previous Close: 18.80 | Adjusted PE: 12.57 | Yield: 0.34%
Underlying: META | Expiration: 15-Aug-25 | Strike: 690.00 | Previous Close: 21.05 | Adjusted PE: 12.57 | Yield: 0.24%
Underlying: META | Expiration: 01-Aug-25 | Strike: 692.50 | Previous Close: 18.03 | Adjusted PE: 12.62 | Yield: 0.87%
Underlying: META | Expiration: 08-Aug-25 | Strike: 692.50 | Previous Close: 19.95 | Adjusted PE: 12.62 | Yield: 0.36%
Underlying: META | Expiration: 01-Aug-25 | Strike: 695.00 | Previous Close: 18.97 | Adjusted PE: 12.66 | Yield: 0.91%
Underlying: META | Expiration: 08-Aug-25 | Strike: 695.00 | Previous Close: 21.09 | Adjusted PE: 12.66 | Yield: 0.38%
Underlying: META | Expiration: 15-Aug-25 | Strike: 695.00 | Previous Close: 22.44 | Adjusted PE: 12.66 | Yield: 0.25%
Underlying: META | Expiration: 01-Aug-25 | Strike: 697.50 | Previous Close: 20.07 | Adjusted PE: 12.71 | Yield: 0.96%
Underlying: META | Expiration: 08-Aug-25 | Strike: 697.50 | Previous Close: 20.85 | Adjusted PE: 12.71 | Yield: 0.37%
Underlying: META | Expiration: 15-Aug-25 | Strike: 697.50 | Previous Close: 22.43 | Adjusted PE: 12.71 | Yield: 0.25%
Underlying: META | Expiration: 01-Aug-25 | Strike: 700.00 | Previous Close: 21.59 | Adjusted PE: 12.75 | Yield: 1.03%
Underlying: META | Expiration: 08-Aug-25 | Strike: 700.00 | Previous Close: 23.70 | Adjusted PE: 12.75 | Yield: 0.42%
Underlying: META | Expiration: 15-Aug-25 | Strike: 700.00 | Previous Close: 25.62 | Adjusted PE: 12.75 | Yield: 0.28%
Underlying: AMAT | Expiration: 01-Aug-25 | Strike: 185.00 | Previous Close: 1.92 | Adjusted PE: 13.30 | Yield: 0.34%
Underlying: YETI | Expiration: 15-Aug-25 | Strike: 37.50 | Previous Close: 2.00 | Adjusted PE: 13.48 | Yield: 0.41%
Underlying: AMAT | Expiration: 01-Aug-25 | Strike: 187.50 | Previous Close: 2.86 | Adjusted PE: 13.48 | Yield: 0.51%
Underlying: AMAT | Expiration: 08-Aug-25 | Strike: 187.50 | Previous Close: 3.95 | Adjusted PE: 13.48 | Yield: 0.26%
Underlying: AMAT | Expiration: 15-Aug-25 | Strike: 187.50 | Previous Close: 6.20 | Adjusted PE: 13.48 | Yield: 0.25%
Underlying: ALGN | Expiration: 01-Aug-25 | Strike: 175.00 | Previous Close: 1.26 | Adjusted PE: 14.56 | Yield: 0.24%
Underlying: ALGN | Expiration: 01-Aug-25 | Strike: 180.00 | Previous Close: 1.90 | Adjusted PE: 14.98 | Yield: 0.35%
Underlying: MPWR | Expiration: 15-Aug-25 | Strike: 700.00 | Previous Close: 24.70 | Adjusted PE: 15.14 | Yield: 0.27%
