These are covered call options for owned stock: TSLA
Dollar Cost Average (Basis): $400.00
Generated on: 2025-11-20 10:25:32

Underlying | Expiration   | Strike   | Previous Close | Yield
TSLA       |    18-DEC-26 |   460.00 |        81.21 |  0.075
TSLA       |    28-NOV-25 |   447.50 |         1.80 |  0.075
TSLA       |    02-JAN-26 |   475.00 |         8.65 |  0.074
TSLA       |    15-MAY-26 |   510.00 |        35.60 |  0.074
TSLA       |    20-FEB-26 |   500.00 |        18.25 |  0.074
TSLA       |    17-APR-26 |   500.00 |        29.98 |  0.074
TSLA       |    18-DEC-26 |   470.00 |        80.15 |  0.074
TSLA       |    12-DEC-25 |   465.00 |         4.77 |  0.074
TSLA       |    20-MAR-26 |   500.00 |        24.15 |  0.074
TSLA       |    19-DEC-25 |   470.00 |         6.25 |  0.074
TSLA       |    02-JAN-26 |   480.00 |         8.50 |  0.073
TSLA       |    17-JUN-27 |   430.00 |       115.68 |  0.073
TSLA       |    18-JUN-26 |   500.00 |        42.00 |  0.073
TSLA       |    16-JAN-26 |   485.00 |        11.20 |  0.072
TSLA       |    21-AUG-26 |   490.00 |        54.32 |  0.072
TSLA       |    17-JUL-26 |   500.00 |        46.80 |  0.072
TSLA       |    15-JAN-27 |   470.00 |        82.38 |  0.071
TSLA       |    17-JUN-27 |   440.00 |       111.27 |  0.071
TSLA       |    18-JUN-26 |   505.00 |        40.85 |  0.071
TSLA       |    18-SEP-26 |   490.00 |        58.60 |  0.071
TSLA       |    21-AUG-26 |   510.00 |        53.45 |  0.071
TSLA       |    17-DEC-27 |   400.00 |       145.30 |  0.070
TSLA       |    21-AUG-26 |   500.00 |        52.45 |  0.070
TSLA       |    26-DEC-25 |   475.00 |         6.98 |  0.070
TSLA       |    05-DEC-25 |   460.00 |         3.07 |  0.070
TSLA       |    18-SEP-26 |   500.00 |        57.25 |  0.069
TSLA       |    17-DEC-27 |   410.00 |       143.00 |  0.069
TSLA       |    17-APR-26 |   505.00 |        28.00 |  0.069
TSLA       |    18-DEC-26 |   480.00 |        75.20 |  0.069
TSLA       |    16-JAN-26 |   490.00 |        10.65 |  0.068
TSLA       |    17-JUL-26 |   510.00 |        44.50 |  0.068
TSLA       |    21-JAN-28 |   400.00 |       148.20 |  0.068
TSLA       |    15-JAN-27 |   480.00 |        78.85 |  0.068
TSLA       |    17-JUN-27 |   450.00 |       106.65 |  0.068
TSLA       |    21-JAN-28 |   410.00 |       144.90 |  0.067
TSLA       |    17-APR-26 |   510.00 |        27.06 |  0.067
TSLA       |    18-JUN-26 |   510.00 |        38.75 |  0.067
TSLA       |    18-DEC-26 |   490.00 |        72.70 |  0.067
TSLA       |    17-DEC-27 |   420.00 |       138.65 |  0.067
TSLA       |    20-FEB-26 |   510.00 |        16.55 |  0.067
TSLA       |    15-JAN-27 |   490.00 |        77.23 |  0.067
TSLA       |    19-DEC-25 |   475.00 |         5.60 |  0.067
TSLA       |    18-JUN-26 |   520.00 |        38.17 |  0.066
TSLA       |    17-JUN-27 |   470.00 |       104.17 |  0.066
TSLA       |    15-MAY-26 |   520.00 |        31.75 |  0.066
TSLA       |    21-JAN-28 |   420.00 |       142.85 |  0.066
TSLA       |    02-JAN-26 |   485.00 |         7.72 |  0.066
TSLA       |    18-SEP-26 |   510.00 |        54.27 |  0.066
TSLA       |    20-MAR-26 |   510.00 |        21.77 |  0.066
TSLA       |    12-DEC-25 |   470.00 |         4.20 |  0.065
TSLA       |    17-APR-26 |   515.00 |        26.20 |  0.065
TSLA       |    17-DEC-27 |   430.00 |       135.09 |  0.065
TSLA       |    21-AUG-26 |   520.00 |        49.10 |  0.065
TSLA       |    21-JAN-28 |   430.00 |       138.40 |  0.064
TSLA       |    18-SEP-26 |   520.00 |        52.60 |  0.064
TSLA       |    18-JUN-26 |   525.00 |        36.70 |  0.064
TSLA       |    28-NOV-25 |   450.00 |         1.54 |  0.064
TSLA       |    16-JAN-26 |   495.00 |        10.01 |  0.064
TSLA       |    15-JAN-27 |   500.00 |        74.55 |  0.064
TSLA       |    18-DEC-26 |   500.00 |        69.80 |  0.064
TSLA       |    17-JUL-26 |   520.00 |        41.85 |  0.064
TSLA       |    17-JUN-27 |   480.00 |        99.60 |  0.063
TSLA       |    17-DEC-27 |   440.00 |       131.69 |  0.063
TSLA       |    17-APR-26 |   520.00 |        25.42 |  0.063
TSLA       |    17-JUL-26 |   530.00 |        40.63 |  0.062
TSLA       |    18-JUN-26 |   535.00 |        35.85 |  0.062
TSLA       |    21-JAN-28 |   440.00 |       135.35 |  0.062
TSLA       |    17-JUN-27 |   490.00 |        98.46 |  0.062
TSLA       |    17-APR-26 |   535.00 |        24.90 |  0.062
TSLA       |    18-DEC-26 |   510.00 |        67.65 |  0.062
TSLA       |    17-DEC-27 |   450.00 |       129.07 |  0.062
TSLA       |    15-MAY-26 |   530.00 |        30.25 |  0.062
TSLA       |    20-MAR-26 |   520.00 |        20.30 |  0.062
TSLA       |    18-SEP-26 |   530.00 |        50.40 |  0.061
TSLA       |    21-AUG-26 |   530.00 |        45.65 |  0.061
TSLA       |    19-DEC-25 |   480.00 |         5.12 |  0.061
TSLA       |    18-JUN-26 |   530.00 |        35.20 |  0.061
TSLA       |    21-NOV-25 |   435.00 |         0.50 |  0.061
TSLA       |    17-APR-26 |   530.00 |        24.55 |  0.061
TSLA       |    26-DEC-25 |   480.00 |         6.10 |  0.061
TSLA       |    17-DEC-27 |   460.00 |       125.00 |  0.060
TSLA       |    17-JUN-27 |   500.00 |        94.12 |  0.060
TSLA       |    16-JAN-26 |   500.00 |         9.30 |  0.060
TSLA       |    15-JAN-27 |   520.00 |        69.35 |  0.060
TSLA       |    21-JAN-28 |   450.00 |       131.56 |  0.060
TSLA       |    17-DEC-27 |   470.00 |       124.05 |  0.060
TSLA       |    17-APR-26 |   540.00 |        24.15 |  0.060
TSLA       |    17-APR-26 |   525.00 |        24.30 |  0.060
TSLA       |    18-JUN-26 |   540.00 |        33.80 |  0.059
TSLA       |    17-JUL-26 |   540.00 |        38.35 |  0.059
TSLA       |    15-MAY-26 |   540.00 |        28.45 |  0.059
TSLA       |    21-AUG-26 |   540.00 |        44.45 |  0.059
TSLA       |    20-FEB-26 |   520.00 |        14.70 |  0.059
TSLA       |    21-JAN-28 |   460.00 |       128.10 |  0.059
TSLA       |    02-JAN-26 |   490.00 |         6.70 |  0.058
TSLA       |    21-JAN-28 |   470.00 |       125.56 |  0.058
TSLA       |    18-SEP-26 |   540.00 |        48.30 |  0.058
TSLA       |    15-JAN-27 |   530.00 |        67.29 |  0.058
TSLA       |    12-DEC-25 |   475.00 |         3.75 |  0.058
TSLA       |    17-JUN-27 |   510.00 |        91.55 |  0.058
TSLA       |    21-JAN-28 |   480.00 |       123.62 |  0.057
TSLA       |    18-SEP-26 |   550.00 |        46.56 |  0.056
TSLA       |    21-AUG-26 |   550.00 |        42.45 |  0.056
TSLA       |    05-DEC-25 |   465.00 |         2.47 |  0.056
TSLA       |    20-MAR-26 |   530.00 |        18.46 |  0.056
TSLA       |    18-DEC-26 |   540.00 |        60.70 |  0.056
TSLA       |    18-JUN-26 |   550.00 |        32.27 |  0.056
TSLA       |    15-MAY-26 |   550.00 |        26.82 |  0.055
TSLA       |    17-DEC-27 |   500.00 |       114.05 |  0.055
TSLA       |    28-NOV-25 |   452.50 |         1.33 |  0.055
TSLA       |    20-FEB-26 |   530.00 |        13.55 |  0.055
TSLA       |    26-DEC-25 |   485.00 |         5.55 |  0.055
TSLA       |    17-JUL-26 |   550.00 |        35.90 |  0.055
TSLA       |    16-JAN-26 |   505.00 |         8.40 |  0.054
TSLA       |    21-JAN-28 |   500.00 |       118.27 |  0.054
TSLA       |    18-DEC-26 |   550.00 |        58.39 |  0.054
TSLA       |    15-JAN-27 |   550.00 |        62.10 |  0.054
TSLA       |    18-JUN-26 |   560.00 |        31.17 |  0.054
TSLA       |    18-SEP-26 |   560.00 |        44.25 |  0.053
TSLA       |    17-JUN-27 |   560.00 |        84.00 |  0.053
TSLA       |    19-DEC-25 |   485.00 |         4.50 |  0.053
TSLA       |    26-DEC-25 |   490.00 |         5.30 |  0.053
TSLA       |    17-APR-26 |   545.00 |        21.60 |  0.053
TSLA       |    02-JAN-26 |   495.00 |         6.18 |  0.053
TSLA       |    21-JAN-28 |   520.00 |       115.47 |  0.053
TSLA       |    15-JAN-27 |   560.00 |        61.50 |  0.053
TSLA       |    17-JUL-26 |   560.00 |        34.20 |  0.052
TSLA       |    20-MAR-26 |   540.00 |        17.15 |  0.052
TSLA       |    17-DEC-27 |   520.00 |       107.95 |  0.052
TSLA       |    21-JAN-28 |   510.00 |       114.17 |  0.052
TSLA       |    18-DEC-26 |   560.00 |        55.95 |  0.052
TSLA       |    21-AUG-26 |   560.00 |        39.35 |  0.052
TSLA       |    15-JAN-27 |   570.00 |        59.55 |  0.052
TSLA       |    17-APR-26 |   550.00 |        21.00 |  0.052
TSLA       |    18-SEP-26 |   570.00 |        42.05 |  0.051
TSLA       |    12-DEC-25 |   480.00 |         3.25 |  0.051
TSLA       |    21-JAN-28 |   530.00 |       111.04 |  0.051
TSLA       |    16-JAN-26 |   510.00 |         8.00 |  0.051
TSLA       |    02-JAN-26 |   500.00 |         5.95 |  0.051
TSLA       |    17-JUN-27 |   550.00 |        81.08 |  0.051
TSLA       |    17-DEC-27 |   540.00 |       104.00 |  0.050
TSLA       |    21-JAN-28 |   540.00 |       108.76 |  0.050
TSLA       |    18-DEC-26 |   570.00 |        54.17 |  0.050
TSLA       |    17-JUL-26 |   570.00 |        32.90 |  0.050
TSLA       |    20-FEB-26 |   540.00 |        12.43 |  0.050
TSLA       |    17-DEC-27 |   550.00 |       102.52 |  0.049
TSLA       |    19-DEC-25 |   490.00 |         4.15 |  0.049
TSLA       |    28-NOV-25 |   455.00 |         1.19 |  0.049
TSLA       |    05-DEC-25 |   470.00 |         2.16 |  0.049
TSLA       |    18-JUN-26 |   570.00 |        28.25 |  0.049
TSLA       |    21-JAN-28 |   550.00 |       106.35 |  0.049
TSLA       |    21-JAN-28 |   560.00 |       106.70 |  0.049
TSLA       |    17-APR-26 |   555.00 |        19.75 |  0.049
TSLA       |    15-JAN-27 |   580.00 |        56.51 |  0.049
TSLA       |    21-NOV-25 |   437.50 |         0.39 |  0.048
TSLA       |    17-DEC-27 |   570.00 |       100.22 |  0.048
TSLA       |    18-SEP-26 |   590.00 |        39.54 |  0.048
TSLA       |    18-JUN-26 |   580.00 |        27.42 |  0.048
TSLA       |    21-AUG-26 |   590.00 |        36.05 |  0.048
TSLA       |    17-JUL-26 |   580.00 |        31.05 |  0.048
TSLA       |    16-JAN-26 |   515.00 |         7.45 |  0.048
TSLA       |    17-JUN-27 |   580.00 |        76.14 |  0.048
TSLA       |    20-MAR-26 |   550.00 |        15.90 |  0.048
TSLA       |    17-APR-26 |   565.00 |        18.85 |  0.047
TSLA       |    17-APR-26 |   560.00 |        19.14 |  0.047
TSLA       |    02-JAN-26 |   505.00 |         5.48 |  0.047
TSLA       |    15-MAY-26 |   580.00 |        22.20 |  0.046
TSLA       |    26-DEC-25 |   495.00 |         4.60 |  0.046
TSLA       |    17-JUN-27 |   600.00 |        72.47 |  0.046
TSLA       |    17-DEC-27 |   580.00 |        95.64 |  0.046
TSLA       |    17-DEC-27 |   590.00 |        95.20 |  0.046
TSLA       |    21-JAN-28 |   580.00 |       100.50 |  0.046
TSLA       |    18-SEP-26 |   600.00 |        37.69 |  0.046
TSLA       |    15-JAN-27 |   600.00 |        53.61 |  0.046
TSLA       |    18-DEC-26 |   600.00 |        50.12 |  0.046
TSLA       |    18-DEC-26 |   610.00 |        50.30 |  0.046
TSLA       |    17-JUL-26 |   590.00 |        29.70 |  0.046
