Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-10-27T08:57:37.798868100
Total Options: 179

These are tier 1 options:
Underlying: SMLR | Expiration: 21-Nov-25 | Strike: 23.00 | Previous Close: 2.00 | Adjusted PE: 4.01 | Yield: 0.43%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 35.00 | Previous Close: 1.26 | Adjusted PE: 7.95 | Yield: 0.18%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 37.00 | Previous Close: 2.59 | Adjusted PE: 8.41 | Yield: 0.18%
These are tier 4 options:
Underlying: STLA | Expiration: 21-Nov-25 | Strike: 10.00 | Previous Close: 0.27 | Adjusted PE: 1.33 | Yield: 0.13%
Underlying: STLA | Expiration: 31-Oct-25 | Strike: 10.50 | Previous Close: 0.24 | Adjusted PE: 1.40 | Yield: 0.44%
Underlying: STLA | Expiration: 14-Nov-25 | Strike: 10.50 | Previous Close: 0.35 | Adjusted PE: 1.40 | Yield: 0.22%
Underlying: STLA | Expiration: 07-Nov-25 | Strike: 10.50 | Previous Close: 0.23 | Adjusted PE: 1.40 | Yield: 0.21%
Underlying: STLA | Expiration: 28-Nov-25 | Strike: 10.50 | Previous Close: 0.35 | Adjusted PE: 1.40 | Yield: 0.14%
Underlying: EQNR | Expiration: 21-Nov-25 | Strike: 24.00 | Previous Close: 0.80 | Adjusted PE: 3.18 | Yield: 0.17%
Underlying: SMLR | Expiration: 21-Nov-25 | Strike: 20.00 | Previous Close: 0.60 | Adjusted PE: 3.49 | Yield: 0.15%
Underlying: HAL | Expiration: 31-Oct-25 | Strike: 18.50 | Previous Close: 0.22 | Adjusted PE: 3.74 | Yield: 0.23%
Underlying: SSTK | Expiration: 21-Nov-25 | Strike: 20.00 | Previous Close: 0.65 | Adjusted PE: 4.16 | Yield: 0.16%
Underlying: OPFI | Expiration: 21-Nov-25 | Strike: 9.75 | Previous Close: 0.58 | Adjusted PE: 4.74 | Yield: 0.29%
Underlying: HAL | Expiration: 31-Oct-25 | Strike: 26.00 | Previous Close: 0.26 | Adjusted PE: 5.25 | Yield: 0.19%
Underlying: HAL | Expiration: 07-Nov-25 | Strike: 26.00 | Previous Close: 0.45 | Adjusted PE: 5.25 | Yield: 0.17%
Underlying: HAL | Expiration: 14-Nov-25 | Strike: 26.00 | Previous Close: 0.57 | Adjusted PE: 5.25 | Yield: 0.14%
Underlying: HAL | Expiration: 21-Nov-25 | Strike: 26.00 | Previous Close: 0.71 | Adjusted PE: 5.25 | Yield: 0.14%
Underlying: HAL | Expiration: 31-Oct-25 | Strike: 26.50 | Previous Close: 0.44 | Adjusted PE: 5.36 | Yield: 0.33%
Underlying: HAL | Expiration: 07-Nov-25 | Strike: 26.50 | Previous Close: 0.65 | Adjusted PE: 5.36 | Yield: 0.24%
Underlying: HAL | Expiration: 21-Nov-25 | Strike: 26.50 | Previous Close: 0.88 | Adjusted PE: 5.36 | Yield: 0.16%
Underlying: HAL | Expiration: 28-Nov-25 | Strike: 26.50 | Previous Close: 0.98 | Adjusted PE: 5.36 | Yield: 0.15%
Underlying: DBX | Expiration: 07-Nov-25 | Strike: 27.50 | Previous Close: 0.45 | Adjusted PE: 6.40 | Yield: 0.16%
Underlying: DBX | Expiration: 07-Nov-25 | Strike: 28.00 | Previous Close: 0.61 | Adjusted PE: 6.52 | Yield: 0.21%
Underlying: DBX | Expiration: 05-Dec-25 | Strike: 28.00 | Previous Close: 1.70 | Adjusted PE: 6.52 | Yield: 0.21%
Underlying: DBX | Expiration: 07-Nov-25 | Strike: 28.50 | Previous Close: 0.74 | Adjusted PE: 6.63 | Yield: 0.26%
Underlying: DBX | Expiration: 07-Nov-25 | Strike: 29.00 | Previous Close: 0.97 | Adjusted PE: 6.75 | Yield: 0.33%
Underlying: DBX | Expiration: 14-Nov-25 | Strike: 29.00 | Previous Close: 1.15 | Adjusted PE: 6.75 | Yield: 0.26%
Underlying: DBX | Expiration: 05-Dec-25 | Strike: 29.00 | Previous Close: 2.12 | Adjusted PE: 6.75 | Yield: 0.25%
Underlying: DBX | Expiration: 21-Nov-25 | Strike: 29.00 | Previous Close: 1.15 | Adjusted PE: 6.75 | Yield: 0.20%
Underlying: DBX | Expiration: 31-Oct-25 | Strike: 29.00 | Previous Close: 0.26 | Adjusted PE: 6.75 | Yield: 0.17%
Underlying: SLB | Expiration: 31-Oct-25 | Strike: 35.00 | Previous Close: 0.29 | Adjusted PE: 6.85 | Yield: 0.16%
Underlying: SLB | Expiration: 07-Nov-25 | Strike: 35.00 | Previous Close: 0.54 | Adjusted PE: 6.85 | Yield: 0.15%
Underlying: SLB | Expiration: 31-Oct-25 | Strike: 35.50 | Previous Close: 0.46 | Adjusted PE: 6.95 | Yield: 0.25%
Underlying: SLB | Expiration: 07-Nov-25 | Strike: 35.50 | Previous Close: 0.72 | Adjusted PE: 6.95 | Yield: 0.20%
Underlying: SLB | Expiration: 21-Nov-25 | Strike: 35.50 | Previous Close: 1.00 | Adjusted PE: 6.95 | Yield: 0.14%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 28.00 | Previous Close: 0.20 | Adjusted PE: 11.61 | Yield: 0.14%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 29.00 | Previous Close: 0.26 | Adjusted PE: 12.03 | Yield: 0.17%
Underlying: ENPH | Expiration: 07-Nov-25 | Strike: 29.00 | Previous Close: 0.41 | Adjusted PE: 12.03 | Yield: 0.14%
Underlying: ENPH | Expiration: 14-Nov-25 | Strike: 29.00 | Previous Close: 0.60 | Adjusted PE: 12.03 | Yield: 0.14%
Underlying: ENPH | Expiration: 21-Nov-25 | Strike: 29.00 | Previous Close: 0.79 | Adjusted PE: 12.03 | Yield: 0.13%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 29.50 | Previous Close: 0.33 | Adjusted PE: 12.23 | Yield: 0.22%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 30.00 | Previous Close: 0.40 | Adjusted PE: 12.44 | Yield: 0.26%
Underlying: ENPH | Expiration: 07-Nov-25 | Strike: 30.00 | Previous Close: 0.60 | Adjusted PE: 12.44 | Yield: 0.20%
Underlying: ENPH | Expiration: 14-Nov-25 | Strike: 30.00 | Previous Close: 0.76 | Adjusted PE: 12.44 | Yield: 0.17%
Underlying: ENPH | Expiration: 21-Nov-25 | Strike: 30.00 | Previous Close: 0.96 | Adjusted PE: 12.44 | Yield: 0.16%
Underlying: ENPH | Expiration: 28-Nov-25 | Strike: 30.00 | Previous Close: 1.10 | Adjusted PE: 12.44 | Yield: 0.15%
Underlying: ENPH | Expiration: 19-Dec-25 | Strike: 30.00 | Previous Close: 1.54 | Adjusted PE: 12.44 | Yield: 0.13%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 30.50 | Previous Close: 0.46 | Adjusted PE: 12.65 | Yield: 0.30%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 31.00 | Previous Close: 0.56 | Adjusted PE: 12.86 | Yield: 0.36%
Underlying: ENPH | Expiration: 07-Nov-25 | Strike: 31.00 | Previous Close: 0.80 | Adjusted PE: 12.86 | Yield: 0.26%
Underlying: ENPH | Expiration: 14-Nov-25 | Strike: 31.00 | Previous Close: 0.98 | Adjusted PE: 12.86 | Yield: 0.21%
Underlying: ENPH | Expiration: 21-Nov-25 | Strike: 31.00 | Previous Close: 1.20 | Adjusted PE: 12.86 | Yield: 0.19%
Underlying: ENPH | Expiration: 28-Nov-25 | Strike: 31.00 | Previous Close: 1.32 | Adjusted PE: 12.86 | Yield: 0.18%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 31.50 | Previous Close: 0.66 | Adjusted PE: 13.06 | Yield: 0.41%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 32.00 | Previous Close: 0.78 | Adjusted PE: 13.27 | Yield: 0.48%
Underlying: ENPH | Expiration: 07-Nov-25 | Strike: 32.00 | Previous Close: 1.02 | Adjusted PE: 13.27 | Yield: 0.32%
Underlying: ENPH | Expiration: 14-Nov-25 | Strike: 32.00 | Previous Close: 1.31 | Adjusted PE: 13.27 | Yield: 0.27%
Underlying: ENPH | Expiration: 21-Nov-25 | Strike: 32.00 | Previous Close: 1.50 | Adjusted PE: 13.27 | Yield: 0.23%
Underlying: ENPH | Expiration: 28-Nov-25 | Strike: 32.00 | Previous Close: 1.62 | Adjusted PE: 13.27 | Yield: 0.21%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 32.50 | Previous Close: 0.95 | Adjusted PE: 13.48 | Yield: 0.58%
Underlying: ENPH | Expiration: 07-Nov-25 | Strike: 32.50 | Previous Close: 1.09 | Adjusted PE: 13.48 | Yield: 0.33%
Underlying: ENPH | Expiration: 21-Nov-25 | Strike: 32.50 | Previous Close: 1.60 | Adjusted PE: 13.48 | Yield: 0.25%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 33.00 | Previous Close: 1.10 | Adjusted PE: 13.69 | Yield: 0.66%
Underlying: ENPH | Expiration: 07-Nov-25 | Strike: 33.00 | Previous Close: 1.28 | Adjusted PE: 13.69 | Yield: 0.39%
Underlying: ENPH | Expiration: 14-Nov-25 | Strike: 33.00 | Previous Close: 1.69 | Adjusted PE: 13.69 | Yield: 0.34%
Underlying: ENPH | Expiration: 21-Nov-25 | Strike: 33.00 | Previous Close: 1.90 | Adjusted PE: 13.69 | Yield: 0.29%
Underlying: ENPH | Expiration: 28-Nov-25 | Strike: 33.00 | Previous Close: 2.03 | Adjusted PE: 13.69 | Yield: 0.26%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 33.50 | Previous Close: 1.29 | Adjusted PE: 13.89 | Yield: 0.76%
Underlying: ENPH | Expiration: 21-Nov-25 | Strike: 33.50 | Previous Close: 1.99 | Adjusted PE: 13.89 | Yield: 0.30%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 34.00 | Previous Close: 1.47 | Adjusted PE: 14.10 | Yield: 0.86%
Underlying: ENPH | Expiration: 07-Nov-25 | Strike: 34.00 | Previous Close: 1.77 | Adjusted PE: 14.10 | Yield: 0.52%
Underlying: ENPH | Expiration: 14-Nov-25 | Strike: 34.00 | Previous Close: 2.05 | Adjusted PE: 14.10 | Yield: 0.40%
Underlying: ENPH | Expiration: 21-Nov-25 | Strike: 34.00 | Previous Close: 2.24 | Adjusted PE: 14.10 | Yield: 0.33%
Underlying: ENPH | Expiration: 05-Dec-25 | Strike: 34.00 | Previous Close: 2.69 | Adjusted PE: 14.10 | Yield: 0.27%
Underlying: ENPH | Expiration: 28-Nov-25 | Strike: 34.00 | Previous Close: 2.09 | Adjusted PE: 14.10 | Yield: 0.26%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 34.50 | Previous Close: 1.68 | Adjusted PE: 14.31 | Yield: 0.97%
Underlying: ENPH | Expiration: 07-Nov-25 | Strike: 34.50 | Previous Close: 2.02 | Adjusted PE: 14.31 | Yield: 0.58%
Underlying: ENPH | Expiration: 21-Nov-25 | Strike: 34.50 | Previous Close: 2.55 | Adjusted PE: 14.31 | Yield: 0.37%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 35.00 | Previous Close: 1.88 | Adjusted PE: 14.52 | Yield: 1.07%
Underlying: ENPH | Expiration: 07-Nov-25 | Strike: 35.00 | Previous Close: 2.24 | Adjusted PE: 14.52 | Yield: 0.64%
Underlying: ENPH | Expiration: 14-Nov-25 | Strike: 35.00 | Previous Close: 2.46 | Adjusted PE: 14.52 | Yield: 0.47%
Underlying: ENPH | Expiration: 21-Nov-25 | Strike: 35.00 | Previous Close: 2.81 | Adjusted PE: 14.52 | Yield: 0.40%
Underlying: ENPH | Expiration: 19-Dec-25 | Strike: 35.00 | Previous Close: 3.57 | Adjusted PE: 14.52 | Yield: 0.26%
Underlying: ENPH | Expiration: 16-Jan-26 | Strike: 35.00 | Previous Close: 4.05 | Adjusted PE: 14.52 | Yield: 0.20%
Underlying: ENPH | Expiration: 20-Mar-26 | Strike: 35.00 | Previous Close: 5.56 | Adjusted PE: 14.52 | Yield: 0.16%
Underlying: ENPH | Expiration: 15-May-26 | Strike: 35.00 | Previous Close: 6.70 | Adjusted PE: 14.52 | Yield: 0.14%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 35.50 | Previous Close: 2.13 | Adjusted PE: 14.72 | Yield: 1.19%
Underlying: ENPH | Expiration: 21-Nov-25 | Strike: 35.50 | Previous Close: 3.05 | Adjusted PE: 14.72 | Yield: 0.43%
Underlying: ENPH | Expiration: 31-Oct-25 | Strike: 36.00 | Previous Close: 2.40 | Adjusted PE: 14.93 | Yield: 1.33%
Underlying: ENPH | Expiration: 07-Nov-25 | Strike: 36.00 | Previous Close: 2.57 | Adjusted PE: 14.93 | Yield: 0.71%
Underlying: ENPH | Expiration: 14-Nov-25 | Strike: 36.00 | Previous Close: 3.10 | Adjusted PE: 14.93 | Yield: 0.57%
Underlying: ENPH | Expiration: 28-Nov-25 | Strike: 36.00 | Previous Close: 3.38 | Adjusted PE: 14.93 | Yield: 0.39%
Underlying: PPIH | Expiration: 19-Dec-25 | Strike: 25.00 | Previous Close: 1.87 | Adjusted PE: 16.76 | Yield: 0.19%
These are tier 5 options:
Underlying: YPF | Expiration: 21-Nov-25 | Strike: 19.00 | Previous Close: 0.37 | Adjusted PE: 0.00 | Yield: 0.10%
Underlying: YPF | Expiration: 21-Nov-25 | Strike: 20.00 | Previous Close: 0.60 | Adjusted PE: 0.00 | Yield: 0.15%
Underlying: YPF | Expiration: 21-Nov-25 | Strike: 21.00 | Previous Close: 0.85 | Adjusted PE: 0.00 | Yield: 0.20%
Underlying: YPF | Expiration: 21-Nov-25 | Strike: 22.00 | Previous Close: 1.10 | Adjusted PE: 0.00 | Yield: 0.25%
Underlying: YPF | Expiration: 19-Dec-25 | Strike: 22.00 | Previous Close: 1.24 | Adjusted PE: 0.00 | Yield: 0.14%
Underlying: YPF | Expiration: 21-Nov-25 | Strike: 23.00 | Previous Close: 1.50 | Adjusted PE: 0.00 | Yield: 0.32%
Underlying: YPF | Expiration: 16-Jan-26 | Strike: 23.00 | Previous Close: 1.80 | Adjusted PE: 0.00 | Yield: 0.14%
Underlying: YPF | Expiration: 21-Nov-25 | Strike: 24.00 | Previous Close: 1.77 | Adjusted PE: 0.00 | Yield: 0.37%
Underlying: YPF | Expiration: 19-Dec-25 | Strike: 24.00 | Previous Close: 1.95 | Adjusted PE: 0.00 | Yield: 0.21%
Underlying: YPF | Expiration: 17-Apr-26 | Strike: 24.00 | Previous Close: 2.90 | Adjusted PE: 0.00 | Yield: 0.10%
Underlying: YPF | Expiration: 21-Nov-25 | Strike: 25.00 | Previous Close: 2.15 | Adjusted PE: 0.00 | Yield: 0.43%
Underlying: YPF | Expiration: 19-Dec-25 | Strike: 25.00 | Previous Close: 2.37 | Adjusted PE: 0.00 | Yield: 0.24%
Underlying: YPF | Expiration: 16-Jan-26 | Strike: 25.00 | Previous Close: 2.67 | Adjusted PE: 0.00 | Yield: 0.19%
Underlying: YPF | Expiration: 17-Apr-26 | Strike: 25.00 | Previous Close: 3.40 | Adjusted PE: 0.00 | Yield: 0.11%
Underlying: YPF | Expiration: 21-Nov-25 | Strike: 26.00 | Previous Close: 2.65 | Adjusted PE: 0.00 | Yield: 0.51%
Underlying: YPF | Expiration: 19-Dec-25 | Strike: 26.00 | Previous Close: 2.70 | Adjusted PE: 0.00 | Yield: 0.27%
Underlying: YPF | Expiration: 16-Jan-26 | Strike: 26.00 | Previous Close: 3.16 | Adjusted PE: 0.00 | Yield: 0.21%
Underlying: YPF | Expiration: 17-Apr-26 | Strike: 26.00 | Previous Close: 4.00 | Adjusted PE: 0.00 | Yield: 0.13%
Underlying: JD | Expiration: 14-Nov-25 | Strike: 30.00 | Previous Close: 0.47 | Adjusted PE: 0.64 | Yield: 0.10%
Underlying: JD | Expiration: 21-Nov-25 | Strike: 30.00 | Previous Close: 0.62 | Adjusted PE: 0.64 | Yield: 0.10%
Underlying: JD | Expiration: 28-Nov-25 | Strike: 30.00 | Previous Close: 0.72 | Adjusted PE: 0.64 | Yield: 0.10%
Underlying: JD | Expiration: 14-Nov-25 | Strike: 31.00 | Previous Close: 0.75 | Adjusted PE: 0.66 | Yield: 0.16%
Underlying: JD | Expiration: 21-Nov-25 | Strike: 31.00 | Previous Close: 0.92 | Adjusted PE: 0.66 | Yield: 0.15%
Underlying: JD | Expiration: 28-Nov-25 | Strike: 31.00 | Previous Close: 1.05 | Adjusted PE: 0.66 | Yield: 0.14%
Underlying: JD | Expiration: 07-Nov-25 | Strike: 31.00 | Previous Close: 0.36 | Adjusted PE: 0.66 | Yield: 0.11%
Underlying: JD | Expiration: 19-Dec-25 | Strike: 31.00 | Previous Close: 1.34 | Adjusted PE: 0.66 | Yield: 0.11%
Underlying: JD | Expiration: 16-Jan-26 | Strike: 31.00 | Previous Close: 1.76 | Adjusted PE: 0.66 | Yield: 0.10%
Underlying: JD | Expiration: 31-Oct-25 | Strike: 31.00 | Previous Close: 0.15 | Adjusted PE: 0.66 | Yield: 0.09%
Underlying: JD | Expiration: 21-Nov-25 | Strike: 31.50 | Previous Close: 1.10 | Adjusted PE: 0.67 | Yield: 0.17%
Underlying: JD | Expiration: 07-Nov-25 | Strike: 31.50 | Previous Close: 0.48 | Adjusted PE: 0.67 | Yield: 0.15%
Underlying: JD | Expiration: 31-Oct-25 | Strike: 31.50 | Previous Close: 0.20 | Adjusted PE: 0.67 | Yield: 0.12%
Underlying: JD | Expiration: 14-Nov-25 | Strike: 32.00 | Previous Close: 1.10 | Adjusted PE: 0.68 | Yield: 0.23%
Underlying: JD | Expiration: 21-Nov-25 | Strike: 32.00 | Previous Close: 1.30 | Adjusted PE: 0.68 | Yield: 0.20%
Underlying: JD | Expiration: 07-Nov-25 | Strike: 32.00 | Previous Close: 0.62 | Adjusted PE: 0.68 | Yield: 0.19%
Underlying: JD | Expiration: 28-Nov-25 | Strike: 32.00 | Previous Close: 1.41 | Adjusted PE: 0.68 | Yield: 0.18%
Underlying: JD | Expiration: 31-Oct-25 | Strike: 32.00 | Previous Close: 0.29 | Adjusted PE: 0.68 | Yield: 0.18%
Underlying: JD | Expiration: 20-Feb-26 | Strike: 32.00 | Previous Close: 2.55 | Adjusted PE: 0.68 | Yield: 0.10%
Underlying: JD | Expiration: 31-Oct-25 | Strike: 32.50 | Previous Close: 0.44 | Adjusted PE: 0.69 | Yield: 0.27%
Underlying: JD | Expiration: 07-Nov-25 | Strike: 32.50 | Previous Close: 0.85 | Adjusted PE: 0.69 | Yield: 0.26%
Underlying: JD | Expiration: 21-Nov-25 | Strike: 32.50 | Previous Close: 1.49 | Adjusted PE: 0.69 | Yield: 0.23%
Underlying: JD | Expiration: 19-Dec-25 | Strike: 32.50 | Previous Close: 2.04 | Adjusted PE: 0.69 | Yield: 0.16%
Underlying: JD | Expiration: 16-Jan-26 | Strike: 32.50 | Previous Close: 2.40 | Adjusted PE: 0.69 | Yield: 0.13%
Underlying: JD | Expiration: 31-Oct-25 | Strike: 33.00 | Previous Close: 0.66 | Adjusted PE: 0.70 | Yield: 0.39%
Underlying: JD | Expiration: 07-Nov-25 | Strike: 33.00 | Previous Close: 1.07 | Adjusted PE: 0.70 | Yield: 0.32%
Underlying: JD | Expiration: 14-Nov-25 | Strike: 33.00 | Previous Close: 1.60 | Adjusted PE: 0.70 | Yield: 0.32%
Underlying: JD | Expiration: 21-Nov-25 | Strike: 33.00 | Previous Close: 1.77 | Adjusted PE: 0.70 | Yield: 0.27%
Underlying: JD | Expiration: 28-Nov-25 | Strike: 33.00 | Previous Close: 1.85 | Adjusted PE: 0.70 | Yield: 0.23%
Underlying: JD | Expiration: 05-Dec-25 | Strike: 33.00 | Previous Close: 2.10 | Adjusted PE: 0.70 | Yield: 0.22%
Underlying: JD | Expiration: 20-Feb-26 | Strike: 33.00 | Previous Close: 3.10 | Adjusted PE: 0.70 | Yield: 0.12%
Underlying: JD | Expiration: 20-Mar-26 | Strike: 33.00 | Previous Close: 3.52 | Adjusted PE: 0.70 | Yield: 0.11%
Underlying: JD | Expiration: 17-Apr-26 | Strike: 33.00 | Previous Close: 3.85 | Adjusted PE: 0.70 | Yield: 0.10%
Underlying: STLA | Expiration: 14-Nov-25 | Strike: 9.50 | Previous Close: 0.15 | Adjusted PE: 1.27 | Yield: 0.10%
Underlying: STLA | Expiration: 07-Nov-25 | Strike: 10.00 | Previous Close: 0.13 | Adjusted PE: 1.33 | Yield: 0.12%
Underlying: STLA | Expiration: 14-Nov-25 | Strike: 10.00 | Previous Close: 0.18 | Adjusted PE: 1.33 | Yield: 0.11%
Underlying: STLA | Expiration: 19-Dec-25 | Strike: 10.00 | Previous Close: 0.45 | Adjusted PE: 1.33 | Yield: 0.11%
Underlying: HP | Expiration: 21-Nov-25 | Strike: 22.50 | Previous Close: 0.50 | Adjusted PE: 2.53 | Yield: 0.11%
Underlying: HP | Expiration: 16-Jan-26 | Strike: 22.50 | Previous Close: 1.20 | Adjusted PE: 2.53 | Yield: 0.09%
Underlying: HAL | Expiration: 07-Nov-25 | Strike: 13.00 | Previous Close: 0.14 | Adjusted PE: 2.63 | Yield: 0.10%
Underlying: HP | Expiration: 21-Nov-25 | Strike: 25.00 | Previous Close: 1.34 | Adjusted PE: 2.81 | Yield: 0.27%
Underlying: HP | Expiration: 19-Dec-25 | Strike: 25.00 | Previous Close: 2.09 | Adjusted PE: 2.81 | Yield: 0.21%
Underlying: HP | Expiration: 16-Jan-26 | Strike: 25.00 | Previous Close: 2.15 | Adjusted PE: 2.81 | Yield: 0.15%
Underlying: HP | Expiration: 20-Mar-26 | Strike: 25.00 | Previous Close: 3.10 | Adjusted PE: 2.81 | Yield: 0.12%
Underlying: EQNR | Expiration: 19-Dec-25 | Strike: 24.00 | Previous Close: 1.10 | Adjusted PE: 3.18 | Yield: 0.12%
Underlying: SMLR | Expiration: 19-Dec-25 | Strike: 20.00 | Previous Close: 1.00 | Adjusted PE: 3.49 | Yield: 0.13%
Underlying: MTLS | Expiration: 21-Nov-25 | Strike: 5.00 | Previous Close: 0.10 | Adjusted PE: 3.51 | Yield: 0.09%
