Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-09-16T05:03:19.965464100
Total Options: 58

These are tier 1 options:
Underlying: TSM | Expiration: 19-Sep-25 | Strike: 257.50 | Previous Close: 2.59 | Adjusted PE: 0.57 | Yield: 0.25%
Underlying: ALGN | Expiration: 19-Sep-25 | Strike: 128.00 | Previous Close: 1.40 | Adjusted PE: 10.65 | Yield: 0.27%
Underlying: ALGN | Expiration: 19-Sep-25 | Strike: 129.00 | Previous Close: 1.60 | Adjusted PE: 10.74 | Yield: 0.31%
Underlying: ALGN | Expiration: 19-Sep-25 | Strike: 130.00 | Previous Close: 2.00 | Adjusted PE: 10.82 | Yield: 0.38%
Underlying: ALGN | Expiration: 19-Sep-25 | Strike: 131.00 | Previous Close: 2.45 | Adjusted PE: 10.90 | Yield: 0.47%
Underlying: ALGN | Expiration: 26-Sep-25 | Strike: 131.00 | Previous Close: 3.50 | Adjusted PE: 10.90 | Yield: 0.30%
Underlying: AMAT | Expiration: 19-Sep-25 | Strike: 170.00 | Previous Close: 2.13 | Adjusted PE: 12.22 | Yield: 0.31%
Underlying: AMAT | Expiration: 26-Sep-25 | Strike: 170.00 | Previous Close: 3.90 | Adjusted PE: 12.22 | Yield: 0.25%
Underlying: NEM | Expiration: 19-Sep-25 | Strike: 77.50 | Previous Close: 0.75 | Adjusted PE: 12.81 | Yield: 0.24%
Underlying: SNPS | Expiration: 19-Sep-25 | Strike: 370.00 | Previous Close: 24.73 | Adjusted PE: 12.91 | Yield: 1.67%
Underlying: SNPS | Expiration: 17-Oct-25 | Strike: 370.00 | Previous Close: 24.50 | Adjusted PE: 12.91 | Yield: 0.28%
Underlying: NEM | Expiration: 19-Sep-25 | Strike: 79.00 | Previous Close: 1.09 | Adjusted PE: 13.05 | Yield: 0.34%
Underlying: NEM | Expiration: 26-Sep-25 | Strike: 79.00 | Previous Close: 1.71 | Adjusted PE: 13.05 | Yield: 0.24%
Underlying: META | Expiration: 19-Sep-25 | Strike: 757.50 | Previous Close: 7.57 | Adjusted PE: 13.80 | Yield: 0.25%
Underlying: META | Expiration: 19-Sep-25 | Strike: 760.00 | Previous Close: 8.36 | Adjusted PE: 13.85 | Yield: 0.28%
Underlying: META | Expiration: 19-Sep-25 | Strike: 762.50 | Previous Close: 9.41 | Adjusted PE: 13.89 | Yield: 0.31%
Underlying: SNPS | Expiration: 17-Oct-25 | Strike: 400.00 | Previous Close: 56.50 | Adjusted PE: 13.96 | Yield: 0.59%
Underlying: SNPS | Expiration: 19-Sep-25 | Strike: 415.00 | Previous Close: 5.40 | Adjusted PE: 14.48 | Yield: 0.33%
Underlying: SNPS | Expiration: 26-Sep-25 | Strike: 415.00 | Previous Close: 8.95 | Adjusted PE: 14.48 | Yield: 0.24%
Underlying: GOOGL | Expiration: 19-Sep-25 | Strike: 250.00 | Previous Close: 3.05 | Adjusted PE: 15.41 | Yield: 0.30%
Underlying: GOOG | Expiration: 19-Sep-25 | Strike: 250.00 | Previous Close: 2.93 | Adjusted PE: 15.41 | Yield: 0.29%
Underlying: LRN | Expiration: 19-Sep-25 | Strike: 135.00 | Previous Close: 1.80 | Adjusted PE: 17.16 | Yield: 0.33%
Underlying: MPWR | Expiration: 19-Sep-25 | Strike: 840.00 | Previous Close: 14.00 | Adjusted PE: 18.17 | Yield: 0.42%
Underlying: CAMT | Expiration: 19-Sep-25 | Strike: 85.00 | Previous Close: 0.90 | Adjusted PE: 25.14 | Yield: 0.26%
Underlying: INTU | Expiration: 19-Sep-25 | Strike: 642.50 | Previous Close: 6.10 | Adjusted PE: 26.27 | Yield: 0.24%
Underlying: INTU | Expiration: 19-Sep-25 | Strike: 645.00 | Previous Close: 6.42 | Adjusted PE: 26.37 | Yield: 0.25%
Underlying: INTU | Expiration: 19-Sep-25 | Strike: 647.50 | Previous Close: 7.85 | Adjusted PE: 26.48 | Yield: 0.30%
Underlying: INTU | Expiration: 19-Sep-25 | Strike: 650.00 | Previous Close: 8.46 | Adjusted PE: 26.58 | Yield: 0.33%
Underlying: ISRG | Expiration: 19-Sep-25 | Strike: 430.00 | Previous Close: 4.41 | Adjusted PE: 33.99 | Yield: 0.26%
