Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-26T14:30:52.522348700
Total Options: 52

These are tier 1 options:
These are tier 2 options:
Underlying: UMC | Expiration: 20-Feb-26 | Strike: 10.00 | Previous Close: 0.43 | Adjusted PE: 0.17 | Yield: 0.22%
These are tier 6 options:
Underlying: KEP | Expiration: 20-Mar-26 | Strike: 12.50 | Previous Close: 1.21 | Adjusted PE: 0.00 | Yield: 0.25%
Underlying: KEP | Expiration: 20-Mar-26 | Strike: 15.00 | Previous Close: 0.72 | Adjusted PE: 0.00 | Yield: 0.12%
Underlying: KEP | Expiration: 20-Feb-26 | Strike: 15.00 | Previous Close: 0.18 | Adjusted PE: 0.00 | Yield: 0.06%
Underlying: KEP | Expiration: 20-Mar-26 | Strike: 17.50 | Previous Close: 1.50 | Adjusted PE: 0.00 | Yield: 0.22%
Underlying: KEP | Expiration: 20-Feb-26 | Strike: 17.50 | Previous Close: 0.28 | Adjusted PE: 0.00 | Yield: 0.08%
Underlying: ASX | Expiration: 20-Mar-26 | Strike: 17.50 | Previous Close: 0.53 | Adjusted PE: 0.27 | Yield: 0.08%
Underlying: ASX | Expiration: 20-Feb-26 | Strike: 17.50 | Previous Close: 0.25 | Adjusted PE: 0.27 | Yield: 0.07%
Underlying: KPTI | Expiration: 17-Apr-26 | Strike: 2.50 | Previous Close: 0.80 | Adjusted PE: 0.30 | Yield: 0.55%
Underlying: VNET | Expiration: 15-Jan-27 | Strike: 7.00 | Previous Close: 1.25 | Adjusted PE: 0.37 | Yield: 0.07%
