Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-26T14:31:13.078473600
Total Options: 89

These are tier 1 options:
Underlying: TSM | Expiration: 30-Jan-26 | Strike: 330.00 | Previous Close: 4.56 | Adjusted PE: 0.74 | Yield: 0.28%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 47.00 | Previous Close: 2.25 | Adjusted PE: 10.68 | Yield: 0.25%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 48.00 | Previous Close: 2.65 | Adjusted PE: 10.90 | Yield: 0.29%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 49.00 | Previous Close: 3.10 | Adjusted PE: 11.13 | Yield: 0.33%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 155.00 | Previous Close: 4.00 | Adjusted PE: 12.90 | Yield: 0.26%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 157.50 | Previous Close: 4.60 | Adjusted PE: 13.11 | Yield: 0.29%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 160.00 | Previous Close: 5.40 | Adjusted PE: 13.32 | Yield: 0.34%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 162.50 | Previous Close: 6.30 | Adjusted PE: 13.52 | Yield: 0.39%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 165.00 | Previous Close: 8.00 | Adjusted PE: 13.73 | Yield: 0.48%
Underlying: ALGN | Expiration: 13-Feb-26 | Strike: 165.00 | Previous Close: 8.54 | Adjusted PE: 13.73 | Yield: 0.35%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 167.50 | Previous Close: 8.61 | Adjusted PE: 13.94 | Yield: 0.51%
Underlying: ALGN | Expiration: 13-Feb-26 | Strike: 167.50 | Previous Close: 9.15 | Adjusted PE: 13.94 | Yield: 0.36%
Underlying: ALGN | Expiration: 30-Jan-26 | Strike: 167.50 | Previous Close: 2.80 | Adjusted PE: 13.94 | Yield: 0.33%
Underlying: WST | Expiration: 20-Feb-26 | Strike: 230.00 | Previous Close: 10.90 | Adjusted PE: 18.06 | Yield: 0.25%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 320.00 | Previous Close: 7.50 | Adjusted PE: 19.72 | Yield: 0.23%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 322.50 | Previous Close: 8.50 | Adjusted PE: 19.87 | Yield: 0.26%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 322.50 | Previous Close: 8.15 | Adjusted PE: 19.87 | Yield: 0.25%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 325.00 | Previous Close: 9.55 | Adjusted PE: 20.03 | Yield: 0.29%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 325.00 | Previous Close: 9.25 | Adjusted PE: 20.03 | Yield: 0.28%
Underlying: GOOGL | Expiration: 30-Jan-26 | Strike: 325.00 | Previous Close: 3.85 | Adjusted PE: 20.03 | Yield: 0.24%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 327.50 | Previous Close: 10.70 | Adjusted PE: 20.18 | Yield: 0.33%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 327.50 | Previous Close: 10.35 | Adjusted PE: 20.18 | Yield: 0.32%
Underlying: GOOGL | Expiration: 30-Jan-26 | Strike: 327.50 | Previous Close: 4.95 | Adjusted PE: 20.18 | Yield: 0.30%
Underlying: GOOG | Expiration: 30-Jan-26 | Strike: 327.50 | Previous Close: 4.58 | Adjusted PE: 20.18 | Yield: 0.28%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 380.00 | Previous Close: 20.15 | Adjusted PE: 22.56 | Yield: 0.28%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 390.00 | Previous Close: 20.60 | Adjusted PE: 23.16 | Yield: 0.28%
Underlying: CDNS | Expiration: 30-Jan-26 | Strike: 315.00 | Previous Close: 4.68 | Adjusted PE: 31.40 | Yield: 0.30%
Underlying: CDNS | Expiration: 06-Feb-26 | Strike: 315.00 | Previous Close: 8.90 | Adjusted PE: 31.40 | Yield: 0.28%
Underlying: CDNS | Expiration: 30-Jan-26 | Strike: 317.50 | Previous Close: 5.70 | Adjusted PE: 31.65 | Yield: 0.36%
Underlying: CAMT | Expiration: 20-Feb-26 | Strike: 135.00 | Previous Close: 8.25 | Adjusted PE: 39.93 | Yield: 0.32%
Underlying: CAMT | Expiration: 20-Feb-26 | Strike: 140.00 | Previous Close: 9.10 | Adjusted PE: 41.41 | Yield: 0.34%
Underlying: NVMI | Expiration: 20-Feb-26 | Strike: 430.00 | Previous Close: 20.10 | Adjusted PE: 44.40 | Yield: 0.25%
Underlying: NVMI | Expiration: 20-Feb-26 | Strike: 440.00 | Previous Close: 22.41 | Adjusted PE: 45.43 | Yield: 0.27%
Underlying: NVDA | Expiration: 30-Jan-26 | Strike: 185.00 | Previous Close: 2.74 | Adjusted PE: 51.54 | Yield: 0.30%
Underlying: NVDA | Expiration: 06-Feb-26 | Strike: 185.00 | Previous Close: 4.31 | Adjusted PE: 51.54 | Yield: 0.23%
Underlying: NVDA | Expiration: 30-Jan-26 | Strike: 187.50 | Previous Close: 3.80 | Adjusted PE: 52.24 | Yield: 0.40%
Underlying: NVDA | Expiration: 06-Feb-26 | Strike: 187.50 | Previous Close: 5.30 | Adjusted PE: 52.24 | Yield: 0.28%
Underlying: TSLA | Expiration: 30-Jan-26 | Strike: 425.00 | Previous Close: 4.95 | Adjusted PE: 64.60 | Yield: 0.23%
Underlying: TSLA | Expiration: 30-Jan-26 | Strike: 427.50 | Previous Close: 5.60 | Adjusted PE: 64.98 | Yield: 0.26%
Underlying: TSLA | Expiration: 30-Jan-26 | Strike: 430.00 | Previous Close: 6.21 | Adjusted PE: 65.36 | Yield: 0.29%
Underlying: TSLA | Expiration: 30-Jan-26 | Strike: 432.50 | Previous Close: 7.05 | Adjusted PE: 65.74 | Yield: 0.33%
Underlying: TSLA | Expiration: 06-Feb-26 | Strike: 432.50 | Previous Close: 10.60 | Adjusted PE: 65.74 | Yield: 0.25%
Underlying: TSLA | Expiration: 30-Jan-26 | Strike: 435.00 | Previous Close: 7.90 | Adjusted PE: 66.12 | Yield: 0.36%
Underlying: TSLA | Expiration: 06-Feb-26 | Strike: 435.00 | Previous Close: 10.93 | Adjusted PE: 66.12 | Yield: 0.25%
Underlying: TSLA | Expiration: 30-Jan-26 | Strike: 437.50 | Previous Close: 8.85 | Adjusted PE: 66.50 | Yield: 0.40%
Underlying: TSLA | Expiration: 06-Feb-26 | Strike: 437.50 | Previous Close: 12.45 | Adjusted PE: 66.50 | Yield: 0.28%
Underlying: TSLA | Expiration: 30-Jan-26 | Strike: 440.00 | Previous Close: 9.80 | Adjusted PE: 66.88 | Yield: 0.45%
Underlying: TSLA | Expiration: 06-Feb-26 | Strike: 440.00 | Previous Close: 12.75 | Adjusted PE: 66.88 | Yield: 0.29%
Underlying: TSLA | Expiration: 13-Feb-26 | Strike: 440.00 | Previous Close: 15.86 | Adjusted PE: 66.88 | Yield: 0.24%
Underlying: TSLA | Expiration: 30-Jan-26 | Strike: 442.50 | Previous Close: 10.82 | Adjusted PE: 67.26 | Yield: 0.49%
Underlying: TSLA | Expiration: 06-Feb-26 | Strike: 442.50 | Previous Close: 14.00 | Adjusted PE: 67.26 | Yield: 0.32%
Underlying: TSLA | Expiration: 20-Feb-26 | Strike: 442.50 | Previous Close: 19.87 | Adjusted PE: 67.26 | Yield: 0.24%
Underlying: TSLA | Expiration: 30-Jan-26 | Strike: 445.00 | Previous Close: 11.95 | Adjusted PE: 67.64 | Yield: 0.54%
Underlying: TSLA | Expiration: 06-Feb-26 | Strike: 445.00 | Previous Close: 15.10 | Adjusted PE: 67.64 | Yield: 0.34%
Underlying: TSLA | Expiration: 13-Feb-26 | Strike: 445.00 | Previous Close: 18.05 | Adjusted PE: 67.64 | Yield: 0.27%
Underlying: TSLA | Expiration: 20-Feb-26 | Strike: 445.00 | Previous Close: 20.25 | Adjusted PE: 67.64 | Yield: 0.24%
These are tier 2 options:
Underlying: UMC | Expiration: 20-Feb-26 | Strike: 10.00 | Previous Close: 0.43 | Adjusted PE: 0.17 | Yield: 0.22%
Underlying: TSM | Expiration: 30-Jan-26 | Strike: 327.50 | Previous Close: 3.70 | Adjusted PE: 0.73 | Yield: 0.23%
Underlying: TSM | Expiration: 06-Feb-26 | Strike: 330.00 | Previous Close: 6.45 | Adjusted PE: 0.74 | Yield: 0.20%
Underlying: COP | Expiration: 06-Feb-26 | Strike: 94.00 | Previous Close: 1.92 | Adjusted PE: 5.18 | Yield: 0.20%
Underlying: COP | Expiration: 06-Feb-26 | Strike: 97.00 | Previous Close: 1.93 | Adjusted PE: 5.35 | Yield: 0.20%
Underlying: COP | Expiration: 30-Jan-26 | Strike: 97.00 | Previous Close: 0.96 | Adjusted PE: 5.35 | Yield: 0.20%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 58.00 | Previous Close: 2.23 | Adjusted PE: 8.72 | Yield: 0.20%
Underlying: ON | Expiration: 06-Feb-26 | Strike: 59.00 | Previous Close: 1.20 | Adjusted PE: 8.87 | Yield: 0.20%
Underlying: LRN | Expiration: 20-Mar-26 | Strike: 70.00 | Previous Close: 6.00 | Adjusted PE: 9.19 | Yield: 0.22%
Underlying: TGLS | Expiration: 20-Feb-26 | Strike: 50.00 | Previous Close: 1.95 | Adjusted PE: 9.67 | Yield: 0.20%
