Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-07-24T04:31:55.076963700
Total Options: 119

These are tier 1 options:
Underlying: TSM | Expiration: 25-Jul-25 | Strike: 237.50 | Previous Close: 1.50 | Adjusted PE: 0.53 | Yield: 0.31%
Underlying: SMLR | Expiration: 15-Aug-25 | Strike: 39.00 | Previous Close: 3.30 | Adjusted PE: 6.80 | Yield: 0.50%
Underlying: ACMR | Expiration: 15-Aug-25 | Strike: 30.00 | Previous Close: 1.96 | Adjusted PE: 6.82 | Yield: 0.38%
Underlying: ALKS | Expiration: 15-Aug-25 | Strike: 27.00 | Previous Close: 1.30 | Adjusted PE: 7.07 | Yield: 0.28%
Underlying: ACLS | Expiration: 15-Aug-25 | Strike: 70.00 | Previous Close: 2.77 | Adjusted PE: 7.18 | Yield: 0.23%
Underlying: NEM | Expiration: 25-Jul-25 | Strike: 48.00 | Previous Close: 0.47 | Adjusted PE: 7.93 | Yield: 0.48%
Underlying: NEM | Expiration: 25-Jul-25 | Strike: 49.00 | Previous Close: 0.49 | Adjusted PE: 8.10 | Yield: 0.49%
Underlying: ON | Expiration: 08-Aug-25 | Strike: 54.00 | Previous Close: 1.60 | Adjusted PE: 8.11 | Yield: 0.25%
Underlying: ON | Expiration: 08-Aug-25 | Strike: 55.00 | Previous Close: 2.15 | Adjusted PE: 8.26 | Yield: 0.32%
Underlying: ON | Expiration: 08-Aug-25 | Strike: 56.00 | Previous Close: 1.88 | Adjusted PE: 8.42 | Yield: 0.28%
Underlying: ON | Expiration: 15-Aug-25 | Strike: 56.00 | Previous Close: 2.35 | Adjusted PE: 8.42 | Yield: 0.25%
Underlying: ON | Expiration: 15-Aug-25 | Strike: 56.50 | Previous Close: 2.60 | Adjusted PE: 8.49 | Yield: 0.27%
Underlying: ON | Expiration: 08-Aug-25 | Strike: 57.00 | Previous Close: 2.80 | Adjusted PE: 8.57 | Yield: 0.41%
Underlying: ON | Expiration: 15-Aug-25 | Strike: 57.00 | Previous Close: 2.74 | Adjusted PE: 8.57 | Yield: 0.28%
Underlying: ON | Expiration: 08-Aug-25 | Strike: 58.00 | Previous Close: 2.86 | Adjusted PE: 8.72 | Yield: 0.41%
Underlying: ON | Expiration: 25-Jul-25 | Strike: 58.00 | Previous Close: 0.41 | Adjusted PE: 8.72 | Yield: 0.35%
Underlying: ON | Expiration: 15-Aug-25 | Strike: 58.00 | Previous Close: 3.20 | Adjusted PE: 8.72 | Yield: 0.32%
Underlying: ON | Expiration: 01-Aug-25 | Strike: 58.00 | Previous Close: 1.15 | Adjusted PE: 8.72 | Yield: 0.28%
Underlying: ON | Expiration: 22-Aug-25 | Strike: 58.00 | Previous Close: 3.20 | Adjusted PE: 8.72 | Yield: 0.25%
Underlying: ON | Expiration: 25-Jul-25 | Strike: 59.00 | Previous Close: 0.84 | Adjusted PE: 8.87 | Yield: 0.70%
Underlying: ON | Expiration: 08-Aug-25 | Strike: 59.00 | Previous Close: 3.20 | Adjusted PE: 8.87 | Yield: 0.45%
Underlying: ON | Expiration: 01-Aug-25 | Strike: 59.00 | Previous Close: 1.54 | Adjusted PE: 8.87 | Yield: 0.37%
Underlying: ON | Expiration: 15-Aug-25 | Strike: 59.00 | Previous Close: 3.40 | Adjusted PE: 8.87 | Yield: 0.34%
Underlying: ON | Expiration: 29-Aug-25 | Strike: 59.00 | Previous Close: 4.90 | Adjusted PE: 8.87 | Yield: 0.31%
Underlying: ON | Expiration: 22-Aug-25 | Strike: 59.00 | Previous Close: 3.72 | Adjusted PE: 8.87 | Yield: 0.29%
Underlying: NEM | Expiration: 25-Jul-25 | Strike: 57.00 | Previous Close: 0.29 | Adjusted PE: 9.42 | Yield: 0.25%
Underlying: LNTH | Expiration: 15-Aug-25 | Strike: 70.00 | Previous Close: 4.05 | Adjusted PE: 9.42 | Yield: 0.34%
Underlying: NEM | Expiration: 25-Jul-25 | Strike: 58.00 | Previous Close: 0.48 | Adjusted PE: 9.58 | Yield: 0.41%
Underlying: NEM | Expiration: 25-Jul-25 | Strike: 59.00 | Previous Close: 0.75 | Adjusted PE: 9.75 | Yield: 0.63%
Underlying: NEM | Expiration: 01-Aug-25 | Strike: 59.00 | Previous Close: 0.97 | Adjusted PE: 9.75 | Yield: 0.23%
Underlying: NEM | Expiration: 25-Jul-25 | Strike: 60.00 | Previous Close: 1.03 | Adjusted PE: 9.92 | Yield: 0.85%
Underlying: NEM | Expiration: 01-Aug-25 | Strike: 60.00 | Previous Close: 1.31 | Adjusted PE: 9.92 | Yield: 0.31%
Underlying: NEM | Expiration: 25-Jul-25 | Strike: 61.00 | Previous Close: 1.47 | Adjusted PE: 10.08 | Yield: 1.20%
Underlying: NEM | Expiration: 01-Aug-25 | Strike: 61.00 | Previous Close: 1.81 | Adjusted PE: 10.08 | Yield: 0.42%
Underlying: GOOGL | Expiration: 25-Jul-25 | Strike: 177.50 | Previous Close: 0.98 | Adjusted PE: 10.94 | Yield: 0.27%
Underlying: GOOGL | Expiration: 25-Jul-25 | Strike: 180.00 | Previous Close: 1.48 | Adjusted PE: 11.09 | Yield: 0.41%
Underlying: GOOG | Expiration: 25-Jul-25 | Strike: 180.00 | Previous Close: 1.18 | Adjusted PE: 11.09 | Yield: 0.33%
Underlying: GOOGL | Expiration: 25-Jul-25 | Strike: 182.50 | Previous Close: 2.15 | Adjusted PE: 11.25 | Yield: 0.59%
Underlying: GOOG | Expiration: 25-Jul-25 | Strike: 182.50 | Previous Close: 1.79 | Adjusted PE: 11.25 | Yield: 0.49%
Underlying: GOOGL | Expiration: 25-Jul-25 | Strike: 185.00 | Previous Close: 2.95 | Adjusted PE: 11.40 | Yield: 0.80%
Underlying: GOOG | Expiration: 25-Jul-25 | Strike: 185.00 | Previous Close: 2.50 | Adjusted PE: 11.40 | Yield: 0.67%
Underlying: GOOGL | Expiration: 01-Aug-25 | Strike: 185.00 | Previous Close: 3.63 | Adjusted PE: 11.40 | Yield: 0.28%
Underlying: GOOG | Expiration: 01-Aug-25 | Strike: 185.00 | Previous Close: 3.13 | Adjusted PE: 11.40 | Yield: 0.24%
Underlying: GOOGL | Expiration: 25-Jul-25 | Strike: 187.50 | Previous Close: 4.00 | Adjusted PE: 11.55 | Yield: 1.06%
Underlying: GOOG | Expiration: 25-Jul-25 | Strike: 187.50 | Previous Close: 3.50 | Adjusted PE: 11.55 | Yield: 0.93%
Underlying: GOOGL | Expiration: 01-Aug-25 | Strike: 187.50 | Previous Close: 4.70 | Adjusted PE: 11.55 | Yield: 0.36%
Underlying: GOOG | Expiration: 01-Aug-25 | Strike: 187.50 | Previous Close: 4.16 | Adjusted PE: 11.55 | Yield: 0.32%
Underlying: GOOGL | Expiration: 25-Jul-25 | Strike: 190.00 | Previous Close: 5.25 | Adjusted PE: 11.71 | Yield: 1.38%
Underlying: GOOG | Expiration: 25-Jul-25 | Strike: 190.00 | Previous Close: 4.55 | Adjusted PE: 11.71 | Yield: 1.20%
Underlying: GOOGL | Expiration: 01-Aug-25 | Strike: 190.00 | Previous Close: 5.92 | Adjusted PE: 11.71 | Yield: 0.44%
Underlying: GOOG | Expiration: 01-Aug-25 | Strike: 190.00 | Previous Close: 5.23 | Adjusted PE: 11.71 | Yield: 0.39%
Underlying: GOOGL | Expiration: 08-Aug-25 | Strike: 190.00 | Previous Close: 6.41 | Adjusted PE: 11.71 | Yield: 0.28%
Underlying: GOOG | Expiration: 08-Aug-25 | Strike: 190.00 | Previous Close: 5.88 | Adjusted PE: 11.71 | Yield: 0.26%
Underlying: META | Expiration: 01-Aug-25 | Strike: 682.50 | Previous Close: 11.15 | Adjusted PE: 12.43 | Yield: 0.23%
Underlying: META | Expiration: 01-Aug-25 | Strike: 685.00 | Previous Close: 12.06 | Adjusted PE: 12.48 | Yield: 0.25%
Underlying: META | Expiration: 01-Aug-25 | Strike: 687.50 | Previous Close: 12.95 | Adjusted PE: 12.52 | Yield: 0.27%
Underlying: META | Expiration: 01-Aug-25 | Strike: 690.00 | Previous Close: 13.98 | Adjusted PE: 12.57 | Yield: 0.29%
Underlying: META | Expiration: 01-Aug-25 | Strike: 692.50 | Previous Close: 15.85 | Adjusted PE: 12.62 | Yield: 0.33%
Underlying: META | Expiration: 08-Aug-25 | Strike: 692.50 | Previous Close: 19.96 | Adjusted PE: 12.62 | Yield: 0.24%
Underlying: META | Expiration: 01-Aug-25 | Strike: 695.00 | Previous Close: 15.56 | Adjusted PE: 12.66 | Yield: 0.32%
Underlying: META | Expiration: 01-Aug-25 | Strike: 697.50 | Previous Close: 16.60 | Adjusted PE: 12.71 | Yield: 0.34%
Underlying: META | Expiration: 01-Aug-25 | Strike: 700.00 | Previous Close: 17.60 | Adjusted PE: 12.75 | Yield: 0.36%
Underlying: META | Expiration: 08-Aug-25 | Strike: 700.00 | Previous Close: 19.57 | Adjusted PE: 12.75 | Yield: 0.23%
Underlying: META | Expiration: 01-Aug-25 | Strike: 702.50 | Previous Close: 18.60 | Adjusted PE: 12.80 | Yield: 0.38%
Underlying: META | Expiration: 08-Aug-25 | Strike: 702.50 | Previous Close: 24.85 | Adjusted PE: 12.80 | Yield: 0.30%
Underlying: META | Expiration: 25-Jul-25 | Strike: 702.50 | Previous Close: 3.30 | Adjusted PE: 12.80 | Yield: 0.23%
Underlying: META | Expiration: 01-Aug-25 | Strike: 705.00 | Previous Close: 19.76 | Adjusted PE: 12.84 | Yield: 0.40%
Underlying: META | Expiration: 25-Jul-25 | Strike: 705.00 | Previous Close: 4.00 | Adjusted PE: 12.84 | Yield: 0.28%
Underlying: META | Expiration: 08-Aug-25 | Strike: 705.00 | Previous Close: 21.98 | Adjusted PE: 12.84 | Yield: 0.26%
Underlying: META | Expiration: 01-Aug-25 | Strike: 707.50 | Previous Close: 21.23 | Adjusted PE: 12.89 | Yield: 0.43%
Underlying: META | Expiration: 25-Jul-25 | Strike: 707.50 | Previous Close: 4.75 | Adjusted PE: 12.89 | Yield: 0.34%
Underlying: META | Expiration: 08-Aug-25 | Strike: 707.50 | Previous Close: 23.57 | Adjusted PE: 12.89 | Yield: 0.28%
Underlying: META | Expiration: 01-Aug-25 | Strike: 710.00 | Previous Close: 22.10 | Adjusted PE: 12.93 | Yield: 0.44%
Underlying: META | Expiration: 25-Jul-25 | Strike: 710.00 | Previous Close: 5.70 | Adjusted PE: 12.93 | Yield: 0.40%
Underlying: META | Expiration: 08-Aug-25 | Strike: 710.00 | Previous Close: 24.80 | Adjusted PE: 12.93 | Yield: 0.29%
Underlying: META | Expiration: 25-Jul-25 | Strike: 712.50 | Previous Close: 6.90 | Adjusted PE: 12.98 | Yield: 0.48%
Underlying: META | Expiration: 01-Aug-25 | Strike: 712.50 | Previous Close: 23.73 | Adjusted PE: 12.98 | Yield: 0.48%
Underlying: META | Expiration: 08-Aug-25 | Strike: 712.50 | Previous Close: 25.60 | Adjusted PE: 12.98 | Yield: 0.30%
Underlying: AMAT | Expiration: 25-Jul-25 | Strike: 185.00 | Previous Close: 1.06 | Adjusted PE: 13.30 | Yield: 0.28%
Underlying: AMAT | Expiration: 01-Aug-25 | Strike: 185.00 | Previous Close: 3.00 | Adjusted PE: 13.30 | Yield: 0.23%
Underlying: MPWR | Expiration: 15-Aug-25 | Strike: 700.00 | Previous Close: 31.47 | Adjusted PE: 15.14 | Yield: 0.26%
Underlying: MPWR | Expiration: 15-Aug-25 | Strike: 710.00 | Previous Close: 36.00 | Adjusted PE: 15.36 | Yield: 0.30%
Underlying: MPWR | Expiration: 15-Aug-25 | Strike: 720.00 | Previous Close: 40.25 | Adjusted PE: 15.57 | Yield: 0.33%
Underlying: ALGN | Expiration: 01-Aug-25 | Strike: 190.00 | Previous Close: 4.60 | Adjusted PE: 15.81 | Yield: 0.35%
Underlying: LRN | Expiration: 15-Aug-25 | Strike: 125.00 | Previous Close: 6.00 | Adjusted PE: 15.89 | Yield: 0.28%
Underlying: ALGN | Expiration: 08-Aug-25 | Strike: 192.50 | Previous Close: 6.60 | Adjusted PE: 16.02 | Yield: 0.29%
Underlying: ALGN | Expiration: 01-Aug-25 | Strike: 195.00 | Previous Close: 5.60 | Adjusted PE: 16.23 | Yield: 0.41%
Underlying: ALGN | Expiration: 08-Aug-25 | Strike: 195.00 | Previous Close: 7.20 | Adjusted PE: 16.23 | Yield: 0.31%
Underlying: ALGN | Expiration: 15-Aug-25 | Strike: 195.00 | Previous Close: 8.00 | Adjusted PE: 16.23 | Yield: 0.24%
Underlying: ALGN | Expiration: 08-Aug-25 | Strike: 197.50 | Previous Close: 8.10 | Adjusted PE: 16.44 | Yield: 0.34%
Underlying: ALGN | Expiration: 15-Aug-25 | Strike: 200.00 | Previous Close: 10.40 | Adjusted PE: 16.64 | Yield: 0.31%
Underlying: ALGN | Expiration: 01-Aug-25 | Strike: 202.50 | Previous Close: 8.71 | Adjusted PE: 16.85 | Yield: 0.61%
Underlying: ALGN | Expiration: 25-Jul-25 | Strike: 202.50 | Previous Close: 1.60 | Adjusted PE: 16.85 | Yield: 0.39%
Underlying: GRMN | Expiration: 15-Aug-25 | Strike: 230.00 | Previous Close: 9.44 | Adjusted PE: 17.12 | Yield: 0.24%
Underlying: WST | Expiration: 15-Aug-25 | Strike: 220.00 | Previous Close: 10.70 | Adjusted PE: 17.27 | Yield: 0.29%
Underlying: ACN | Expiration: 25-Jul-25 | Strike: 285.00 | Previous Close: 1.65 | Adjusted PE: 20.29 | Yield: 0.29%
