Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-10-16T04:32:18.170530700
Total Options: 113

These are tier 1 options:
Underlying: UMC | Expiration: 17-Oct-25 | Strike: 7.00 | Previous Close: 0.31 | Adjusted PE: 0.12 | Yield: 2.14%
Underlying: TSM | Expiration: 31-Oct-25 | Strike: 300.00 | Previous Close: 10.35 | Adjusted PE: 0.67 | Yield: 0.29%
Underlying: TSM | Expiration: 17-Oct-25 | Strike: 302.50 | Previous Close: 6.35 | Adjusted PE: 0.67 | Yield: 1.05%
Underlying: TSM | Expiration: 24-Oct-25 | Strike: 302.50 | Previous Close: 9.09 | Adjusted PE: 0.67 | Yield: 0.43%
Underlying: TSM | Expiration: 31-Oct-25 | Strike: 302.50 | Previous Close: 11.20 | Adjusted PE: 0.67 | Yield: 0.31%
Underlying: SMLR | Expiration: 17-Oct-25 | Strike: 25.00 | Previous Close: 1.26 | Adjusted PE: 4.36 | Yield: 2.50%
Underlying: SMLR | Expiration: 19-Dec-25 | Strike: 25.00 | Previous Close: 3.55 | Adjusted PE: 4.36 | Yield: 0.31%
Underlying: COP | Expiration: 17-Oct-25 | Strike: 87.00 | Previous Close: 0.61 | Adjusted PE: 4.80 | Yield: 0.35%
Underlying: COP | Expiration: 24-Oct-25 | Strike: 87.00 | Previous Close: 1.55 | Adjusted PE: 4.80 | Yield: 0.25%
Underlying: COP | Expiration: 17-Oct-25 | Strike: 87.50 | Previous Close: 0.90 | Adjusted PE: 4.82 | Yield: 0.51%
Underlying: PLAB | Expiration: 17-Oct-25 | Strike: 22.50 | Previous Close: 0.18 | Adjusted PE: 5.05 | Yield: 0.38%
Underlying: REGN | Expiration: 31-Oct-25 | Strike: 555.00 | Previous Close: 16.10 | Adjusted PE: 6.14 | Yield: 0.24%
Underlying: INMD | Expiration: 17-Oct-25 | Strike: 15.00 | Previous Close: 0.12 | Adjusted PE: 6.20 | Yield: 0.37%
Underlying: REGN | Expiration: 17-Oct-25 | Strike: 565.00 | Previous Close: 3.83 | Adjusted PE: 6.25 | Yield: 0.34%
Underlying: REGN | Expiration: 17-Oct-25 | Strike: 570.00 | Previous Close: 5.15 | Adjusted PE: 6.31 | Yield: 0.45%
Underlying: REGN | Expiration: 31-Oct-25 | Strike: 570.00 | Previous Close: 22.40 | Adjusted PE: 6.31 | Yield: 0.33%
Underlying: REGN | Expiration: 24-Oct-25 | Strike: 570.00 | Previous Close: 12.96 | Adjusted PE: 6.31 | Yield: 0.33%
Underlying: CRUS | Expiration: 17-Oct-25 | Strike: 100.00 | Previous Close: 0.53 | Adjusted PE: 6.95 | Yield: 0.26%
Underlying: ON | Expiration: 24-Oct-25 | Strike: 47.00 | Previous Close: 0.87 | Adjusted PE: 7.06 | Yield: 0.26%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 47.00 | Previous Close: 2.05 | Adjusted PE: 7.06 | Yield: 0.26%
Underlying: ON | Expiration: 24-Oct-25 | Strike: 47.50 | Previous Close: 1.03 | Adjusted PE: 7.14 | Yield: 0.31%
Underlying: ON | Expiration: 17-Oct-25 | Strike: 47.50 | Previous Close: 0.30 | Adjusted PE: 7.14 | Yield: 0.31%
Underlying: ON | Expiration: 17-Oct-25 | Strike: 48.00 | Previous Close: 0.32 | Adjusted PE: 7.21 | Yield: 0.32%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 48.00 | Previous Close: 2.59 | Adjusted PE: 7.21 | Yield: 0.32%
Underlying: ON | Expiration: 24-Oct-25 | Strike: 48.00 | Previous Close: 0.83 | Adjusted PE: 7.21 | Yield: 0.24%
Underlying: ON | Expiration: 17-Oct-25 | Strike: 48.50 | Previous Close: 0.59 | Adjusted PE: 7.29 | Yield: 0.60%
Underlying: ON | Expiration: 24-Oct-25 | Strike: 48.50 | Previous Close: 1.43 | Adjusted PE: 7.29 | Yield: 0.42%
Underlying: ON | Expiration: 17-Oct-25 | Strike: 49.00 | Previous Close: 0.58 | Adjusted PE: 7.36 | Yield: 0.58%
Underlying: ON | Expiration: 24-Oct-25 | Strike: 49.00 | Previous Close: 1.57 | Adjusted PE: 7.36 | Yield: 0.46%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 49.00 | Previous Close: 3.15 | Adjusted PE: 7.36 | Yield: 0.38%
Underlying: ON | Expiration: 28-Nov-25 | Strike: 49.00 | Previous Close: 3.77 | Adjusted PE: 7.36 | Yield: 0.25%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 49.00 | Previous Close: 3.15 | Adjusted PE: 7.36 | Yield: 0.24%
Underlying: LNTH | Expiration: 17-Oct-25 | Strike: 55.00 | Previous Close: 0.75 | Adjusted PE: 7.41 | Yield: 0.67%
Underlying: LNTH | Expiration: 21-Nov-25 | Strike: 55.00 | Previous Close: 4.75 | Adjusted PE: 7.41 | Yield: 0.32%
Underlying: ON | Expiration: 17-Oct-25 | Strike: 49.50 | Previous Close: 0.82 | Adjusted PE: 7.44 | Yield: 0.82%
Underlying: ON | Expiration: 24-Oct-25 | Strike: 49.50 | Previous Close: 1.76 | Adjusted PE: 7.44 | Yield: 0.51%
Underlying: ON | Expiration: 17-Oct-25 | Strike: 50.00 | Previous Close: 0.94 | Adjusted PE: 7.51 | Yield: 0.93%
Underlying: ON | Expiration: 24-Oct-25 | Strike: 50.00 | Previous Close: 2.00 | Adjusted PE: 7.51 | Yield: 0.57%
Underlying: ON | Expiration: 31-Oct-25 | Strike: 50.00 | Previous Close: 2.25 | Adjusted PE: 7.51 | Yield: 0.37%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 50.00 | Previous Close: 4.20 | Adjusted PE: 7.51 | Yield: 0.31%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 34.00 | Previous Close: 2.25 | Adjusted PE: 7.72 | Yield: 0.24%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 35.00 | Previous Close: 2.50 | Adjusted PE: 7.95 | Yield: 0.26%
Underlying: XOM | Expiration: 17-Oct-25 | Strike: 111.00 | Previous Close: 0.56 | Adjusted PE: 8.09 | Yield: 0.25%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 36.00 | Previous Close: 3.10 | Adjusted PE: 8.18 | Yield: 0.32%
Underlying: ACLS | Expiration: 17-Oct-25 | Strike: 80.00 | Previous Close: 0.40 | Adjusted PE: 8.21 | Yield: 0.24%
Underlying: ACLS | Expiration: 21-Nov-25 | Strike: 80.00 | Previous Close: 5.00 | Adjusted PE: 8.21 | Yield: 0.23%
Underlying: CRUS | Expiration: 17-Oct-25 | Strike: 120.00 | Previous Close: 0.90 | Adjusted PE: 8.34 | Yield: 0.37%
Underlying: ACMR | Expiration: 17-Oct-25 | Strike: 37.00 | Previous Close: 0.30 | Adjusted PE: 8.41 | Yield: 0.39%
Underlying: ACMR | Expiration: 17-Oct-25 | Strike: 38.00 | Previous Close: 1.30 | Adjusted PE: 8.63 | Yield: 1.70%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 38.00 | Previous Close: 3.82 | Adjusted PE: 8.63 | Yield: 0.37%
Underlying: ACMR | Expiration: 17-Oct-25 | Strike: 39.00 | Previous Close: 0.90 | Adjusted PE: 8.86 | Yield: 1.14%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 39.00 | Previous Close: 4.40 | Adjusted PE: 8.86 | Yield: 0.42%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 115.00 | Previous Close: 3.50 | Adjusted PE: 9.57 | Yield: 0.25%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 120.00 | Previous Close: 5.08 | Adjusted PE: 9.99 | Yield: 0.35%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 124.00 | Previous Close: 6.55 | Adjusted PE: 10.32 | Yield: 0.44%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 125.00 | Previous Close: 7.40 | Adjusted PE: 10.40 | Yield: 0.49%
Underlying: ALGN | Expiration: 17-Oct-25 | Strike: 125.00 | Previous Close: 0.70 | Adjusted PE: 10.40 | Yield: 0.28%
Underlying: ALGN | Expiration: 21-Nov-25 | Strike: 125.00 | Previous Close: 8.62 | Adjusted PE: 10.40 | Yield: 0.26%
Underlying: ALGN | Expiration: 17-Oct-25 | Strike: 126.00 | Previous Close: 0.98 | Adjusted PE: 10.49 | Yield: 0.39%
Underlying: ALGN | Expiration: 17-Oct-25 | Strike: 127.00 | Previous Close: 1.53 | Adjusted PE: 10.57 | Yield: 0.60%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 127.00 | Previous Close: 8.20 | Adjusted PE: 10.57 | Yield: 0.54%
Underlying: ALGN | Expiration: 24-Oct-25 | Strike: 127.00 | Previous Close: 2.78 | Adjusted PE: 10.57 | Yield: 0.31%
Underlying: ALGN | Expiration: 17-Oct-25 | Strike: 128.00 | Previous Close: 1.80 | Adjusted PE: 10.65 | Yield: 0.70%
Underlying: ALGN | Expiration: 24-Oct-25 | Strike: 128.00 | Previous Close: 2.65 | Adjusted PE: 10.65 | Yield: 0.30%
Underlying: YETI | Expiration: 17-Oct-25 | Strike: 32.50 | Previous Close: 0.25 | Adjusted PE: 11.68 | Yield: 0.37%
Underlying: CPRX | Expiration: 17-Oct-25 | Strike: 17.50 | Previous Close: 0.10 | Adjusted PE: 12.35 | Yield: 0.26%
Underlying: META | Expiration: 31-Oct-25 | Strike: 690.00 | Previous Close: 20.65 | Adjusted PE: 12.57 | Yield: 0.25%
Underlying: META | Expiration: 31-Oct-25 | Strike: 695.00 | Previous Close: 22.53 | Adjusted PE: 12.66 | Yield: 0.27%
Underlying: META | Expiration: 31-Oct-25 | Strike: 697.50 | Previous Close: 23.90 | Adjusted PE: 12.71 | Yield: 0.29%
Underlying: META | Expiration: 31-Oct-25 | Strike: 700.00 | Previous Close: 24.27 | Adjusted PE: 12.75 | Yield: 0.29%
Underlying: META | Expiration: 31-Oct-25 | Strike: 702.50 | Previous Close: 25.19 | Adjusted PE: 12.80 | Yield: 0.30%
Underlying: META | Expiration: 31-Oct-25 | Strike: 705.00 | Previous Close: 26.60 | Adjusted PE: 12.84 | Yield: 0.31%
Underlying: META | Expiration: 07-Nov-25 | Strike: 705.00 | Previous Close: 28.82 | Adjusted PE: 12.84 | Yield: 0.24%
Underlying: META | Expiration: 31-Oct-25 | Strike: 707.50 | Previous Close: 27.31 | Adjusted PE: 12.89 | Yield: 0.32%
Underlying: META | Expiration: 17-Oct-25 | Strike: 707.50 | Previous Close: 4.20 | Adjusted PE: 12.89 | Yield: 0.30%
Underlying: META | Expiration: 24-Oct-25 | Strike: 707.50 | Previous Close: 11.55 | Adjusted PE: 12.89 | Yield: 0.23%
Underlying: META | Expiration: 31-Oct-25 | Strike: 710.00 | Previous Close: 28.70 | Adjusted PE: 12.93 | Yield: 0.34%
Underlying: META | Expiration: 17-Oct-25 | Strike: 710.00 | Previous Close: 4.55 | Adjusted PE: 12.93 | Yield: 0.32%
Underlying: META | Expiration: 07-Nov-25 | Strike: 710.00 | Previous Close: 31.13 | Adjusted PE: 12.93 | Yield: 0.26%
Underlying: META | Expiration: 24-Oct-25 | Strike: 710.00 | Previous Close: 11.60 | Adjusted PE: 12.93 | Yield: 0.23%
Underlying: META | Expiration: 17-Oct-25 | Strike: 712.50 | Previous Close: 5.30 | Adjusted PE: 12.98 | Yield: 0.37%
Underlying: META | Expiration: 31-Oct-25 | Strike: 712.50 | Previous Close: 28.67 | Adjusted PE: 12.98 | Yield: 0.34%
Underlying: META | Expiration: 24-Oct-25 | Strike: 712.50 | Previous Close: 12.56 | Adjusted PE: 12.98 | Yield: 0.25%
Underlying: META | Expiration: 17-Oct-25 | Strike: 715.00 | Previous Close: 6.21 | Adjusted PE: 13.03 | Yield: 0.43%
Underlying: META | Expiration: 31-Oct-25 | Strike: 715.00 | Previous Close: 31.24 | Adjusted PE: 13.03 | Yield: 0.36%
Underlying: META | Expiration: 24-Oct-25 | Strike: 715.00 | Previous Close: 14.95 | Adjusted PE: 13.03 | Yield: 0.30%
Underlying: META | Expiration: 07-Nov-25 | Strike: 715.00 | Previous Close: 33.29 | Adjusted PE: 13.03 | Yield: 0.27%
Underlying: NEM | Expiration: 17-Oct-25 | Strike: 79.00 | Previous Close: 0.75 | Adjusted PE: 13.05 | Yield: 0.47%
Underlying: META | Expiration: 17-Oct-25 | Strike: 717.50 | Previous Close: 7.43 | Adjusted PE: 13.07 | Yield: 0.52%
Underlying: META | Expiration: 31-Oct-25 | Strike: 717.50 | Previous Close: 32.95 | Adjusted PE: 13.07 | Yield: 0.38%
Underlying: META | Expiration: 24-Oct-25 | Strike: 717.50 | Previous Close: 14.70 | Adjusted PE: 13.07 | Yield: 0.29%
Underlying: SNPS | Expiration: 17-Oct-25 | Strike: 400.00 | Previous Close: 47.54 | Adjusted PE: 13.96 | Yield: 5.94%
Underlying: SNPS | Expiration: 17-Oct-25 | Strike: 420.00 | Previous Close: 2.10 | Adjusted PE: 14.66 | Yield: 0.25%
Underlying: SNPS | Expiration: 24-Oct-25 | Strike: 420.00 | Previous Close: 7.30 | Adjusted PE: 14.66 | Yield: 0.25%
Underlying: NEM | Expiration: 24-Oct-25 | Strike: 89.00 | Previous Close: 1.68 | Adjusted PE: 14.71 | Yield: 0.27%
Underlying: SNPS | Expiration: 17-Oct-25 | Strike: 425.00 | Previous Close: 3.30 | Adjusted PE: 14.83 | Yield: 0.39%
Underlying: SNPS | Expiration: 24-Oct-25 | Strike: 425.00 | Previous Close: 9.80 | Adjusted PE: 14.83 | Yield: 0.33%
Underlying: NEM | Expiration: 24-Oct-25 | Strike: 90.00 | Previous Close: 1.96 | Adjusted PE: 14.87 | Yield: 0.31%
Underlying: NEM | Expiration: 31-Oct-25 | Strike: 90.00 | Previous Close: 2.64 | Adjusted PE: 14.87 | Yield: 0.24%
Underlying: GOOGL | Expiration: 31-Oct-25 | Strike: 242.50 | Previous Close: 6.72 | Adjusted PE: 14.94 | Yield: 0.23%
