Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-07-22T11:10:45.260571600
Total Options: 75

These are tier 1 options:
These are tier 2 options:
These are tier 3 options:
These are tier 4 options:
These are tier 5 options:
Underlying: CRNT | Expiration: 15-Aug-25 | Strike: 2.00 | Previous Close: 0.10 | Adjusted PE: 2.34 | Yield: 0.24%
Underlying: CTMX | Expiration: 21-Nov-25 | Strike: 2.00 | Previous Close: 0.34 | Adjusted PE: 1.47 | Yield: 0.19%
Underlying: NPWR | Expiration: 15-Aug-25 | Strike: 2.00 | Previous Close: 0.12 | Adjusted PE: 1.72 | Yield: 0.29%
Underlying: MTLS | Expiration: 15-Aug-25 | Strike: 2.50 | Previous Close: 0.05 | Adjusted PE: 1.75 | Yield: 0.08%
Underlying: EGHT | Expiration: 15-Aug-25 | Strike: 1.50 | Previous Close: 0.06 | Adjusted PE: 1.78 | Yield: 0.18%
Underlying: NVAX | Expiration: 25-Jul-25 | Strike: 3.00 | Previous Close: 0.37 | Adjusted PE: 2.11 | Yield: 3.00%
Underlying: NPWR | Expiration: 15-Aug-25 | Strike: 2.50 | Previous Close: 0.30 | Adjusted PE: 2.15 | Yield: 0.61%
Underlying: NPWR | Expiration: 21-Nov-25 | Strike: 2.50 | Previous Close: 0.70 | Adjusted PE: 2.15 | Yield: 0.31%
Underlying: NOTE | Expiration: 19-Dec-25 | Strike: 0.50 | Previous Close: 0.15 | Adjusted PE: 2.20 | Yield: 0.26%
Underlying: FULC | Expiration: 15-Aug-25 | Strike: 2.00 | Previous Close: 0.05 | Adjusted PE: 2.30 | Yield: 0.11%
Underlying: NVAX | Expiration: 25-Jul-25 | Strike: 4.00 | Previous Close: 0.13 | Adjusted PE: 2.81 | Yield: 0.75%
Underlying: NIU | Expiration: 20-Mar-26 | Strike: 2.50 | Previous Close: 0.32 | Adjusted PE: 3.50 | Yield: 0.07%
Underlying: ACB | Expiration: 16-Jan-26 | Strike: 3.00 | Previous Close: 0.24 | Adjusted PE: 6.93 | Yield: 0.06%
Underlying: CAPR | Expiration: 19-Sep-25 | Strike: 2.50 | Previous Close: 0.30 | Adjusted PE: 7.97 | Yield: 0.27%
Underlying: CAPR | Expiration: 19-Dec-25 | Strike: 2.50 | Previous Close: 0.55 | Adjusted PE: 7.97 | Yield: 0.20%
Underlying: CAPR | Expiration: 16-Jan-26 | Strike: 2.50 | Previous Close: 0.60 | Adjusted PE: 7.97 | Yield: 0.19%
Underlying: CAPR | Expiration: 15-Jan-27 | Strike: 2.50 | Previous Close: 1.13 | Adjusted PE: 7.97 | Yield: 0.12%
Underlying: CAPR | Expiration: 15-Aug-25 | Strike: 2.50 | Previous Close: 0.05 | Adjusted PE: 7.97 | Yield: 0.08%
Underlying: INDI | Expiration: 17-Oct-25 | Strike: 3.00 | Previous Close: 0.20 | Adjusted PE: 9.24 | Yield: 0.10%
Underlying: ACB | Expiration: 15-Aug-25 | Strike: 4.00 | Previous Close: 0.16 | Adjusted PE: 9.24 | Yield: 0.20%
Underlying: ACB | Expiration: 19-Sep-25 | Strike: 4.00 | Previous Close: 0.24 | Adjusted PE: 9.24 | Yield: 0.13%
Underlying: ACB | Expiration: 16-Jan-26 | Strike: 4.00 | Previous Close: 0.60 | Adjusted PE: 9.24 | Yield: 0.12%
Underlying: INDI | Expiration: 15-Aug-25 | Strike: 3.50 | Previous Close: 0.10 | Adjusted PE: 10.78 | Yield: 0.14%
Underlying: INDI | Expiration: 17-Oct-25 | Strike: 3.50 | Previous Close: 0.30 | Adjusted PE: 10.78 | Yield: 0.13%
Underlying: INDI | Expiration: 19-Sep-25 | Strike: 3.50 | Previous Close: 0.20 | Adjusted PE: 10.78 | Yield: 0.13%
Underlying: INDI | Expiration: 19-Sep-25 | Strike: 4.00 | Previous Close: 0.40 | Adjusted PE: 12.32 | Yield: 0.23%
Underlying: INDI | Expiration: 17-Oct-25 | Strike: 4.00 | Previous Close: 0.52 | Adjusted PE: 12.32 | Yield: 0.20%
Underlying: TUYA | Expiration: 15-Aug-25 | Strike: 2.50 | Previous Close: 0.17 | Adjusted PE: 13.06 | Yield: 0.34%
Underlying: CRON | Expiration: 15-Aug-25 | Strike: 2.00 | Previous Close: 0.07 | Adjusted PE: 13.19 | Yield: 0.16%
Underlying: CRON | Expiration: 17-Oct-25 | Strike: 2.00 | Previous Close: 0.15 | Adjusted PE: 13.19 | Yield: 0.11%
Underlying: CRON | Expiration: 16-Jan-26 | Strike: 2.00 | Previous Close: 0.21 | Adjusted PE: 13.19 | Yield: 0.08%
Underlying: MYGN | Expiration: 19-Sep-25 | Strike: 4.00 | Previous Close: 0.31 | Adjusted PE: 22.94 | Yield: 0.17%
Underlying: MYGN | Expiration: 21-Nov-25 | Strike: 4.00 | Previous Close: 0.55 | Adjusted PE: 22.94 | Yield: 0.15%
Underlying: GRAB | Expiration: 25-Jul-25 | Strike: 2.50 | Previous Close: 0.10 | Adjusted PE: 26.15 | Yield: 0.90%
