Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-23T04:33:00.906910200
Total Options: 94

These are tier 1 options:
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 477.50 | Previous Close: 3.35 | Adjusted PE: 19.37 | Yield: 0.23%
Underlying: REGN | Expiration: 02-Jan-26 | Strike: 775.00 | Previous Close: 9.20 | Adjusted PE: 8.58 | Yield: 0.17%
Underlying: REGN | Expiration: 16-Jan-26 | Strike: 775.00 | Previous Close: 21.90 | Adjusted PE: 8.58 | Yield: 0.17%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 300.00 | Previous Close: 20.08 | Adjusted PE: 17.81 | Yield: 0.17%
Underlying: GOOGL | Expiration: 26-Dec-25 | Strike: 307.50 | Previous Close: 1.68 | Adjusted PE: 18.95 | Yield: 0.18%
Underlying: GOOGL | Expiration: 02-Jan-26 | Strike: 307.50 | Previous Close: 3.75 | Adjusted PE: 18.95 | Yield: 0.17%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 467.50 | Previous Close: 6.04 | Adjusted PE: 18.96 | Yield: 0.18%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 320.00 | Previous Close: 10.22 | Adjusted PE: 19.00 | Yield: 0.19%
Underlying: GOOG | Expiration: 02-Jan-26 | Strike: 310.00 | Previous Close: 4.05 | Adjusted PE: 19.10 | Yield: 0.19%
Underlying: SNPS | Expiration: 09-Jan-26 | Strike: 475.00 | Previous Close: 10.20 | Adjusted PE: 19.27 | Yield: 0.18%
Underlying: SNPS | Expiration: 23-Jan-26 | Strike: 475.00 | Previous Close: 17.50 | Adjusted PE: 19.27 | Yield: 0.18%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 475.00 | Previous Close: 2.45 | Adjusted PE: 19.27 | Yield: 0.17%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 475.00 | Previous Close: 5.50 | Adjusted PE: 19.27 | Yield: 0.17%
Underlying: SNPS | Expiration: 16-Jan-26 | Strike: 480.00 | Previous Close: 15.05 | Adjusted PE: 19.47 | Yield: 0.18%
Underlying: CAMT | Expiration: 16-Jan-26 | Strike: 100.00 | Previous Close: 2.75 | Adjusted PE: 29.58 | Yield: 0.16%
Underlying: ISRG | Expiration: 23-Jan-26 | Strike: 570.00 | Previous Close: 21.70 | Adjusted PE: 45.06 | Yield: 0.18%
Underlying: ISRG | Expiration: 16-Jan-26 | Strike: 575.00 | Previous Close: 17.50 | Adjusted PE: 45.46 | Yield: 0.18%
These are tier 4 options:
Underlying: NVO | Expiration: 09-Jan-26 | Strike: 46.50 | Previous Close: 0.88 | Adjusted PE: 1.04 | Yield: 0.16%
Underlying: NVO | Expiration: 16-Jan-26 | Strike: 46.50 | Previous Close: 1.12 | Adjusted PE: 1.04 | Yield: 0.14%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 47.00 | Previous Close: 0.59 | Adjusted PE: 1.05 | Yield: 0.18%
Underlying: NVO | Expiration: 09-Jan-26 | Strike: 47.00 | Previous Close: 0.92 | Adjusted PE: 1.05 | Yield: 0.16%
Underlying: NVO | Expiration: 16-Jan-26 | Strike: 47.00 | Previous Close: 1.25 | Adjusted PE: 1.05 | Yield: 0.16%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 47.00 | Previous Close: 0.22 | Adjusted PE: 1.05 | Yield: 0.15%
Underlying: NVO | Expiration: 23-Jan-26 | Strike: 47.00 | Previous Close: 1.43 | Adjusted PE: 1.05 | Yield: 0.14%
Underlying: NVO | Expiration: 30-Jan-26 | Strike: 47.00 | Previous Close: 1.68 | Adjusted PE: 1.05 | Yield: 0.14%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 47.50 | Previous Close: 0.38 | Adjusted PE: 1.06 | Yield: 0.26%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 47.50 | Previous Close: 0.83 | Adjusted PE: 1.06 | Yield: 0.25%
Underlying: NVO | Expiration: 09-Jan-26 | Strike: 47.50 | Previous Close: 1.15 | Adjusted PE: 1.06 | Yield: 0.20%
Underlying: NVO | Expiration: 16-Jan-26 | Strike: 47.50 | Previous Close: 1.47 | Adjusted PE: 1.06 | Yield: 0.18%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 48.00 | Previous Close: 0.61 | Adjusted PE: 1.07 | Yield: 0.42%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 48.00 | Previous Close: 0.99 | Adjusted PE: 1.07 | Yield: 0.29%
Underlying: NVO | Expiration: 09-Jan-26 | Strike: 48.00 | Previous Close: 1.48 | Adjusted PE: 1.07 | Yield: 0.26%
Underlying: NVO | Expiration: 16-Jan-26 | Strike: 48.00 | Previous Close: 1.73 | Adjusted PE: 1.07 | Yield: 0.21%
Underlying: NVO | Expiration: 23-Jan-26 | Strike: 48.00 | Previous Close: 1.90 | Adjusted PE: 1.07 | Yield: 0.19%
Underlying: NVO | Expiration: 30-Jan-26 | Strike: 48.00 | Previous Close: 2.11 | Adjusted PE: 1.07 | Yield: 0.17%
Underlying: STLA | Expiration: 19-Dec-25 | Strike: 11.00 | Previous Close: 0.03 | Adjusted PE: 1.47 | Yield: 0.18%
Underlying: STLA | Expiration: 09-Jan-26 | Strike: 11.50 | Previous Close: 0.35 | Adjusted PE: 1.53 | Yield: 0.21%
Underlying: SSTK | Expiration: 20-Feb-26 | Strike: 17.50 | Previous Close: 1.05 | Adjusted PE: 3.64 | Yield: 0.15%
Underlying: CROX | Expiration: 20-Feb-26 | Strike: 85.00 | Previous Close: 5.14 | Adjusted PE: 4.87 | Yield: 0.15%
Underlying: CROX | Expiration: 16-Jan-26 | Strike: 85.00 | Previous Close: 1.90 | Adjusted PE: 4.87 | Yield: 0.13%
Underlying: CROX | Expiration: 16-Jan-26 | Strike: 86.00 | Previous Close: 2.69 | Adjusted PE: 4.92 | Yield: 0.18%
Underlying: CROX | Expiration: 09-Jan-26 | Strike: 86.00 | Previous Close: 1.59 | Adjusted PE: 4.92 | Yield: 0.15%
Underlying: CROX | Expiration: 02-Jan-26 | Strike: 86.00 | Previous Close: 0.82 | Adjusted PE: 4.92 | Yield: 0.14%
Underlying: CROX | Expiration: 30-Jan-26 | Strike: 87.00 | Previous Close: 4.55 | Adjusted PE: 4.98 | Yield: 0.20%
Underlying: CROX | Expiration: 02-Jan-26 | Strike: 87.00 | Previous Close: 1.15 | Adjusted PE: 4.98 | Yield: 0.19%
Underlying: CROX | Expiration: 09-Jan-26 | Strike: 87.00 | Previous Close: 1.59 | Adjusted PE: 4.98 | Yield: 0.15%
Underlying: CROX | Expiration: 20-Mar-26 | Strike: 87.50 | Previous Close: 7.30 | Adjusted PE: 5.01 | Yield: 0.14%
Underlying: CROX | Expiration: 02-Jan-26 | Strike: 88.00 | Previous Close: 1.55 | Adjusted PE: 5.04 | Yield: 0.25%
Underlying: CROX | Expiration: 09-Jan-26 | Strike: 88.00 | Previous Close: 2.40 | Adjusted PE: 5.04 | Yield: 0.23%
Underlying: CROX | Expiration: 16-Jan-26 | Strike: 88.00 | Previous Close: 3.25 | Adjusted PE: 5.04 | Yield: 0.22%
Underlying: CROX | Expiration: 26-Dec-25 | Strike: 88.00 | Previous Close: 0.55 | Adjusted PE: 5.04 | Yield: 0.21%
Underlying: CROX | Expiration: 30-Jan-26 | Strike: 88.00 | Previous Close: 4.50 | Adjusted PE: 5.04 | Yield: 0.20%
Underlying: COP | Expiration: 09-Jan-26 | Strike: 92.00 | Previous Close: 1.48 | Adjusted PE: 5.07 | Yield: 0.13%
Underlying: COP | Expiration: 09-Jan-26 | Strike: 93.00 | Previous Close: 1.74 | Adjusted PE: 5.13 | Yield: 0.16%
Underlying: COP | Expiration: 16-Jan-26 | Strike: 93.00 | Previous Close: 2.10 | Adjusted PE: 5.13 | Yield: 0.13%
Underlying: OC | Expiration: 16-Jan-26 | Strike: 110.00 | Previous Close: 3.00 | Adjusted PE: 6.72 | Yield: 0.16%
Underlying: SLB | Expiration: 16-Jan-26 | Strike: 37.50 | Previous Close: 9.20 | Adjusted PE: 7.34 | Yield: 1.44%
Underlying: SLB | Expiration: 26-Dec-25 | Strike: 38.00 | Previous Close: 0.24 | Adjusted PE: 7.44 | Yield: 0.20%
Underlying: SLB | Expiration: 02-Jan-26 | Strike: 38.00 | Previous Close: 0.47 | Adjusted PE: 7.44 | Yield: 0.17%
Underlying: SLB | Expiration: 23-Jan-26 | Strike: 38.00 | Previous Close: 1.22 | Adjusted PE: 7.44 | Yield: 0.15%
Underlying: SLB | Expiration: 16-Jan-26 | Strike: 38.00 | Previous Close: 0.91 | Adjusted PE: 7.44 | Yield: 0.14%
Underlying: SLB | Expiration: 30-Jan-26 | Strike: 38.00 | Previous Close: 1.38 | Adjusted PE: 7.44 | Yield: 0.14%
Underlying: LRN | Expiration: 20-Feb-26 | Strike: 60.00 | Previous Close: 3.35 | Adjusted PE: 7.87 | Yield: 0.14%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 760.00 | Previous Close: 26.90 | Adjusted PE: 8.41 | Yield: 0.14%
Underlying: REGN | Expiration: 16-Jan-26 | Strike: 760.00 | Previous Close: 16.90 | Adjusted PE: 8.41 | Yield: 0.13%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 770.00 | Previous Close: 31.50 | Adjusted PE: 8.52 | Yield: 0.16%
Underlying: REGN | Expiration: 16-Jan-26 | Strike: 770.00 | Previous Close: 19.80 | Adjusted PE: 8.52 | Yield: 0.15%
Underlying: REGN | Expiration: 02-Jan-26 | Strike: 770.00 | Previous Close: 7.70 | Adjusted PE: 8.52 | Yield: 0.14%
Underlying: REGN | Expiration: 26-Dec-25 | Strike: 770.00 | Previous Close: 3.08 | Adjusted PE: 8.52 | Yield: 0.13%
Underlying: LRN | Expiration: 20-Mar-26 | Strike: 65.00 | Previous Close: 6.20 | Adjusted PE: 8.53 | Yield: 0.16%
Underlying: PAYC | Expiration: 16-Jan-26 | Strike: 165.00 | Previous Close: 5.00 | Adjusted PE: 9.91 | Yield: 0.18%
Underlying: GDDY | Expiration: 16-Jan-26 | Strike: 125.00 | Previous Close: 2.81 | Adjusted PE: 10.21 | Yield: 0.13%
Underlying: GDDY | Expiration: 26-Dec-25 | Strike: 126.00 | Previous Close: 1.00 | Adjusted PE: 10.30 | Yield: 0.26%
Underlying: QCOM | Expiration: 26-Dec-25 | Strike: 172.50 | Previous Close: 0.94 | Adjusted PE: 12.08 | Yield: 0.18%
