Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-11-06T06:26:46.844773700
Total Options: 97

These are tier 1 options:
Underlying: TSM | Expiration: 07-Nov-25 | Strike: 290.00 | Previous Close: 2.17 | Adjusted PE: 0.65 | Yield: 0.37%
Underlying: ON | Expiration: 05-Dec-25 | Strike: 48.00 | Previous Close: 2.40 | Adjusted PE: 7.21 | Yield: 0.24%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 48.50 | Previous Close: 0.38 | Adjusted PE: 7.29 | Yield: 0.38%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 49.00 | Previous Close: 0.55 | Adjusted PE: 7.36 | Yield: 0.55%
Underlying: ON | Expiration: 14-Nov-25 | Strike: 49.00 | Previous Close: 1.11 | Adjusted PE: 7.36 | Yield: 0.32%
Underlying: ON | Expiration: 05-Dec-25 | Strike: 49.00 | Previous Close: 2.69 | Adjusted PE: 7.36 | Yield: 0.26%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 49.00 | Previous Close: 1.45 | Adjusted PE: 7.36 | Yield: 0.25%
Underlying: LNTH | Expiration: 21-Nov-25 | Strike: 55.00 | Previous Close: 4.72 | Adjusted PE: 7.41 | Yield: 0.71%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 49.50 | Previous Close: 0.70 | Adjusted PE: 7.44 | Yield: 0.70%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 49.50 | Previous Close: 2.32 | Adjusted PE: 7.44 | Yield: 0.39%
Underlying: ON | Expiration: 14-Nov-25 | Strike: 49.50 | Previous Close: 1.15 | Adjusted PE: 7.44 | Yield: 0.33%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 50.00 | Previous Close: 0.64 | Adjusted PE: 7.51 | Yield: 0.63%
Underlying: ON | Expiration: 14-Nov-25 | Strike: 50.00 | Previous Close: 1.50 | Adjusted PE: 7.51 | Yield: 0.43%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 50.00 | Previous Close: 1.89 | Adjusted PE: 7.51 | Yield: 0.31%
Underlying: ON | Expiration: 28-Nov-25 | Strike: 50.00 | Previous Close: 2.42 | Adjusted PE: 7.51 | Yield: 0.30%
Underlying: ON | Expiration: 05-Dec-25 | Strike: 50.00 | Previous Close: 2.81 | Adjusted PE: 7.51 | Yield: 0.27%
Underlying: ALKS | Expiration: 21-Nov-25 | Strike: 31.00 | Previous Close: 1.25 | Adjusted PE: 8.12 | Yield: 0.33%
Underlying: ACLS | Expiration: 21-Nov-25 | Strike: 80.00 | Previous Close: 3.01 | Adjusted PE: 8.21 | Yield: 0.31%
Underlying: TGLS | Expiration: 21-Nov-25 | Strike: 55.00 | Previous Close: 2.50 | Adjusted PE: 10.64 | Yield: 0.38%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 132.00 | Previous Close: 2.74 | Adjusted PE: 10.99 | Yield: 1.03%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 133.00 | Previous Close: 1.25 | Adjusted PE: 11.07 | Yield: 0.47%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 134.00 | Previous Close: 1.35 | Adjusted PE: 11.15 | Yield: 0.50%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 135.00 | Previous Close: 1.28 | Adjusted PE: 11.23 | Yield: 0.47%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 136.00 | Previous Close: 2.55 | Adjusted PE: 11.32 | Yield: 0.93%
Underlying: META | Expiration: 07-Nov-25 | Strike: 625.00 | Previous Close: 3.15 | Adjusted PE: 11.39 | Yield: 0.25%
Underlying: META | Expiration: 07-Nov-25 | Strike: 627.50 | Previous Close: 3.85 | Adjusted PE: 11.43 | Yield: 0.31%
Underlying: META | Expiration: 07-Nov-25 | Strike: 630.00 | Previous Close: 4.60 | Adjusted PE: 11.48 | Yield: 0.36%
Underlying: META | Expiration: 14-Nov-25 | Strike: 630.00 | Previous Close: 10.80 | Adjusted PE: 11.48 | Yield: 0.25%
Underlying: META | Expiration: 07-Nov-25 | Strike: 632.50 | Previous Close: 5.70 | Adjusted PE: 11.52 | Yield: 0.45%
Underlying: META | Expiration: 14-Nov-25 | Strike: 632.50 | Previous Close: 11.30 | Adjusted PE: 11.52 | Yield: 0.26%
Underlying: META | Expiration: 07-Nov-25 | Strike: 635.00 | Previous Close: 6.78 | Adjusted PE: 11.57 | Yield: 0.53%
Underlying: META | Expiration: 14-Nov-25 | Strike: 635.00 | Previous Close: 13.07 | Adjusted PE: 11.57 | Yield: 0.29%
Underlying: YETI | Expiration: 21-Nov-25 | Strike: 32.50 | Previous Close: 1.40 | Adjusted PE: 11.68 | Yield: 0.36%
Underlying: YETI | Expiration: 19-Dec-25 | Strike: 32.50 | Previous Close: 2.40 | Adjusted PE: 11.68 | Yield: 0.24%
Underlying: SNPS | Expiration: 14-Nov-25 | Strike: 395.00 | Previous Close: 7.85 | Adjusted PE: 13.78 | Yield: 0.28%
Underlying: SNPS | Expiration: 07-Nov-25 | Strike: 395.00 | Previous Close: 1.95 | Adjusted PE: 13.78 | Yield: 0.25%
Underlying: SNPS | Expiration: 07-Nov-25 | Strike: 397.50 | Previous Close: 2.11 | Adjusted PE: 13.87 | Yield: 0.26%
Underlying: SNPS | Expiration: 07-Nov-25 | Strike: 400.00 | Previous Close: 2.85 | Adjusted PE: 13.96 | Yield: 0.36%
Underlying: SNPS | Expiration: 14-Nov-25 | Strike: 400.00 | Previous Close: 7.04 | Adjusted PE: 13.96 | Yield: 0.25%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 400.00 | Previous Close: 25.29 | Adjusted PE: 13.96 | Yield: 0.24%
Underlying: SNPS | Expiration: 21-Nov-25 | Strike: 400.00 | Previous Close: 11.50 | Adjusted PE: 13.96 | Yield: 0.24%
Underlying: SNPS | Expiration: 07-Nov-25 | Strike: 402.50 | Previous Close: 3.00 | Adjusted PE: 14.05 | Yield: 0.37%
Underlying: SNPS | Expiration: 07-Nov-25 | Strike: 405.00 | Previous Close: 3.00 | Adjusted PE: 14.13 | Yield: 0.37%
Underlying: SNPS | Expiration: 14-Nov-25 | Strike: 405.00 | Previous Close: 9.30 | Adjusted PE: 14.13 | Yield: 0.33%
Underlying: SNPS | Expiration: 21-Nov-25 | Strike: 405.00 | Previous Close: 12.68 | Adjusted PE: 14.13 | Yield: 0.26%
Underlying: SNPS | Expiration: 28-Nov-25 | Strike: 405.00 | Previous Close: 15.86 | Adjusted PE: 14.13 | Yield: 0.25%
Underlying: XPEL | Expiration: 21-Nov-25 | Strike: 30.00 | Previous Close: 1.20 | Adjusted PE: 15.05 | Yield: 0.33%
Underlying: AMAT | Expiration: 14-Nov-25 | Strike: 227.50 | Previous Close: 3.67 | Adjusted PE: 16.36 | Yield: 0.23%
Underlying: AMAT | Expiration: 14-Nov-25 | Strike: 230.00 | Previous Close: 4.46 | Adjusted PE: 16.54 | Yield: 0.28%
Underlying: AMAT | Expiration: 14-Nov-25 | Strike: 232.50 | Previous Close: 5.15 | Adjusted PE: 16.72 | Yield: 0.32%
Underlying: AMAT | Expiration: 21-Nov-25 | Strike: 232.50 | Previous Close: 7.54 | Adjusted PE: 16.72 | Yield: 0.27%
Underlying: AMAT | Expiration: 14-Nov-25 | Strike: 235.00 | Previous Close: 6.37 | Adjusted PE: 16.90 | Yield: 0.39%
Underlying: AMAT | Expiration: 07-Nov-25 | Strike: 235.00 | Previous Close: 1.40 | Adjusted PE: 16.90 | Yield: 0.30%
Underlying: AMAT | Expiration: 21-Nov-25 | Strike: 235.00 | Previous Close: 7.63 | Adjusted PE: 16.90 | Yield: 0.27%
Underlying: AMAT | Expiration: 28-Nov-25 | Strike: 235.00 | Previous Close: 9.30 | Adjusted PE: 16.90 | Yield: 0.25%
Underlying: AMAT | Expiration: 07-Nov-25 | Strike: 237.50 | Previous Close: 2.07 | Adjusted PE: 17.08 | Yield: 0.43%
Underlying: AMAT | Expiration: 14-Nov-25 | Strike: 237.50 | Previous Close: 7.12 | Adjusted PE: 17.08 | Yield: 0.43%
Underlying: AMAT | Expiration: 21-Nov-25 | Strike: 237.50 | Previous Close: 8.81 | Adjusted PE: 17.08 | Yield: 0.31%
Underlying: AMAT | Expiration: 07-Nov-25 | Strike: 240.00 | Previous Close: 3.00 | Adjusted PE: 17.26 | Yield: 0.62%
Underlying: AMAT | Expiration: 14-Nov-25 | Strike: 240.00 | Previous Close: 8.51 | Adjusted PE: 17.26 | Yield: 0.51%
Underlying: AMAT | Expiration: 21-Nov-25 | Strike: 240.00 | Previous Close: 9.92 | Adjusted PE: 17.26 | Yield: 0.34%
Underlying: AMAT | Expiration: 28-Nov-25 | Strike: 240.00 | Previous Close: 11.00 | Adjusted PE: 17.26 | Yield: 0.29%
Underlying: GOOGL | Expiration: 07-Nov-25 | Strike: 282.50 | Previous Close: 2.05 | Adjusted PE: 17.41 | Yield: 0.36%
Underlying: GOOG | Expiration: 07-Nov-25 | Strike: 282.50 | Previous Close: 1.85 | Adjusted PE: 17.41 | Yield: 0.33%
