Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-14T04:33:03.800018600
Total Options: 131

These are tier 1 options:
Underlying: SPNS | Expiration: 16-Jan-26 | Strike: 15.00 | Previous Close: 1.00 | Adjusted PE: 5.67 | Yield: 0.29%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 53.00 | Previous Close: 0.59 | Adjusted PE: 7.96 | Yield: 0.22%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 37.00 | Previous Close: 3.70 | Adjusted PE: 8.41 | Yield: 0.22%
Underlying: META | Expiration: 19-Dec-25 | Strike: 637.50 | Previous Close: 6.79 | Adjusted PE: 11.61 | Yield: 0.21%
Underlying: META | Expiration: 26-Dec-25 | Strike: 642.50 | Previous Close: 11.62 | Adjusted PE: 11.70 | Yield: 0.20%
Underlying: ALGN | Expiration: 19-Dec-25 | Strike: 162.50 | Previous Close: 1.70 | Adjusted PE: 13.52 | Yield: 0.21%
Underlying: CPRX | Expiration: 16-Jan-26 | Strike: 22.50 | Previous Close: 1.04 | Adjusted PE: 15.87 | Yield: 0.20%
Underlying: MSFT | Expiration: 19-Dec-25 | Strike: 477.50 | Previous Close: 5.04 | Adjusted PE: 17.92 | Yield: 0.21%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 320.00 | Previous Close: 14.07 | Adjusted PE: 19.00 | Yield: 0.19%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 665.00 | Previous Close: 7.52 | Adjusted PE: 27.19 | Yield: 0.23%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 540.00 | Previous Close: 5.90 | Adjusted PE: 42.69 | Yield: 0.22%
These are tier 3 options:
Underlying: SMLR | Expiration: 16-Jan-26 | Strike: 15.00 | Previous Close: 0.62 | Adjusted PE: 0.51 | Yield: 0.18%
Underlying: SMLR | Expiration: 19-Dec-25 | Strike: 17.50 | Previous Close: 0.50 | Adjusted PE: 0.59 | Yield: 0.56%
Underlying: NTES | Expiration: 19-Dec-25 | Strike: 135.00 | Previous Close: 1.23 | Adjusted PE: 1.76 | Yield: 0.18%
Underlying: IMO | Expiration: 19-Dec-25 | Strike: 90.00 | Previous Close: 0.85 | Adjusted PE: 7.05 | Yield: 0.19%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 35.00 | Previous Close: 2.60 | Adjusted PE: 7.95 | Yield: 0.16%
Underlying: ON | Expiration: 26-Dec-25 | Strike: 53.00 | Previous Close: 0.90 | Adjusted PE: 7.96 | Yield: 0.19%
Underlying: ON | Expiration: 02-Jan-26 | Strike: 53.00 | Previous Close: 1.20 | Adjusted PE: 7.96 | Yield: 0.17%
Underlying: META | Expiration: 19-Dec-25 | Strike: 632.50 | Previous Close: 5.13 | Adjusted PE: 11.52 | Yield: 0.16%
Underlying: META | Expiration: 19-Dec-25 | Strike: 635.00 | Previous Close: 5.70 | Adjusted PE: 11.57 | Yield: 0.18%
Underlying: META | Expiration: 26-Dec-25 | Strike: 640.00 | Previous Close: 10.15 | Adjusted PE: 11.66 | Yield: 0.18%
Underlying: MSFT | Expiration: 19-Dec-25 | Strike: 475.00 | Previous Close: 4.10 | Adjusted PE: 17.83 | Yield: 0.17%
Underlying: MSFT | Expiration: 26-Dec-25 | Strike: 477.50 | Previous Close: 7.20 | Adjusted PE: 17.92 | Yield: 0.17%
Underlying: INTU | Expiration: 26-Dec-25 | Strike: 667.50 | Previous Close: 10.30 | Adjusted PE: 27.29 | Yield: 0.17%
Underlying: INTU | Expiration: 26-Dec-25 | Strike: 670.00 | Previous Close: 11.40 | Adjusted PE: 27.40 | Yield: 0.19%
Underlying: INTU | Expiration: 02-Jan-26 | Strike: 670.00 | Previous Close: 14.80 | Adjusted PE: 27.40 | Yield: 0.17%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 535.00 | Previous Close: 4.40 | Adjusted PE: 42.29 | Yield: 0.16%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 537.50 | Previous Close: 5.10 | Adjusted PE: 42.49 | Yield: 0.19%
Underlying: ISRG | Expiration: 23-Jan-26 | Strike: 540.00 | Previous Close: 24.75 | Adjusted PE: 42.69 | Yield: 0.17%
These are tier 4 options:
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 17.50 | Previous Close: 0.13 | Adjusted PE: 0.64 | Yield: 0.14%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 48.50 | Previous Close: 0.40 | Adjusted PE: 1.08 | Yield: 0.16%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 48.50 | Previous Close: 0.62 | Adjusted PE: 1.08 | Yield: 0.14%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 49.00 | Previous Close: 0.52 | Adjusted PE: 1.09 | Yield: 0.21%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 49.00 | Previous Close: 0.85 | Adjusted PE: 1.09 | Yield: 0.19%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 49.00 | Previous Close: 1.14 | Adjusted PE: 1.09 | Yield: 0.18%
Underlying: NVO | Expiration: 09-Jan-26 | Strike: 49.00 | Previous Close: 1.41 | Adjusted PE: 1.09 | Yield: 0.16%
Underlying: NVO | Expiration: 23-Jan-26 | Strike: 49.00 | Previous Close: 1.81 | Adjusted PE: 1.09 | Yield: 0.14%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 49.50 | Previous Close: 0.69 | Adjusted PE: 1.10 | Yield: 0.28%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 49.50 | Previous Close: 1.06 | Adjusted PE: 1.10 | Yield: 0.24%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 50.00 | Previous Close: 0.92 | Adjusted PE: 1.11 | Yield: 0.36%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 50.00 | Previous Close: 1.25 | Adjusted PE: 1.11 | Yield: 0.28%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 50.00 | Previous Close: 1.60 | Adjusted PE: 1.11 | Yield: 0.25%
Underlying: NVO | Expiration: 09-Jan-26 | Strike: 50.00 | Previous Close: 1.85 | Adjusted PE: 1.11 | Yield: 0.20%
Underlying: NVO | Expiration: 16-Jan-26 | Strike: 50.00 | Previous Close: 2.31 | Adjusted PE: 1.11 | Yield: 0.20%
Underlying: NVO | Expiration: 23-Jan-26 | Strike: 50.00 | Previous Close: 2.30 | Adjusted PE: 1.11 | Yield: 0.17%
Underlying: NVO | Expiration: 30-Jan-26 | Strike: 50.00 | Previous Close: 2.61 | Adjusted PE: 1.11 | Yield: 0.16%
Underlying: NVO | Expiration: 20-Feb-26 | Strike: 50.00 | Previous Close: 3.54 | Adjusted PE: 1.11 | Yield: 0.15%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 91.00 | Previous Close: 3.55 | Adjusted PE: 3.31 | Yield: 0.14%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 92.00 | Previous Close: 1.80 | Adjusted PE: 3.35 | Yield: 0.15%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 92.00 | Previous Close: 3.55 | Adjusted PE: 3.35 | Yield: 0.14%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 92.00 | Previous Close: 4.05 | Adjusted PE: 3.35 | Yield: 0.14%
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 92.00 | Previous Close: 0.63 | Adjusted PE: 3.35 | Yield: 0.14%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 92.00 | Previous Close: 1.12 | Adjusted PE: 3.35 | Yield: 0.13%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 92.00 | Previous Close: 2.23 | Adjusted PE: 3.35 | Yield: 0.13%
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 92.50 | Previous Close: 0.76 | Adjusted PE: 3.36 | Yield: 0.16%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 92.50 | Previous Close: 1.33 | Adjusted PE: 3.36 | Yield: 0.16%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 92.50 | Previous Close: 1.83 | Adjusted PE: 3.36 | Yield: 0.15%
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 93.00 | Previous Close: 0.92 | Adjusted PE: 3.38 | Yield: 0.20%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 93.00 | Previous Close: 1.57 | Adjusted PE: 3.38 | Yield: 0.19%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 93.00 | Previous Close: 4.07 | Adjusted PE: 3.38 | Yield: 0.16%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 93.00 | Previous Close: 2.58 | Adjusted PE: 3.38 | Yield: 0.15%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 93.00 | Previous Close: 1.76 | Adjusted PE: 3.38 | Yield: 0.15%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 93.00 | Previous Close: 3.10 | Adjusted PE: 3.38 | Yield: 0.14%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 93.00 | Previous Close: 4.25 | Adjusted PE: 3.38 | Yield: 0.14%
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 93.50 | Previous Close: 1.07 | Adjusted PE: 3.40 | Yield: 0.23%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 93.50 | Previous Close: 2.40 | Adjusted PE: 3.40 | Yield: 0.20%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 93.50 | Previous Close: 1.43 | Adjusted PE: 3.40 | Yield: 0.17%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 93.50 | Previous Close: 3.20 | Adjusted PE: 3.40 | Yield: 0.15%
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 94.00 | Previous Close: 1.24 | Adjusted PE: 3.42 | Yield: 0.26%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 94.00 | Previous Close: 1.95 | Adjusted PE: 3.42 | Yield: 0.23%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 94.00 | Previous Close: 2.22 | Adjusted PE: 3.42 | Yield: 0.18%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 94.00 | Previous Close: 4.55 | Adjusted PE: 3.42 | Yield: 0.18%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 94.00 | Previous Close: 2.98 | Adjusted PE: 3.42 | Yield: 0.18%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 94.00 | Previous Close: 4.96 | Adjusted PE: 3.42 | Yield: 0.17%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 94.00 | Previous Close: 3.47 | Adjusted PE: 3.42 | Yield: 0.16%
Underlying: NFLX | Expiration: 20-Feb-26 | Strike: 94.00 | Previous Close: 5.90 | Adjusted PE: 3.42 | Yield: 0.14%
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 94.50 | Previous Close: 1.46 | Adjusted PE: 3.44 | Yield: 0.31%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 94.50 | Previous Close: 1.89 | Adjusted PE: 3.44 | Yield: 0.22%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 94.50 | Previous Close: 2.65 | Adjusted PE: 3.44 | Yield: 0.22%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 94.50 | Previous Close: 3.45 | Adjusted PE: 3.44 | Yield: 0.16%
Underlying: NFLX | Expiration: 19-Dec-25 | Strike: 95.00 | Previous Close: 1.67 | Adjusted PE: 3.46 | Yield: 0.35%
Underlying: NFLX | Expiration: 26-Dec-25 | Strike: 95.00 | Previous Close: 2.30 | Adjusted PE: 3.46 | Yield: 0.27%
Underlying: NFLX | Expiration: 02-Jan-26 | Strike: 95.00 | Previous Close: 2.94 | Adjusted PE: 3.46 | Yield: 0.24%
Underlying: NFLX | Expiration: 09-Jan-26 | Strike: 95.00 | Previous Close: 3.45 | Adjusted PE: 3.46 | Yield: 0.20%
Underlying: NFLX | Expiration: 23-Jan-26 | Strike: 95.00 | Previous Close: 5.00 | Adjusted PE: 3.46 | Yield: 0.20%
Underlying: NFLX | Expiration: 16-Jan-26 | Strike: 95.00 | Previous Close: 3.96 | Adjusted PE: 3.46 | Yield: 0.18%
Underlying: NFLX | Expiration: 30-Jan-26 | Strike: 95.00 | Previous Close: 5.51 | Adjusted PE: 3.46 | Yield: 0.18%
Underlying: NFLX | Expiration: 20-Feb-26 | Strike: 95.00 | Previous Close: 6.57 | Adjusted PE: 3.46 | Yield: 0.15%
Underlying: CROX | Expiration: 20-Feb-26 | Strike: 85.00 | Previous Close: 5.30 | Adjusted PE: 4.87 | Yield: 0.14%
Underlying: CROX | Expiration: 19-Dec-25 | Strike: 86.00 | Previous Close: 0.65 | Adjusted PE: 4.92 | Yield: 0.15%
Underlying: CROX | Expiration: 19-Dec-25 | Strike: 87.00 | Previous Close: 0.94 | Adjusted PE: 4.98 | Yield: 0.21%
Underlying: CROX | Expiration: 26-Dec-25 | Strike: 87.00 | Previous Close: 1.35 | Adjusted PE: 4.98 | Yield: 0.17%
Underlying: CROX | Expiration: 19-Dec-25 | Strike: 87.50 | Previous Close: 1.05 | Adjusted PE: 5.01 | Yield: 0.24%
Underlying: CROX | Expiration: 16-Jan-26 | Strike: 87.50 | Previous Close: 3.10 | Adjusted PE: 5.01 | Yield: 0.15%
Underlying: CROX | Expiration: 19-Dec-25 | Strike: 88.00 | Previous Close: 0.90 | Adjusted PE: 5.04 | Yield: 0.20%
Underlying: CROX | Expiration: 19-Dec-25 | Strike: 89.00 | Previous Close: 1.10 | Adjusted PE: 5.10 | Yield: 0.25%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 25.00 | Previous Close: 0.20 | Adjusted PE: 5.68 | Yield: 0.15%
Underlying: CARR | Expiration: 19-Dec-25 | Strike: 52.50 | Previous Close: 0.77 | Adjusted PE: 7.03 | Yield: 0.29%
Underlying: CARR | Expiration: 16-Jan-26 | Strike: 52.50 | Previous Close: 1.87 | Adjusted PE: 7.03 | Yield: 0.15%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 33.00 | Previous Close: 1.15 | Adjusted PE: 7.50 | Yield: 0.15%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 34.00 | Previous Close: 1.25 | Adjusted PE: 7.72 | Yield: 0.16%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 52.00 | Previous Close: 0.39 | Adjusted PE: 7.81 | Yield: 0.15%
Underlying: ON | Expiration: 26-Dec-25 | Strike: 54.00 | Previous Close: 0.73 | Adjusted PE: 8.11 | Yield: 0.15%
Underlying: XOM | Expiration: 19-Dec-25 | Strike: 118.00 | Previous Close: 0.87 | Adjusted PE: 8.60 | Yield: 0.15%
