Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-15T09:41:11.018848800
Total Options: 108

These are tier 1 options:
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 732.50 | Previous Close: 10.02 | Adjusted PE: 8.11 | Yield: 0.27%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 452.50 | Previous Close: 10.60 | Adjusted PE: 18.35 | Yield: 0.26%
Underlying: GOOG | Expiration: 19-Dec-25 | Strike: 310.00 | Previous Close: 4.45 | Adjusted PE: 19.10 | Yield: 0.29%
Underlying: RMD | Expiration: 19-Dec-25 | Strike: 250.00 | Previous Close: 2.90 | Adjusted PE: 20.22 | Yield: 0.23%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 667.50 | Previous Close: 8.57 | Adjusted PE: 27.29 | Yield: 0.26%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 670.00 | Previous Close: 8.70 | Adjusted PE: 27.40 | Yield: 0.26%
Underlying: CAMT | Expiration: 19-Dec-25 | Strike: 105.00 | Previous Close: 1.45 | Adjusted PE: 31.06 | Yield: 0.27%
Underlying: CDNS | Expiration: 19-Dec-25 | Strike: 320.00 | Previous Close: 4.70 | Adjusted PE: 31.90 | Yield: 0.29%
Underlying: CDNS | Expiration: 19-Dec-25 | Strike: 322.50 | Previous Close: 5.70 | Adjusted PE: 32.15 | Yield: 0.35%
Underlying: CAMT | Expiration: 19-Dec-25 | Strike: 110.00 | Previous Close: 2.55 | Adjusted PE: 32.54 | Yield: 0.46%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 171.00 | Previous Close: 2.23 | Adjusted PE: 47.64 | Yield: 0.26%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 172.00 | Previous Close: 2.54 | Adjusted PE: 47.92 | Yield: 0.29%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 172.50 | Previous Close: 2.69 | Adjusted PE: 48.06 | Yield: 0.31%
Underlying: NVDA | Expiration: 26-Dec-25 | Strike: 172.50 | Previous Close: 3.75 | Adjusted PE: 48.06 | Yield: 0.24%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 173.00 | Previous Close: 2.89 | Adjusted PE: 48.20 | Yield: 0.33%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 174.00 | Previous Close: 3.28 | Adjusted PE: 48.48 | Yield: 0.38%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 175.00 | Previous Close: 3.75 | Adjusted PE: 48.76 | Yield: 0.43%
Underlying: NVDA | Expiration: 26-Dec-25 | Strike: 175.00 | Previous Close: 4.78 | Adjusted PE: 48.76 | Yield: 0.30%
Underlying: NVDA | Expiration: 02-Jan-26 | Strike: 175.00 | Previous Close: 5.80 | Adjusted PE: 48.76 | Yield: 0.26%
These are tier 2 options:
Underlying: YELP | Expiration: 19-Dec-25 | Strike: 30.00 | Previous Close: 0.35 | Adjusted PE: 4.27 | Yield: 0.23%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 53.00 | Previous Close: 0.59 | Adjusted PE: 7.96 | Yield: 0.22%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 722.50 | Previous Close: 7.07 | Adjusted PE: 7.99 | Yield: 0.20%
Underlying: META | Expiration: 19-Dec-25 | Strike: 637.50 | Previous Close: 6.79 | Adjusted PE: 11.61 | Yield: 0.21%
Underlying: META | Expiration: 26-Dec-25 | Strike: 642.50 | Previous Close: 11.62 | Adjusted PE: 11.70 | Yield: 0.20%
Underlying: ALGN | Expiration: 19-Dec-25 | Strike: 162.50 | Previous Close: 1.70 | Adjusted PE: 13.52 | Yield: 0.21%
Underlying: CPRX | Expiration: 16-Jan-26 | Strike: 22.50 | Previous Close: 1.04 | Adjusted PE: 15.87 | Yield: 0.20%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 447.50 | Previous Close: 8.20 | Adjusted PE: 18.15 | Yield: 0.20%
Underlying: GOOG | Expiration: 19-Dec-25 | Strike: 307.50 | Previous Close: 3.50 | Adjusted PE: 18.95 | Yield: 0.23%
Underlying: GOOG | Expiration: 26-Dec-25 | Strike: 310.00 | Previous Close: 5.85 | Adjusted PE: 19.10 | Yield: 0.21%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 665.00 | Previous Close: 7.52 | Adjusted PE: 27.19 | Yield: 0.23%
Underlying: CDNS | Expiration: 19-Dec-25 | Strike: 317.50 | Previous Close: 3.58 | Adjusted PE: 31.65 | Yield: 0.23%
Underlying: CAMT | Expiration: 16-Jan-26 | Strike: 110.00 | Previous Close: 5.50 | Adjusted PE: 32.54 | Yield: 0.22%
Underlying: CAMT | Expiration: 20-Feb-26 | Strike: 110.00 | Previous Close: 9.67 | Adjusted PE: 32.54 | Yield: 0.19%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 540.00 | Previous Close: 5.90 | Adjusted PE: 42.69 | Yield: 0.22%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 169.00 | Previous Close: 1.66 | Adjusted PE: 47.08 | Yield: 0.20%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 170.00 | Previous Close: 1.92 | Adjusted PE: 47.36 | Yield: 0.23%
Underlying: NVDA | Expiration: 09-Jan-26 | Strike: 175.00 | Previous Close: 6.90 | Adjusted PE: 48.76 | Yield: 0.22%
Underlying: NVDA | Expiration: 16-Jan-26 | Strike: 175.00 | Previous Close: 7.90 | Adjusted PE: 48.76 | Yield: 0.20%
These are tier 3 options:
Underlying: NTES | Expiration: 19-Dec-25 | Strike: 135.00 | Previous Close: 1.23 | Adjusted PE: 1.76 | Yield: 0.18%
Underlying: IMO | Expiration: 19-Dec-25 | Strike: 90.00 | Previous Close: 0.85 | Adjusted PE: 7.05 | Yield: 0.19%
Underlying: ON | Expiration: 26-Dec-25 | Strike: 53.00 | Previous Close: 0.90 | Adjusted PE: 7.96 | Yield: 0.19%
Underlying: ON | Expiration: 02-Jan-26 | Strike: 53.00 | Previous Close: 1.20 | Adjusted PE: 7.96 | Yield: 0.17%
Underlying: REGN | Expiration: 26-Dec-25 | Strike: 730.00 | Previous Close: 10.87 | Adjusted PE: 8.08 | Yield: 0.17%
Underlying: REGN | Expiration: 16-Jan-26 | Strike: 740.00 | Previous Close: 29.00 | Adjusted PE: 8.19 | Yield: 0.17%
Underlying: META | Expiration: 19-Dec-25 | Strike: 632.50 | Previous Close: 5.13 | Adjusted PE: 11.52 | Yield: 0.16%
Underlying: META | Expiration: 19-Dec-25 | Strike: 635.00 | Previous Close: 5.70 | Adjusted PE: 11.57 | Yield: 0.18%
Underlying: META | Expiration: 26-Dec-25 | Strike: 640.00 | Previous Close: 10.15 | Adjusted PE: 11.66 | Yield: 0.18%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 440.00 | Previous Close: 3.90 | Adjusted PE: 17.85 | Yield: 0.18%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 445.00 | Previous Close: 7.30 | Adjusted PE: 18.05 | Yield: 0.18%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 445.00 | Previous Close: 10.50 | Adjusted PE: 18.05 | Yield: 0.18%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 450.00 | Previous Close: 10.17 | Adjusted PE: 18.25 | Yield: 0.17%
Underlying: GOOG | Expiration: 19-Dec-25 | Strike: 305.00 | Previous Close: 2.63 | Adjusted PE: 18.80 | Yield: 0.17%
Underlying: GOOG | Expiration: 26-Dec-25 | Strike: 307.50 | Previous Close: 4.55 | Adjusted PE: 18.95 | Yield: 0.16%
Underlying: GOOG | Expiration: 02-Jan-26 | Strike: 310.00 | Previous Close: 7.10 | Adjusted PE: 19.10 | Yield: 0.18%
Underlying: INTU | Expiration: 26-Dec-25 | Strike: 667.50 | Previous Close: 10.30 | Adjusted PE: 27.29 | Yield: 0.17%
Underlying: INTU | Expiration: 26-Dec-25 | Strike: 670.00 | Previous Close: 11.40 | Adjusted PE: 27.40 | Yield: 0.19%
Underlying: INTU | Expiration: 02-Jan-26 | Strike: 670.00 | Previous Close: 14.80 | Adjusted PE: 27.40 | Yield: 0.17%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 535.00 | Previous Close: 4.40 | Adjusted PE: 42.29 | Yield: 0.16%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 537.50 | Previous Close: 5.10 | Adjusted PE: 42.49 | Yield: 0.19%
Underlying: ISRG | Expiration: 23-Jan-26 | Strike: 540.00 | Previous Close: 24.75 | Adjusted PE: 42.69 | Yield: 0.17%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 167.50 | Previous Close: 1.35 | Adjusted PE: 46.67 | Yield: 0.16%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 168.00 | Previous Close: 1.46 | Adjusted PE: 46.81 | Yield: 0.17%
Underlying: NVDA | Expiration: 26-Dec-25 | Strike: 170.00 | Previous Close: 2.87 | Adjusted PE: 47.36 | Yield: 0.19%
Underlying: NVDA | Expiration: 02-Jan-26 | Strike: 170.00 | Previous Close: 3.85 | Adjusted PE: 47.36 | Yield: 0.17%
Underlying: NVDA | Expiration: 09-Jan-26 | Strike: 170.00 | Previous Close: 4.93 | Adjusted PE: 47.36 | Yield: 0.16%
Underlying: NVDA | Expiration: 16-Jan-26 | Strike: 172.00 | Previous Close: 6.72 | Adjusted PE: 47.92 | Yield: 0.17%
Underlying: NVDA | Expiration: 16-Jan-26 | Strike: 173.00 | Previous Close: 7.10 | Adjusted PE: 48.20 | Yield: 0.18%
Underlying: NVDA | Expiration: 16-Jan-26 | Strike: 174.00 | Previous Close: 7.41 | Adjusted PE: 48.48 | Yield: 0.19%
Underlying: NVDA | Expiration: 23-Jan-26 | Strike: 175.00 | Previous Close: 8.60 | Adjusted PE: 48.76 | Yield: 0.18%
Underlying: NVDA | Expiration: 30-Jan-26 | Strike: 175.00 | Previous Close: 9.70 | Adjusted PE: 48.76 | Yield: 0.17%
These are tier 4 options:
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 48.50 | Previous Close: 0.40 | Adjusted PE: 1.08 | Yield: 0.16%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 48.50 | Previous Close: 0.62 | Adjusted PE: 1.08 | Yield: 0.14%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 49.00 | Previous Close: 0.52 | Adjusted PE: 1.09 | Yield: 0.21%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 49.00 | Previous Close: 0.85 | Adjusted PE: 1.09 | Yield: 0.19%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 49.00 | Previous Close: 1.14 | Adjusted PE: 1.09 | Yield: 0.18%
Underlying: NVO | Expiration: 09-Jan-26 | Strike: 49.00 | Previous Close: 1.41 | Adjusted PE: 1.09 | Yield: 0.16%
Underlying: NVO | Expiration: 23-Jan-26 | Strike: 49.00 | Previous Close: 1.81 | Adjusted PE: 1.09 | Yield: 0.14%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 49.50 | Previous Close: 0.69 | Adjusted PE: 1.10 | Yield: 0.28%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 49.50 | Previous Close: 1.06 | Adjusted PE: 1.10 | Yield: 0.24%
Underlying: NVO | Expiration: 19-Dec-25 | Strike: 50.00 | Previous Close: 0.92 | Adjusted PE: 1.11 | Yield: 0.36%
Underlying: NVO | Expiration: 26-Dec-25 | Strike: 50.00 | Previous Close: 1.25 | Adjusted PE: 1.11 | Yield: 0.28%
Underlying: NVO | Expiration: 02-Jan-26 | Strike: 50.00 | Previous Close: 1.60 | Adjusted PE: 1.11 | Yield: 0.25%
Underlying: NVO | Expiration: 09-Jan-26 | Strike: 50.00 | Previous Close: 1.85 | Adjusted PE: 1.11 | Yield: 0.20%
Underlying: NVO | Expiration: 16-Jan-26 | Strike: 50.00 | Previous Close: 2.31 | Adjusted PE: 1.11 | Yield: 0.20%
Underlying: NVO | Expiration: 23-Jan-26 | Strike: 50.00 | Previous Close: 2.30 | Adjusted PE: 1.11 | Yield: 0.17%
Underlying: NVO | Expiration: 30-Jan-26 | Strike: 50.00 | Previous Close: 2.61 | Adjusted PE: 1.11 | Yield: 0.16%
Underlying: NVO | Expiration: 20-Feb-26 | Strike: 50.00 | Previous Close: 3.54 | Adjusted PE: 1.11 | Yield: 0.15%
Underlying: PPIH | Expiration: 19-Dec-25 | Strike: 2.50 | Previous Close: 0.36 | Adjusted PE: 1.68 | Yield: 2.80%
Underlying: FUTU | Expiration: 09-Jan-26 | Strike: 160.00 | Previous Close: 3.75 | Adjusted PE: 3.15 | Yield: 0.13%
