Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-09-18T05:04:44.138900100
Total Options: 63

These are tier 1 options:
Underlying: UMC | Expiration: 19-Sep-25 | Strike: 6.00 | Previous Close: 0.04 | Adjusted PE: 0.10 | Yield: 0.25%
Underlying: REGN | Expiration: 19-Sep-25 | Strike: 580.00 | Previous Close: 5.13 | Adjusted PE: 6.42 | Yield: 0.44%
Underlying: REGN | Expiration: 26-Sep-25 | Strike: 580.00 | Previous Close: 11.40 | Adjusted PE: 6.42 | Yield: 0.28%
Underlying: REGN | Expiration: 19-Sep-25 | Strike: 582.50 | Previous Close: 8.20 | Adjusted PE: 6.45 | Yield: 0.70%
Underlying: REGN | Expiration: 26-Sep-25 | Strike: 582.50 | Previous Close: 11.80 | Adjusted PE: 6.45 | Yield: 0.29%
Underlying: REGN | Expiration: 19-Sep-25 | Strike: 585.00 | Previous Close: 8.65 | Adjusted PE: 6.47 | Yield: 0.74%
Underlying: LNTH | Expiration: 19-Sep-25 | Strike: 50.00 | Previous Close: 0.25 | Adjusted PE: 6.73 | Yield: 0.24%
Underlying: ON | Expiration: 19-Sep-25 | Strike: 47.50 | Previous Close: 0.23 | Adjusted PE: 7.14 | Yield: 0.23%
Underlying: ON | Expiration: 26-Sep-25 | Strike: 48.00 | Previous Close: 0.86 | Adjusted PE: 7.21 | Yield: 0.25%
Underlying: ON | Expiration: 19-Sep-25 | Strike: 48.00 | Previous Close: 0.24 | Adjusted PE: 7.21 | Yield: 0.24%
Underlying: ACMR | Expiration: 19-Sep-25 | Strike: 32.00 | Previous Close: 0.30 | Adjusted PE: 7.27 | Yield: 0.45%
Underlying: ACMR | Expiration: 17-Oct-25 | Strike: 32.00 | Previous Close: 1.65 | Adjusted PE: 7.27 | Yield: 0.23%
Underlying: ON | Expiration: 19-Sep-25 | Strike: 48.50 | Previous Close: 0.53 | Adjusted PE: 7.29 | Yield: 0.54%
Underlying: ON | Expiration: 26-Sep-25 | Strike: 48.50 | Previous Close: 0.96 | Adjusted PE: 7.29 | Yield: 0.28%
Underlying: ON | Expiration: 03-Oct-25 | Strike: 48.50 | Previous Close: 1.45 | Adjusted PE: 7.29 | Yield: 0.25%
Underlying: ON | Expiration: 19-Sep-25 | Strike: 49.00 | Previous Close: 0.75 | Adjusted PE: 7.36 | Yield: 0.76%
Underlying: ON | Expiration: 26-Sep-25 | Strike: 49.00 | Previous Close: 1.09 | Adjusted PE: 7.36 | Yield: 0.32%
Underlying: ON | Expiration: 19-Sep-25 | Strike: 49.50 | Previous Close: 0.94 | Adjusted PE: 7.44 | Yield: 0.94%
Underlying: ON | Expiration: 26-Sep-25 | Strike: 49.50 | Previous Close: 1.54 | Adjusted PE: 7.44 | Yield: 0.44%
Underlying: ACMR | Expiration: 19-Sep-25 | Strike: 33.00 | Previous Close: 0.50 | Adjusted PE: 7.50 | Yield: 0.74%
Underlying: ACMR | Expiration: 17-Oct-25 | Strike: 33.00 | Previous Close: 2.80 | Adjusted PE: 7.50 | Yield: 0.38%
Underlying: XOM | Expiration: 19-Sep-25 | Strike: 115.00 | Previous Close: 0.90 | Adjusted PE: 8.38 | Yield: 0.39%
Underlying: ACLS | Expiration: 19-Sep-25 | Strike: 90.00 | Previous Close: 1.30 | Adjusted PE: 9.24 | Yield: 0.72%
Underlying: UTHR | Expiration: 19-Sep-25 | Strike: 400.00 | Previous Close: 2.65 | Adjusted PE: 10.09 | Yield: 0.33%
Underlying: ALGN | Expiration: 19-Sep-25 | Strike: 125.00 | Previous Close: 0.65 | Adjusted PE: 10.40 | Yield: 0.26%
Underlying: ALGN | Expiration: 19-Sep-25 | Strike: 126.00 | Previous Close: 0.75 | Adjusted PE: 10.49 | Yield: 0.29%
Underlying: ALGN | Expiration: 19-Sep-25 | Strike: 127.00 | Previous Close: 1.01 | Adjusted PE: 10.57 | Yield: 0.39%
Underlying: ALGN | Expiration: 19-Sep-25 | Strike: 128.00 | Previous Close: 1.20 | Adjusted PE: 10.65 | Yield: 0.47%
Underlying: ALGN | Expiration: 19-Sep-25 | Strike: 129.00 | Previous Close: 1.65 | Adjusted PE: 10.74 | Yield: 0.64%
Underlying: ALGN | Expiration: 26-Sep-25 | Strike: 129.00 | Previous Close: 2.85 | Adjusted PE: 10.74 | Yield: 0.32%
Underlying: YETI | Expiration: 19-Sep-25 | Strike: 35.00 | Previous Close: 0.55 | Adjusted PE: 12.58 | Yield: 0.77%
Underlying: AMAT | Expiration: 19-Sep-25 | Strike: 177.50 | Previous Close: 1.65 | Adjusted PE: 12.76 | Yield: 0.46%
Underlying: AMAT | Expiration: 26-Sep-25 | Strike: 177.50 | Previous Close: 3.80 | Adjusted PE: 12.76 | Yield: 0.31%
Underlying: NEM | Expiration: 19-Sep-25 | Strike: 77.50 | Previous Close: 0.45 | Adjusted PE: 12.81 | Yield: 0.28%
Underlying: NEM | Expiration: 19-Sep-25 | Strike: 78.00 | Previous Close: 0.60 | Adjusted PE: 12.89 | Yield: 0.38%
Underlying: NEM | Expiration: 26-Sep-25 | Strike: 78.00 | Previous Close: 1.39 | Adjusted PE: 12.89 | Yield: 0.25%
Underlying: META | Expiration: 19-Sep-25 | Strike: 760.00 | Previous Close: 3.55 | Adjusted PE: 13.85 | Yield: 0.23%
Underlying: META | Expiration: 19-Sep-25 | Strike: 762.50 | Previous Close: 4.15 | Adjusted PE: 13.89 | Yield: 0.27%
Underlying: META | Expiration: 19-Sep-25 | Strike: 765.00 | Previous Close: 4.95 | Adjusted PE: 13.94 | Yield: 0.32%
Underlying: META | Expiration: 19-Sep-25 | Strike: 767.50 | Previous Close: 5.65 | Adjusted PE: 13.98 | Yield: 0.37%
Underlying: META | Expiration: 19-Sep-25 | Strike: 770.00 | Previous Close: 6.40 | Adjusted PE: 14.03 | Yield: 0.42%
Underlying: META | Expiration: 19-Sep-25 | Strike: 772.50 | Previous Close: 7.47 | Adjusted PE: 14.07 | Yield: 0.48%
Underlying: META | Expiration: 26-Sep-25 | Strike: 772.50 | Previous Close: 13.10 | Adjusted PE: 14.07 | Yield: 0.24%
Underlying: CPRX | Expiration: 19-Sep-25 | Strike: 20.00 | Previous Close: 0.30 | Adjusted PE: 14.11 | Yield: 0.73%
Underlying: CPRX | Expiration: 17-Oct-25 | Strike: 20.00 | Previous Close: 1.12 | Adjusted PE: 14.11 | Yield: 0.25%
Underlying: META | Expiration: 19-Sep-25 | Strike: 775.00 | Previous Close: 8.55 | Adjusted PE: 14.12 | Yield: 0.55%
Underlying: META | Expiration: 26-Sep-25 | Strike: 775.00 | Previous Close: 14.45 | Adjusted PE: 14.12 | Yield: 0.27%
Underlying: SNPS | Expiration: 19-Sep-25 | Strike: 420.00 | Previous Close: 2.75 | Adjusted PE: 14.66 | Yield: 0.33%
